RDA element,RDA recording method,Alignment,M21 Authority encoding
abridged as expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
abridged as expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
abridged as expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
abridged as expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
abridged as expression,identifier,aligns with,500 ** $0 
abridged as expression,identifier,aligns with,510 ** $0 
abridged as expression,identifier,aligns with,511 ** $0 
abridged as expression,identifier,aligns with,530 ** $0 
abridged as expression,IRI,aligns with,500 ** $1 
abridged as expression,IRI,aligns with,510 ** $1 
abridged as expression,IRI,aligns with,511 ** $1 
abridged as expression,IRI,aligns with,530 ** $1 
abridged as work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
abridged as work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
abridged as work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
abridged as work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
abridged as work,identifier,aligns with,500 ** $0 
abridged as work,identifier,aligns with,510 ** $0 
abridged as work,identifier,aligns with,511 ** $0 
abridged as work,identifier,aligns with,530 ** $0 
abridged as work,IRI,aligns with,500 ** $1 
abridged as work,IRI,aligns with,510 ** $1 
abridged as work,IRI,aligns with,511 ** $1 
abridged as work,IRI,aligns with,530 ** $1 
abridgement of expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
abridgement of expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
abridgement of expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
abridgement of expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
abridgement of expression,identifier,aligns with,500 ** $0 
abridgement of expression,identifier,aligns with,510 ** $0 
abridgement of expression,identifier,aligns with,511 ** $0 
abridgement of expression,identifier,aligns with,530 ** $0 
abridgement of expression,IRI,aligns with,500 ** $1 
abridgement of expression,IRI,aligns with,510 ** $1 
abridgement of expression,IRI,aligns with,511 ** $1 
abridgement of expression,IRI,aligns with,530 ** $1 
abridgement of work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
abridgement of work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
abridgement of work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
abridgement of work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
abridgement of work,identifier,aligns with,500 ** $0 
abridgement of work,identifier,aligns with,510 ** $0 
abridgement of work,identifier,aligns with,511 ** $0 
abridgement of work,identifier,aligns with,530 ** $0 
abridgement of work,IRI,aligns with,500 ** $1 
abridgement of work,IRI,aligns with,510 ** $1 
abridgement of work,IRI,aligns with,511 ** $1 
abridgement of work,IRI,aligns with,530 ** $1 
abridger agent,structured description,aligns with,"500 ** $a, b, c, d, g, q "
abridger agent,structured description,aligns with,"510 ** $a, b, c, d, g "
abridger agent,identifier,aligns with,500 ** $0 
abridger agent,identifier,aligns with,510 ** $0 
abridger agent,IRI,aligns with,500 ** $1 
abridger agent,IRI,aligns with,510 ** $1 
abridger agent of,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
abridger agent of,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
abridger agent of,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
abridger agent of,structured description,aligns with,"672 ** $a, b, f "
abridger agent of,identifier,aligns with,500 ** $0 
abridger agent of,identifier,aligns with,510 ** $0 
abridger agent of,identifier,aligns with,530 ** $0 
abridger agent of,identifier,aligns with,"672 ** $w, 0 "
abridger agent of,IRI,aligns with,500 ** $1 
abridger agent of,IRI,aligns with,510 ** $1 
abridger agent of,IRI,aligns with,530 ** $1 
abridger agent of,IRI,aligns with,672 ** $1 
abridger collective agent,structured description,aligns with,"500 3* $a, c, d, g "
abridger collective agent,structured description,aligns with,"510 ** $a, b, c, d, g "
abridger collective agent,identifier,aligns with,500 3* $0 
abridger collective agent,identifier,aligns with,510 ** $0 
abridger collective agent,IRI,aligns with,500 3* $1 
abridger collective agent,IRI,aligns with,510 ** $1 
abridger collective agent of,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
abridger collective agent of,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
abridger collective agent of,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
abridger collective agent of,structured description,aligns with,"672 ** $a, b, f "
abridger collective agent of,identifier,aligns with,500 ** $0 
abridger collective agent of,identifier,aligns with,510 ** $0 
abridger collective agent of,identifier,aligns with,530 ** $0 
abridger collective agent of,identifier,aligns with,"672 ** $w, 0 "
abridger collective agent of,IRI,aligns with,500 ** $1 
abridger collective agent of,IRI,aligns with,510 ** $1 
abridger collective agent of,IRI,aligns with,530 ** $1 
abridger collective agent of,IRI,aligns with,672 ** $1 
abridger corporate body,structured description,aligns with,"510 ** $a, b, c, d, g "
abridger corporate body,identifier,aligns with,510 ** $0 
abridger corporate body,IRI,aligns with,510 ** $1 
abridger corporate body of,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
abridger corporate body of,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
abridger corporate body of,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
abridger corporate body of,structured description,aligns with,"672 ** $a, b, f "
abridger corporate body of,identifier,aligns with,500 ** $0 
abridger corporate body of,identifier,aligns with,510 ** $0 
abridger corporate body of,identifier,aligns with,530 ** $0 
abridger corporate body of,identifier,aligns with,"672 ** $w, 0 "
abridger corporate body of,IRI,aligns with,500 ** $1 
abridger corporate body of,IRI,aligns with,510 ** $1 
abridger corporate body of,IRI,aligns with,530 ** $1 
abridger corporate body of,IRI,aligns with,672 ** $1 
abridger family,structured description,aligns with,"500 3* $a, c, d, g "
abridger family,identifier,aligns with,500 3* $0 
abridger family,IRI,aligns with,500 3* $1 
abridger family of,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
abridger family of,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
abridger family of,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
abridger family of,structured description,aligns with,"672 ** $a, b, f "
abridger family of,identifier,aligns with,500 ** $0 
abridger family of,identifier,aligns with,510 ** $0 
abridger family of,identifier,aligns with,530 ** $0 
abridger family of,identifier,aligns with,"672 ** $w, 0 "
abridger family of,IRI,aligns with,500 ** $1 
abridger family of,IRI,aligns with,510 ** $1 
abridger family of,IRI,aligns with,530 ** $1 
abridger family of,IRI,aligns with,672 ** $1 
abridger person,structured description,aligns with,"500 0* $a, b, c, d, g, q "
abridger person,structured description,aligns with,"500 1* $a, b, c, d, g, q "
abridger person,identifier,aligns with,500 0* $0 
abridger person,identifier,aligns with,500 1* $0 
abridger person,IRI,aligns with,500 0* $1 
abridger person,IRI,aligns with,500 1* $1 
abridger person of,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
abridger person of,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
abridger person of,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
abridger person of,structured description,aligns with,"672 ** $a, b, f "
abridger person of,identifier,aligns with,500 ** $0 
abridger person of,identifier,aligns with,510 ** $0 
abridger person of,identifier,aligns with,530 ** $0 
abridger person of,identifier,aligns with,"672 ** $w, 0 "
abridger person of,IRI,aligns with,500 ** $1 
abridger person of,IRI,aligns with,510 ** $1 
abridger person of,IRI,aligns with,530 ** $1 
abridger person of,IRI,aligns with,672 ** $1 
absorbed by expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
absorbed by expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
absorbed by expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
absorbed by expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
absorbed by expression,identifier,aligns with,500 ** $0 
absorbed by expression,identifier,aligns with,510 ** $0 
absorbed by expression,identifier,aligns with,511 ** $0 
absorbed by expression,identifier,aligns with,530 ** $0 
absorbed by expression,IRI,aligns with,500 ** $1 
absorbed by expression,IRI,aligns with,510 ** $1 
absorbed by expression,IRI,aligns with,511 ** $1 
absorbed by expression,IRI,aligns with,530 ** $1 
absorbed by work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
absorbed by work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
absorbed by work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
absorbed by work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
absorbed by work,identifier,aligns with,500 ** $0 
absorbed by work,identifier,aligns with,510 ** $0 
absorbed by work,identifier,aligns with,511 ** $0 
absorbed by work,identifier,aligns with,530 ** $0 
absorbed by work,IRI,aligns with,500 ** $1 
absorbed by work,IRI,aligns with,510 ** $1 
absorbed by work,IRI,aligns with,511 ** $1 
absorbed by work,IRI,aligns with,530 ** $1 
absorbed corporate body,structured description,aligns with,"510 ** $a, b, c, d, g "
absorbed corporate body,structured description,aligns with,"511 ** $a, c, d, e, g, n, q "
absorbed corporate body,identifier,aligns with,510 ** $0 
absorbed corporate body,identifier,aligns with,511 ** $0 
absorbed corporate body,IRI,aligns with,510 ** $1 
absorbed corporate body,IRI,aligns with,511 ** $1 
absorbed in part by expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
absorbed in part by expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
absorbed in part by expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
absorbed in part by expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
absorbed in part by expression,identifier,aligns with,500 ** $0 
absorbed in part by expression,identifier,aligns with,510 ** $0 
absorbed in part by expression,identifier,aligns with,511 ** $0 
absorbed in part by expression,identifier,aligns with,530 ** $0 
absorbed in part by expression,IRI,aligns with,500 ** $1 
absorbed in part by expression,IRI,aligns with,510 ** $1 
absorbed in part by expression,IRI,aligns with,511 ** $1 
absorbed in part by expression,IRI,aligns with,530 ** $1 
absorbed in part by work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
absorbed in part by work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
absorbed in part by work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
absorbed in part by work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
absorbed in part by work,identifier,aligns with,500 ** $0 
absorbed in part by work,identifier,aligns with,510 ** $0 
absorbed in part by work,identifier,aligns with,511 ** $0 
absorbed in part by work,identifier,aligns with,530 ** $0 
absorbed in part by work,IRI,aligns with,500 ** $1 
absorbed in part by work,IRI,aligns with,510 ** $1 
absorbed in part by work,IRI,aligns with,511 ** $1 
absorbed in part by work,IRI,aligns with,530 ** $1 
absorbing corporate body,structured description,aligns with,"510 ** $a, b, c, d, g "
absorbing corporate body,structured description,aligns with,"511 ** $a, c, d, e, g, n, q "
absorbing corporate body,identifier,aligns with,510 ** $0 
absorbing corporate body,identifier,aligns with,511 ** $0 
absorbing corporate body,IRI,aligns with,510 ** $1 
absorbing corporate body,IRI,aligns with,511 ** $1 
absorption in part of expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
absorption in part of expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
absorption in part of expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
absorption in part of expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
absorption in part of expression,identifier,aligns with,500 ** $0 
absorption in part of expression,identifier,aligns with,510 ** $0 
absorption in part of expression,identifier,aligns with,511 ** $0 
absorption in part of expression,identifier,aligns with,530 ** $0 
absorption in part of expression,IRI,aligns with,500 ** $1 
absorption in part of expression,IRI,aligns with,510 ** $1 
absorption in part of expression,IRI,aligns with,511 ** $1 
absorption in part of expression,IRI,aligns with,530 ** $1 
absorption in part of work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
absorption in part of work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
absorption in part of work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
absorption in part of work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
absorption in part of work,identifier,aligns with,500 ** $0 
absorption in part of work,identifier,aligns with,510 ** $0 
absorption in part of work,identifier,aligns with,511 ** $0 
absorption in part of work,identifier,aligns with,530 ** $0 
absorption in part of work,IRI,aligns with,500 ** $1 
absorption in part of work,IRI,aligns with,510 ** $1 
absorption in part of work,IRI,aligns with,511 ** $1 
absorption in part of work,IRI,aligns with,530 ** $1 
absorption of expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
absorption of expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
absorption of expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
absorption of expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
absorption of expression,identifier,aligns with,500 ** $0 
absorption of expression,identifier,aligns with,510 ** $0 
absorption of expression,identifier,aligns with,511 ** $0 
absorption of expression,identifier,aligns with,530 ** $0 
absorption of expression,IRI,aligns with,500 ** $1 
absorption of expression,IRI,aligns with,510 ** $1 
absorption of expression,IRI,aligns with,511 ** $1 
absorption of expression,IRI,aligns with,530 ** $1 
absorption of work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
absorption of work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
absorption of work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
absorption of work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
absorption of work,identifier,aligns with,500 ** $0 
absorption of work,identifier,aligns with,510 ** $0 
absorption of work,identifier,aligns with,511 ** $0 
absorption of work,identifier,aligns with,530 ** $0 
absorption of work,IRI,aligns with,500 ** $1 
absorption of work,IRI,aligns with,510 ** $1 
absorption of work,IRI,aligns with,511 ** $1 
absorption of work,IRI,aligns with,530 ** $1 
abstract,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
abstract,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
abstract,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
abstract,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
abstract,identifier,aligns with,500 ** $0 
abstract,identifier,aligns with,510 ** $0 
abstract,identifier,aligns with,511 ** $0 
abstract,identifier,aligns with,530 ** $0 
abstract,IRI,aligns with,500 ** $1 
abstract,IRI,aligns with,510 ** $1 
abstract,IRI,aligns with,511 ** $1 
abstract,IRI,aligns with,530 ** $1 
abstract of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
abstract of,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
abstract of,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
abstract of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
abstract of,identifier,aligns with,500 ** $0 
abstract of,identifier,aligns with,510 ** $0 
abstract of,identifier,aligns with,511 ** $0 
abstract of,identifier,aligns with,530 ** $0 
abstract of,IRI,aligns with,500 ** $1 
abstract of,IRI,aligns with,510 ** $1 
abstract of,IRI,aligns with,511 ** $1 
abstract of,IRI,aligns with,530 ** $1 
abstracted in expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
abstracted in expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
abstracted in expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
abstracted in expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
abstracted in expression,identifier,aligns with,500 ** $0 
abstracted in expression,identifier,aligns with,510 ** $0 
abstracted in expression,identifier,aligns with,511 ** $0 
abstracted in expression,identifier,aligns with,530 ** $0 
abstracted in expression,IRI,aligns with,500 ** $1 
abstracted in expression,IRI,aligns with,510 ** $1 
abstracted in expression,IRI,aligns with,511 ** $1 
abstracted in expression,IRI,aligns with,530 ** $1 
abstracted in work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
abstracted in work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
abstracted in work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
abstracted in work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
abstracted in work,identifier,aligns with,500 ** $0 
abstracted in work,identifier,aligns with,510 ** $0 
abstracted in work,identifier,aligns with,511 ** $0 
abstracted in work,identifier,aligns with,530 ** $0 
abstracted in work,IRI,aligns with,500 ** $1 
abstracted in work,IRI,aligns with,510 ** $1 
abstracted in work,IRI,aligns with,511 ** $1 
abstracted in work,IRI,aligns with,530 ** $1 
abstracts for expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
abstracts for expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
abstracts for expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
abstracts for expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
abstracts for expression,identifier,aligns with,500 ** $0 
abstracts for expression,identifier,aligns with,510 ** $0 
abstracts for expression,identifier,aligns with,511 ** $0 
abstracts for expression,identifier,aligns with,530 ** $0 
abstracts for expression,IRI,aligns with,500 ** $1 
abstracts for expression,IRI,aligns with,510 ** $1 
abstracts for expression,IRI,aligns with,511 ** $1 
abstracts for expression,IRI,aligns with,530 ** $1 
abstracts for work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
abstracts for work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
abstracts for work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
abstracts for work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
abstracts for work,identifier,aligns with,500 ** $0 
abstracts for work,identifier,aligns with,510 ** $0 
abstracts for work,identifier,aligns with,511 ** $0 
abstracts for work,identifier,aligns with,530 ** $0 
abstracts for work,IRI,aligns with,500 ** $1 
abstracts for work,IRI,aligns with,510 ** $1 
abstracts for work,IRI,aligns with,511 ** $1 
abstracts for work,IRI,aligns with,530 ** $1 
academic supervisor,structured description,aligns with,"500 0* $a, b, c, d, g, q "
academic supervisor,structured description,aligns with,"500 1* $a, b, c, d, g, q "
academic supervisor,identifier,aligns with,500 0* $0 
academic supervisor,identifier,aligns with,500 1* $0 
academic supervisor,IRI,aligns with,500 0* $1 
academic supervisor,IRI,aligns with,500 1* $1 
academic supervisor of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
academic supervisor of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
academic supervisor of,structured description,aligns with,"672 ** $a, b, f "
academic supervisor of,identifier,aligns with,500 ** $0 
academic supervisor of,identifier,aligns with,530 ** $0 
academic supervisor of,identifier,aligns with,"672 ** $w, 0 "
academic supervisor of,IRI,aligns with,500 ** $1 
academic supervisor of,IRI,aligns with,530 ** $1 
academic supervisor of,IRI,aligns with,672 ** $1 
access point for agent,structured description,aligns with,"100 ** $a, b, c, d, g, q "
access point for agent,structured description,aligns with,"110 ** $a, b, c, d, g "
access point for agent,structured description,aligns with,"111 ** $a, c, d, e, g, n, q "
access point for agent,structured description,aligns with,"400 ** $a, b, c, d, g, q "
access point for agent,structured description,aligns with,"410 ** $a, b, c, d, g "
access point for agent,structured description,aligns with,"411 ** $a, c, d, e, g, n, q "
access point for collective agent,structured description,aligns with,"100 3* $a, c, d, g "
access point for collective agent,structured description,aligns with,"110 ** $a, b, c, d, g "
access point for collective agent,structured description,aligns with,"111 ** $a, c, d, e, g, n, q "
access point for collective agent,structured description,aligns with,"400 3* $a, c, d, g "
access point for collective agent,structured description,aligns with,"410 ** $a, b, c, d, g "
access point for collective agent,structured description,aligns with,"411 ** $a, c, d, e, g, n, q "
access point for corporate body,structured description,aligns with,"110 ** $a, b, c, d, g "
access point for corporate body,structured description,aligns with,"111 ** $a, c, d, e, g, n, q "
access point for corporate body,structured description,aligns with,"410 ** $a, b, c, d, g "
access point for corporate body,structured description,aligns with,"411 ** $a, c, d, e, g, n, q "
access point for expression,structured description,aligns with,"100 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
access point for expression,structured description,aligns with,"110 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
access point for expression,structured description,aligns with,"111 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
access point for expression,structured description,aligns with,"130 ** $a, d, f, h, k, l, m, n, o, p, r, s "
access point for expression,structured description,aligns with,"400 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
access point for expression,structured description,aligns with,"410 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
access point for expression,structured description,aligns with,"411 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
access point for expression,structured description,aligns with,"430 ** $a, d, f, h, k, l, m, n, o, p, r, s "
access point for family,structured description,aligns with,"100 3* $a, c, d, g "
access point for family,structured description,aligns with,"400 3* $a, c, d, g "
access point for person,structured description,aligns with,"100 0* $a, b, c, d, g, q "
access point for person,structured description,aligns with,"100 1* $a, b, c, d, g, q "
access point for person,structured description,aligns with,"400 0* $a, b, c, d, g, q "
access point for person,structured description,aligns with,"400 1* $a, b, c, d, g, q "
access point for place,structured description,aligns with,151 ** $a 
access point for place,structured description,aligns with,451 ** $a 
access point for work,structured description,aligns with,"100 ** $a, b, c, d, f, g, k, l, n, p, q, t "
access point for work,structured description,aligns with,"110 ** $a, b, c, d, f, g, k, l, n, p, t "
access point for work,structured description,aligns with,"111 ** $a, c, d, e, f, g, k, l, n, p, q, t "
access point for work,structured description,aligns with,"130 ** $a, d, f, g, k, l, n, p "
access point for work,structured description,aligns with,"400 ** $a, b, c, d, f, g, k, l, n, p, q, t "
access point for work,structured description,aligns with,"410 ** $a, b, c, d, f, g, k, l, n, p, t "
access point for work,structured description,aligns with,"411 ** $a, c, d, e, f, g, k, l, n, p, q, t "
access point for work,structured description,aligns with,"430 ** $a, d, f, g, k, l, n, p "
actor agent,structured description,aligns with,"500 ** $a, b, c, d, g, q "
actor agent,structured description,aligns with,"510 ** $a, b, c, d, g "
actor agent,identifier,aligns with,500 ** $0 
actor agent,identifier,aligns with,510 ** $0 
actor agent,IRI,aligns with,500 ** $1 
actor agent,IRI,aligns with,510 ** $1 
actor agent of,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
actor agent of,structured description,aligns with,"672 ** $a, b, f "
actor agent of,identifier,aligns with,530 ** $0 
actor agent of,identifier,aligns with,"672 ** $w, 0 "
actor agent of,IRI,aligns with,530 ** $1 
actor agent of,IRI,aligns with,672 ** $1 
actor collective agent,structured description,aligns with,"500 3* $a, c, d, g "
actor collective agent,structured description,aligns with,"510 ** $a, b, c, d, g "
actor collective agent,identifier,aligns with,500 3* $0 
actor collective agent,identifier,aligns with,510 ** $0 
actor collective agent,IRI,aligns with,500 3* $1 
actor collective agent,IRI,aligns with,510 ** $1 
actor collective agent of,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
actor collective agent of,structured description,aligns with,"672 ** $a, b, f "
actor collective agent of,identifier,aligns with,530 ** $0 
actor collective agent of,identifier,aligns with,"672 ** $w, 0 "
actor collective agent of,IRI,aligns with,530 ** $1 
actor collective agent of,IRI,aligns with,672 ** $1 
actor corporate body,structured description,aligns with,"510 ** $a, b, c, d, g "
actor corporate body,identifier,aligns with,510 ** $0 
actor corporate body,IRI,aligns with,510 ** $1 
actor corporate body of,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
actor corporate body of,structured description,aligns with,"672 ** $a, b, f "
actor corporate body of,identifier,aligns with,530 ** $0 
actor corporate body of,identifier,aligns with,"672 ** $w, 0 "
actor corporate body of,IRI,aligns with,530 ** $1 
actor corporate body of,IRI,aligns with,672 ** $1 
actor family,structured description,aligns with,"500 3* $a, c, d, g "
actor family,identifier,aligns with,500 3* $0 
actor family,IRI,aligns with,500 3* $1 
actor family of,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
actor family of,structured description,aligns with,"672 ** $a, b, f "
actor family of,identifier,aligns with,530 ** $0 
actor family of,identifier,aligns with,"672 ** $w, 0 "
actor family of,IRI,aligns with,530 ** $1 
actor family of,IRI,aligns with,672 ** $1 
actor person,structured description,aligns with,"500 0* $a, b, c, d, g, q "
actor person,structured description,aligns with,"500 1* $a, b, c, d, g, q "
actor person,identifier,aligns with,500 0* $0 
actor person,identifier,aligns with,500 1* $0 
actor person,IRI,aligns with,500 0* $1 
actor person,IRI,aligns with,500 1* $1 
actor person of,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
actor person of,structured description,aligns with,"672 ** $a, b, f "
actor person of,identifier,aligns with,530 ** $0 
actor person of,identifier,aligns with,"672 ** $w, 0 "
actor person of,IRI,aligns with,530 ** $1 
actor person of,IRI,aligns with,672 ** $1 
adaptation of expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
adaptation of expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
adaptation of expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
adaptation of expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
adaptation of expression,identifier,aligns with,500 ** $0 
adaptation of expression,identifier,aligns with,510 ** $0 
adaptation of expression,identifier,aligns with,511 ** $0 
adaptation of expression,identifier,aligns with,530 ** $0 
adaptation of expression,IRI,aligns with,500 ** $1 
adaptation of expression,IRI,aligns with,510 ** $1 
adaptation of expression,IRI,aligns with,511 ** $1 
adaptation of expression,IRI,aligns with,530 ** $1 
adaptation of work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
adaptation of work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
adaptation of work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
adaptation of work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
