*preferred label[0]_en,definition[0]_en,*uri,*status
aperture card reader,A microform reader designed for use with aperture cards.,http://rdaregistry.info/termList/rofitrda/T1001,Published
microfiche reader,A microform reader designed for use with microfiches.,http://rdaregistry.info/termList/rofitrda/T1002,Published
microopaque reader,A microform reader designed for use with microopaques.,http://rdaregistry.info/termList/rofitrda/T1003,Published
microfilm reader,A microform reader designed for use with microfilm.,http://rdaregistry.info/termList/rofitrda/T1004,Published
filmstrip projector,A projector designed for use with filmstrips.,http://rdaregistry.info/termList/rofitrda/T1005,Published
overhead projector,A projector designed for use with overhead transparencies.,http://rdaregistry.info/termList/rofitrda/T1006,Published
slide projector,A projector designed for use with slides.,http://rdaregistry.info/termList/rofitrda/T1007,Published
