*preferred label[0]_en,alternative label[0]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,*uri,*status,has broader[0]
fine,,1005,fine,"A groove pitch for an analog cylinder in the range of 60-64 turns per cm, or 150 or 160 turns per inch, for 6 1/8 inch dictation format cylinders, or 200 turns per inch for 4-minute cylinders.","A groove pitch for an analog cylinder in the range of 60-64 turns per cm, or 150 or 160 turns per inch, for 6 1/8 inch dictation format cylinders, or 200 turns per inch for 4-minute cylinders.",rdagrp:1005,Published,
standard,,1006,standard,A groove pitch for an analog cylinder of 40 turns per cm or 100 turns per inch.,A groove pitch for an analog cylinder of 40 turns per cm or 100 turns per inch.,rdagrp:1006,Published,
