*preferred label[0]_en,definition[0]_en,*uri,*status
determinate,The period of extension of the content has a predetermined end.,http://rdaregistry.info/termList/rofet/T1001,Published
indeterminate,The period of extension of the content has no predetermined end.,http://rdaregistry.info/termList/rofet/T1002,Published
not applicable,The content is not expected to be extended.,http://rdaregistry.info/termList/rofet/T1003,Published
