*preferred label[0]_en,alternative label[0]_en,definition[0]_en,scope note[0]_en,*uri,*status,related to[0]
microfilm reels (Deprecated),,"Open reels holding a microfilm, to be threaded into a microfilm reader. (Deprecated)",,http://rdaregistry.info/termList/extent/1046,Deprecated,
microfilm roll (Deprecated),,A wound length of microfilm. (Deprecated),,http://rdaregistry.info/termList/extent/1047,Deprecated,
microfilm rolls (Deprecated),,Wound lengths of microfilm. (Deprecated),,http://rdaregistry.info/termList/extent/1048,Deprecated,
microfilm slip (Deprecated),,A short strip of microfilm cut from a roll. (Deprecated),,http://rdaregistry.info/termList/extent/1049,Deprecated,
microfilm slips (Deprecated),,Short strips of microfilm cut from a roll. (Deprecated),,http://rdaregistry.info/termList/extent/1050,Deprecated,
microopaque (Deprecated),,A card or sheet of opaque material bearing a number of microimages in a two-dimensional array. (Deprecated),,http://rdaregistry.info/termList/extent/1051,Deprecated,
microopaques (Deprecated),,Cards or sheets of opaque material bearing a number of microimages in a two-dimensional array. (Deprecated),,http://rdaregistry.info/termList/extent/1052,Deprecated,
microscope slide (Deprecated),,A small sheet of transparent material (with or without a protective mount) bearing a minute object designed for use with a device such as a microscope.  (Deprecated),,http://rdaregistry.info/termList/extent/1053,Deprecated,http://rdaregistry.info/termList/extent/1071
microscope slides (Deprecated),,Small sheets of transparent material (with or without a protective mount) bearing a minute object designed for use with a device such as a microscope.  (Deprecated),,http://rdaregistry.info/termList/extent/1054,Deprecated,http://rdaregistry.info/termList/extent/1072
film cartridge (Deprecated),,A cartridge containing a motion picture film. (Deprecated),,http://rdaregistry.info/termList/extent/1055,Deprecated,
film cartridges (Deprecated),,Cartridges containing a motion picture film. (Deprecated),,http://rdaregistry.info/termList/extent/1056,Deprecated,
film cassette (Deprecated),,A cassette containing a motion picture film. (Deprecated),,http://rdaregistry.info/termList/extent/1057,Deprecated,
film cassettes (Deprecated),,Cassettes containing a motion picture film. (Deprecated),,http://rdaregistry.info/termList/extent/1058,Deprecated,
film reel (Deprecated),,An open reel holding a motion picture film to be used with a motion picture film projector. (Deprecated),,http://rdaregistry.info/termList/extent/1059,Deprecated,
film reels (Deprecated),,Open reels holding a motion picture film to be used with a motion picture film projector. (Deprecated),,http://rdaregistry.info/termList/extent/1060,Deprecated,
film roll (Deprecated),,A wound length of film. (Deprecated),,http://rdaregistry.info/termList/extent/1061,Deprecated,
film rolls (Deprecated),,Wound lengths of film. (Deprecated),,http://rdaregistry.info/termList/extent/1062,Deprecated,
filmslip (Deprecated),,"A short strip of film, usually in rigid format rather than rolled. (Deprecated)",,http://rdaregistry.info/termList/extent/1063,Deprecated,
filmslips (Deprecated),,"Short strips of film, usually in rigid format rather than rolled. (Deprecated)",,http://rdaregistry.info/termList/extent/1064,Deprecated,
filmstrip (Deprecated),,"A roll of film, with or without recorded sound, containing a succession of images intended for projection one at a time. (Deprecated)",,http://rdaregistry.info/termList/extent/1065,Deprecated,
filmstrips (Deprecated),,"Rolls of film, with or without recorded sound, containing a succession of images intended for projection one at a time. (Deprecated)",,http://rdaregistry.info/termList/extent/1066,Deprecated,
filmstrip cartridge (Deprecated),,A cartridge containing a filmstrip. (Deprecated),,http://rdaregistry.info/termList/extent/1067,Deprecated,
filmstrip cartridges (Deprecated),,Cartridges containing a filmstrip. (Deprecated),,http://rdaregistry.info/termList/extent/1068,Deprecated,
overhead transparency (Deprecated),overhead projectural (Deprecated),A sheet of transparent material (with or without a protective mount) bearing an image designed for use with an overhead projector. (Deprecated),,http://rdaregistry.info/termList/extent/1069,Deprecated,
overhead transparencies (Deprecated),overhead projectural (Deprecated),Sheets of transparent material (with or without a protective mount) bearing an image designed for use with an overhead projector. (Deprecated),,http://rdaregistry.info/termList/extent/1070,Deprecated,
slide (Deprecated),,A small sheet of transparent material (usually in a protective mount) bearing an image designed for use with an slide projector or viewer. (Deprecated),"For slides designed to be used with a microscope, use microscope slide.",http://rdaregistry.info/termList/extent/1071,Deprecated,http://rdaregistry.info/termList/extent/1053
slides (Deprecated),,Small sheets of transparent material (usually in a protective mount) bearing an image designed for use with an slide projector or viewer. (Deprecated),"For slides designed to be used with a microscope, use microscope slides.",http://rdaregistry.info/termList/extent/1072,Deprecated,http://rdaregistry.info/termList/extent/1054
stereograph card (Deprecated),,A card bearing stereographic images. (Deprecated),,http://rdaregistry.info/termList/extent/1073,Deprecated,
stereograph cards (Deprecated),,Cards bearing stereographic images. (Deprecated),,http://rdaregistry.info/termList/extent/1074,Deprecated,
stereograph disc (Deprecated),,A disc with openings around the perimeter holding pairs of still images designed for use with a stereograph viewer. (Deprecated),,http://rdaregistry.info/termList/extent/1075,Deprecated,
stereograph discs (Deprecated),,Discs with openings around the perimeter holding pairs of still images designed for use with a stereograph viewer. (Deprecated),,http://rdaregistry.info/termList/extent/1076,Deprecated,
card (Deprecated),,A small sheet of opaque material. (Deprecated),,http://rdaregistry.info/termList/extent/1077,Deprecated,
cards (Deprecated),,Small sheets of opaque material. (Deprecated),,http://rdaregistry.info/termList/extent/1078,Deprecated,
flipchart (Deprecated),,A hinging device holding two or more sheets designed for use on an easel. (Deprecated),,http://rdaregistry.info/termList/extent/1079,Deprecated,
flipcharts (Deprecated),,Hinging devices holding two or more sheets designed for use on an easel. (Deprecated),,http://rdaregistry.info/termList/extent/1080,Deprecated,
object (Deprecated),,A three-dimensional artifact (or a replica of an artifact) or a naturally-occurring object. (Deprecated),,http://rdaregistry.info/termList/extent/1081,Deprecated,
objects (Deprecated),,Three-dimensional artifacts (or replicas of artifacts) or naturally-occurring objects. (Deprecated),,http://rdaregistry.info/termList/extent/1082,Deprecated,
roll (Deprecated),,"A wound length of material (paper, film, tape, etc.). (Deprecated)",,http://rdaregistry.info/termList/extent/1083,Deprecated,
