*preferred label[0]_en,*uri,*status
Black and white (Deprecated),http://rdaregistry.info/termList/colMovingImage/1001,Deprecated
Tinted (Deprecated),http://rdaregistry.info/termList/colMovingImage/1002,Deprecated
Toned (Deprecated),http://rdaregistry.info/termList/colMovingImage/1003,Deprecated
Tinted and toned (Deprecated),http://rdaregistry.info/termList/colMovingImage/1004,Deprecated
Sepia (Deprecated),http://rdaregistry.info/termList/colMovingImage/1005,Deprecated
