*preferred label[0]_en,alternative label[0]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,scope note[0]_en,*uri,*status
multiple unit,multipart monograph,1005,multiple unit,A mode of issuance of a manifestation that is issued as a multipart physical unit or intangible multipart logical unit.,A mode of issuance of a manifestation that is issued as a multipart physical unit or intangible multipart logical unit.,,rdami:1005,Published
single unit,,1001,single unit,A mode of issuance of a manifestation that is issued as a single physical unit or intangible single logical unit.,A mode of issuance of a manifestation that is issued as a single physical unit or intangible single logical unit.,"A single volume, a file available online, etc., are included.",rdami:1001,Published
integrating resource (Deprecated),,1004,integrating resource (Deprecated),A mode of issuance of a manifestation that is added to or changed by means of updates that do not remain discrete but are integrated into the whole. (Deprecated),A mode of issuance of a manifestation that is added to or changed by means of updates that do not remain discrete but are integrated into the whole. (Deprecated),"A loose-leaf manual that is updated by means of replacement pages, a website that is updated continuously, etc., are included. (Deprecated)",rdami:1004,Deprecated
multipart monograph (Deprecated),,1002,multipart monograph (Deprecated),"A mode of issuance of a manifestation issued in two or more parts, either simultaneously or successively, that is complete or intended to be completed within a finite number of parts. (Deprecated)","A mode of issuance of a manifestation issued in two or more parts, either simultaneously or successively, that is complete or intended to be completed within a finite number of parts. (Deprecated)","A dictionary in two volumes, three audiocassettes issued as a set, etc., are included. (Deprecated)",rdami:1002,Deprecated
serial (Deprecated),,1003,serial (Deprecated),"A mode of issuance of a manifestation issued in successive parts, usually bearing numbering, that has no predetermined conclusion. (Deprecated)","A mode of issuance of a manifestation issued in successive parts, usually bearing numbering, that has no predetermined conclusion. (Deprecated)","A serial includes a periodical, monographic series, newspaper, etc. Reproductions of serials and resources that exhibit characteristics of serials, such as successive issues, numbering, and frequency, but whose duration is limited, such as newsletters of events, are also included. (Deprecated)",rdami:1003,Deprecated
