*preferred label[0]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,*uri,*status
analog,1001,analog,A type of recording in which the content is stored as continuous variable quantities in or on the media.,A type of recording in which the content is stored as continuous variable quantities in or on the media.,rdatr:1001,Published
digital,1002,digital,A type of recording in which the content is continuously sampled and a sequence of discrete binary values is stored to represent the amplitude of each sample in the waveform.,A type of recording in which the content is continuously sampled and a sequence of discrete binary values is stored to represent the amplitude of each sample in the waveform.,rdatr:1002,Published
