*preferred label[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,*uri,*status
master tape (Deprecated),,Generation designation for an audio recording comprising the original recorded version of a tape from which copies can be made. (Deprecated),Generation designation for an audio recording comprising the original recorded version of a tape from which copies can be made. (Deprecated),http://rdaregistry.info/termList/genAudio/1001,Deprecated
Tape duplication master (Deprecated),Tape duplication master (Deprecated),,,http://rdaregistry.info/termList/genAudio/1002,Deprecated
disc master (Deprecated),disc master (Deprecated),Generation designation for an audio recording comprising a negative metal copy of a recording cut (typically) onto a lacquer-coated disc by means of a disc lathe; the lacquer original is destroyed in the process. The term master can also apply to the lacquer original if it has not been used to create a metal father. (Deprecated),Generation designation for an audio recording comprising a negative metal copy of a recording cut (typically) onto a lacquer-coated disc by means of a disc lathe; the lacquer original is destroyed in the process. The term master can also apply to the lacquer original if it has not been used to create a metal father. (Deprecated),http://rdaregistry.info/termList/genAudio/1003,Deprecated
Mother (Deprecated),Mother (Deprecated),,,http://rdaregistry.info/termList/genAudio/1004,Deprecated
Stamper (Deprecated),Stamper (Deprecated),,,http://rdaregistry.info/termList/genAudio/1005,Deprecated
Test pressing (Deprecated),Test pressing (Deprecated),,,http://rdaregistry.info/termList/genAudio/1006,Deprecated
