*preferred label[0]_en,*uri,*status
chieflyColoured (Deprecated),http://rdaregistry.info/termList/RDAcolour/1001,Deprecated
coloured (Deprecated),http://rdaregistry.info/termList/RDAcolour/1002,Deprecated
someColoured (Deprecated),http://rdaregistry.info/termList/RDAcolour/1003,Deprecated
