*preferred label[0]_en,definition[0]_en,*uri,*status
both sides (Deprecated),"The layout of a cartographic image that is continued at the same scale on the other side of the sheet or sheets, or if collectively describing multiple images, on both sides of the sheet or sheets. (Deprecated)",http://rdaregistry.info/termList/layoutCartoImage/1001,Deprecated
back to back (Deprecated),The layout of a cartographic resource in which the same image is represented in more than one language on each side of the sheet. (Deprecated),http://rdaregistry.info/termList/layoutCartoImage/1002,Deprecated
