*preferred label[0]_en,definition[0]_en,*uri,*status
microform reader,A device that magnifies microforms for reading with the unaided eye.,http://rdaregistry.info/termList/rofit/T1001,Published
microscope,An instrument that magnifies objects by means of a lens or lenses so as to reveal details invisible to the naked eye.,http://rdaregistry.info/termList/rofit/T1002,Published
projector,An optical device containing a light source and lens system for projecting an image on a screen or other surface.,http://rdaregistry.info/termList/rofit/T1003,Published
stereoscope,An optical device with two lenses enabling each eye to see a separate image of essentially the same content to give the effect of three-dimensions.,http://rdaregistry.info/termList/rofit/T1004,Published
audio player,A device designed to play audio recordings.,http://rdaregistry.info/termList/rofit/T1005,Published
audiovisual player,A device designed to play audiovisual recordings.,http://rdaregistry.info/termList/rofit/T1006,Published
computer,A device designed to perform prescribed sequences of operations on electronic data.,http://rdaregistry.info/termList/rofit/T1007,Published
not required,"No intermediation tool is required (i.e., the content of the resource is directly and adequately perceivable through one or more of the human senses).",http://rdaregistry.info/termList/rofit/T1008,Published
