*preferred label[0]_en,definition[0]_en,*uri,*status
determinate,The period of revision of the content has a predetermined end.,http://rdaregistry.info/termList/rofrt/T1001,Published
indeterminate,The period of revision of the content has no predetermined end.,http://rdaregistry.info/termList/rofrt/T1002,Published
not applicable,The content is not expected to be revised.,http://rdaregistry.info/termList/rofrt/T1003,Published
