*preferred label[0]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,*uri,*status
fully established,1001,fully established,A status of identification for an authorized access point when the data are complete.,A status of identification for an authorized access point when the data are complete.,rdasoi:1001,Published
preliminary,1003,preliminary,A status of identification for an authorized access point when the data are taken from a description without the resource described in hand.,A status of identification for an authorized access point when the data are taken from a description without the resource described in hand.,rdasoi:1003,Published
provisional,1002,provisional,A status of identification for an authorized access point when the data are insufficient to satisfactorily identify the entity.,A status of identification for an authorized access point when the data are insufficient to satisfactorily identify the entity.,rdasoi:1002,Published
