*preferred label[0]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,*uri,*status
HDTV,1001,HDTV,"A broadcast standard that is an encoding system for digital broadcast television, named after high-definition television.","A broadcast standard that is an encoding system for digital broadcast television, named after high-definition television.",rdabs:1001,Published
NTSC,1002,NTSC,"A broadcast standard that is an analogue broadcast television system that was used in most of the Americas and areas of the Far East, named after the National Television System Committee.","A broadcast standard that is an analogue broadcast television system that was used in most of the Americas and areas of the Far East, named after the National Television System Committee.",rdabs:1002,Published
PAL,1003,PAL,"A broadcast standard that is a colour encoding system for analogue broadcast television used in most countries broadcasting at 625-line / 25 frame per second, named after Phase Alternating Line.","A broadcast standard that is a colour encoding system for analogue broadcast television used in most countries broadcasting at 625-line / 25 frame per second, named after Phase Alternating Line.",rdabs:1003,Published
SECAM,1004,SECAM,"A broadcast standard that is a colour encoding system for analog broadcast television first used in France, named after Séquentiel couleur à mémoire.","A broadcast standard that is a colour encoding system for analog broadcast television first used in France, named after Séquentiel couleur à mémoire.",rdabs:1004,Published
