*preferred label[0]_en,definition[0]_en,*uri,*status
sheet,"A flat piece of thin material (paper, plastic, etc.), usually rectangular in shape.",http://rdaregistry.info/termList/rofsf/T1001,Published
strip,"A short length of material (paper, film, tape, etc.).",http://rdaregistry.info/termList/rofsf/T1002,Published
roll,"A wound length of material (paper, film, tape, etc.).",http://rdaregistry.info/termList/rofsf/T1003,Published
disc,"A flat, circular piece of material (plastic, metal, etc.).",http://rdaregistry.info/termList/rofsf/T1004,Published
sphere,"A round, ball-shaped form.",http://rdaregistry.info/termList/rofsf/T1005,Published
cylinder,A roller-shaped form.,http://rdaregistry.info/termList/rofsf/T1006,Published
chip,A small wafer of semiconductor silicon.,http://rdaregistry.info/termList/rofsf/T1007,Published
file server,A computer storage device with hardware and software connections to a communications network.,http://rdaregistry.info/termList/rofsf/T1008,Published
