*preferred label[0]_en,definition[0]_en,*uri,*status
binding,"A gathering of one or more sheets in a fixed order, with or without an affixed outer cover.",http://rdaregistry.info/termList/rofhf/T1001,Published
flipchart,A hinging device holding two or more sheets designed for use on an easel.,http://rdaregistry.info/termList/rofhf/T1002,Published
reel,A flanged spool for holding a roll.,http://rdaregistry.info/termList/rofhf/T1003,Published
cartridge,A rectangular casing fitted with a single reel holding a roll.,http://rdaregistry.info/termList/rofhf/T1004,Published
cassette,A rectangular casing fitted with two reels holding a roll.,http://rdaregistry.info/termList/rofhf/T1005,Published
not applicable,The storage medium is not encased in a housing.,http://rdaregistry.info/termList/rofhf/T1006,Published
