*preferred label[0]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,*uri,*status
monochrome,1002,monochrome,"A colour content that consists of tones of one colour, or black and white, or black or white and another colour.","A colour content that consists of tones of one colour, or black and white, or black or white and another colour.",rdacc:1002,Published
polychrome,1003,polychrome,"A colour content that consists of two colours, neither of which is black or white, or more than two colours.","A colour content that consists of two colours, neither of which is black or white, or more than two colours.",rdacc:1003,Published
