*preferred label[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,*uri,*status
female,female,The gender designation for woman or girl.,The gender designation for woman or girl.,http://rdaregistry.info/termList/gender/1001,Published
male,male,The gender designation for man or boy.,The gender designation for man or boy.,http://rdaregistry.info/termList/gender/1002,Published
not known,not known,The gender designation when specific gender is unknown.,The gender designation when specific gender is unknown.,http://rdaregistry.info/termList/gender/1003,Published
