*preferred label[0]_en,*uri,*status,has broader[0],has narrower[0]
Data type (Deprecated),http://rdaregistry.info/termList/digiRepCarto/1001,Deprecated,,http://rdaregistry.info/termList/digiRepCarto/1005
Object type (Deprecated),http://rdaregistry.info/termList/digiRepCarto/1002,Deprecated,,http://rdaregistry.info/termList/digiRepCarto/1008
raster (Deprecated),http://rdaregistry.info/termList/digiRepCarto/1003,Deprecated,,
vector (Deprecated),http://rdaregistry.info/termList/digiRepCarto/1004,Deprecated,,
point (Deprecated),http://rdaregistry.info/termList/digiRepCarto/1005,Deprecated,,
line (Deprecated),http://rdaregistry.info/termList/digiRepCarto/1006,Deprecated,,
polygon (Deprecated),http://rdaregistry.info/termList/digiRepCarto/1007,Deprecated,,
pixel (Deprecated),http://rdaregistry.info/termList/digiRepCarto/1008,Deprecated,,
