*preferred label[0]_en,definition[0]_en,*uri,*status
essential,Revision of the content after initial release is essential for its integrity.,http://rdaregistry.info/termList/rofrr/T1001,Published
inessential,Revision of the content after initial release is not essential for its integrity.,http://rdaregistry.info/termList/rofrr/T1002,Published
not applicable,The content is not expected to be revised.,http://rdaregistry.info/termList/rofrr/T1003,Published
