*preferred label[0]_en,*uri,*status
Douai (Deprecated),http://rdaregistry.info/termList/distCharReligious/1001,Deprecated
Confraternity (Deprecated),http://rdaregistry.info/termList/distCharReligious/1002,Deprecated
Selections (Deprecated),http://rdaregistry.info/termList/distCharReligious/1003,Deprecated
