*preferred label[0]_en,*uri,*status
original (Deprecated),http://rdaregistry.info/termList/genMoPic/1001,Deprecated
master (Deprecated),http://rdaregistry.info/termList/genMoPic/1002,Deprecated
duplicate (Deprecated),http://rdaregistry.info/termList/genMoPic/1003,Deprecated
reference print (Deprecated),http://rdaregistry.info/termList/genMoPic/1004,Deprecated
viewing copy (Deprecated),http://rdaregistry.info/termList/genMoPic/1005,Deprecated
