*preferred label[0]_en,definition[0]_en,*uri,*status
interactive,"The content responds to actions performed by the user (e.g., searches, commands, selections).",http://rdaregistry.info/termList/rofin/T1001,Published
non-interactive,The content does not respond to actions performed by the user.,http://rdaregistry.info/termList/rofin/T1002,Published
