*preferred label[0]_en,scope note[0]_en,*uri,*status
acetate (Deprecated),Record acetate when it cannot be determined whether the film base is diacetate or triacetate.,http://rdaregistry.info/termList/baseMicro/1001,Deprecated
diacetate (Deprecated),,http://rdaregistry.info/termList/baseMicro/1002,Deprecated
nitrate (Deprecated),,http://rdaregistry.info/termList/baseMicro/1003,Deprecated
polyester (Deprecated),,http://rdaregistry.info/termList/baseMicro/1004,Deprecated
safety base (Deprecated),Record safety base when the specific type of safety base cannot be determined.,http://rdaregistry.info/termList/baseMicro/1005,Deprecated
triacetate (Deprecated),,http://rdaregistry.info/termList/baseMicro/1006,Deprecated
