*preferred label[0]_en,*uri,*status
First generation (Deprecated),http://rdaregistry.info/termList/genVideo/1001,Deprecated
Second generation master copy (Deprecated),http://rdaregistry.info/termList/genVideo/1002,Deprecated
Second generation show copy (Deprecated),http://rdaregistry.info/termList/genVideo/1003,Deprecated
