*preferred label[0]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,*uri,*status
centre track,1001,centre track,A track configuration in which the audio track is located in the centre of a separate film roll.,A track configuration in which the audio track is located in the centre of a separate film roll.,rdatc:1001,Published
edge track,1002,edge track,A track configuration in which the audio track is located near the edge of a film roll.,A track configuration in which the audio track is located near the edge of a film roll.,rdatc:1002,Published
