*preferred label[0]_en,definition[0]_en,*uri,*status
still,Image content that is perceived to be static.,http://rdaregistry.info/termList/rofim/T1001,Published
moving,Image content that is perceived to be moving.,http://rdaregistry.info/termList/rofim/T1002,Published
not applicable,Content that is not of Character image.,http://rdaregistry.info/termList/rofim/T1003,Published
