*preferred label[0]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,scope note[0]_en,*uri,*status
interactive,1001,interactive,An interactivity mode that indicates that the content of an expression responds to actions performed by the user.,An interactivity mode that indicates that the content of an expression responds to actions performed by the user.,"Actions include searching, using commands, and making selections.",rdaim:1001,Published
non-interactive,1002,non-interactive,An interactivity mode that indicates that the content of an expression does not respond to actions performed by the user.,An interactivity mode that indicates that the content of an expression does not respond to actions performed by the user.,,rdaim:1002,Published
