*preferred label[0]_en,alternative label[0]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,scope note[0]_en,*uri,*status
coarse groove,,1001,coarse groove,A groove width for an analog disc typically around 40 grooves per cm or 100 grooves per inch.,A groove width for an analog disc typically around 40 grooves per cm or 100 grooves per inch.,Coarse groove is generally found in early acoustic and electric recordings that are mostly on shellac carriers.,rdagw:1001,Published
microgroove,,1002,microgroove,"A groove width for an analog disc typically in the range 120 to 160 or more per cm or 300 to 400 or more grooves per inch, generally pressed into vinyl and in use post 1945.","A groove width for an analog disc typically in the range 120 to 160 or more per cm or 300 to 400 or more grooves per inch, generally pressed into vinyl and in use post 1945.",,rdagw:1002,Published
