*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
is place of production of,rdapd:placeOfProductionOf.en,rdapd:P70041,property,rdac:C10009,rdap:P70041,rdapd:P70021,,Published
is place of publication of,rdapd:placeOfPublicationOf.en,rdapd:P70042,property,rdac:C10009,rdap:P70042,rdapd:P70021,,Published
has location,rdapd:location.en,rdapd:P70043,property,rdac:C10009,rdap:P70043,,,Published
has category of place,rdapd:categoryOfPlace.en,rdapd:P70044,property,rdac:C10009,rdap:P70044,rdaxd:P00029,,Published
has authorized access point for place,rdapd:authorizedAccessPointForPlace.en,rdapd:P70045,property,rdac:C10009,rdap:P70045,rdapd:P70018,rdaxd:P00020,Published
has variant access point for place,rdapd:variantAccessPointForPlace.en,rdapd:P70046,property,rdac:C10009,rdap:P70046,rdapd:P70018,rdaxd:P00022,Published
is parallel place of distribution of,rdapd:parallelPlaceOfDistributionOf.en,rdapd:P70047,property,rdac:C10009,rdap:P70047,rdapd:P70039,,Published
is parallel place of manufacture of,rdapd:parallelPlaceOfManufactureOf.en,rdapd:P70048,property,rdac:C10009,rdap:P70048,rdapd:P70040,,Published
is parallel place of production of,rdapd:parallelPlaceOfProductionOf.en,rdapd:P70049,property,rdac:C10009,rdap:P70049,rdapd:P70041,,Published
is parallel place of publication of,rdapd:parallelPlaceOfPublicationOf.en,rdapd:P70050,property,rdac:C10009,rdap:P70050,rdapd:P70042,,Published
is jurisdiction governed of,rdapd:jurisdictionGovernedOf.en,rdapd:P70051,property,rdac:C10009,rdap:P70051,rdapd:P70016,,Published
is place of capture of representative expression of,rdapd:placeOfCaptureOfRepresentativeExpressionOf.en,rdapd:P70052,property,rdac:C10009,rdap:P70052,rdapd:P70004,,Published
has related entity of place,rdapd:relatedEntityOfPlace.en,rdapd:P70053,property,rdac:C10009,rdap:P70053,rdaxd:P00028,,Published
has related entity of place,rdapd:relatedEntityOfPlace.en,rdapd:P70053,property,rdac:C10009,rdap:P70053,rdaxd:P00028,,Published
is place described by,rdapd:placeDescribedBy.en,rdapd:P70054,property,rdac:C10009,rdap:P70054,rdapd:P70017,,Published
is location of collection of,rdapd:locationOfCollectionOf.en,rdapd:P70055,property,rdac:C10009,rdap:P70055,rdapd:P70006,,Published
is location of item of,rdapd:locationOfItemOf.en,rdapd:P70056,property,rdac:C10009,rdap:P70056,rdapd:P70007,,Published
is place described with metadata by,rdapd:placeDescribedWithMetadataBy.en,rdapd:P70057,property,rdac:C10009,rdap:P70057,rdapd:P70054,,Published
