*preferred label[0]_en,*uri,*status
Mixed voices (Deprecated),http://rdaregistry.info/termList/Choruses/1001,Deprecated
Men's voices (Deprecated),http://rdaregistry.info/termList/Choruses/1002,Deprecated
Women's voices (Deprecated),http://rdaregistry.info/termList/Choruses/1003,Deprecated
Unison voices (Deprecated),http://rdaregistry.info/termList/Choruses/1004,Deprecated
Children's voices (Deprecated),http://rdaregistry.info/termList/Choruses/1005,Deprecated
