*preferred label[0]_en,*uri,*status
Black and white (Deprecated),http://rdaregistry.info/termList/colStillImage/1001,Deprecated
Gray scale (Deprecated),http://rdaregistry.info/termList/colStillImage/1002,Deprecated
Tinted (Deprecated),http://rdaregistry.info/termList/colStillImage/1003,Deprecated
Toned (Deprecated),http://rdaregistry.info/termList/colStillImage/1004,Deprecated
Tinted and toned,http://rdaregistry.info/termList/colStillImage/1005,Deprecated
Sepia (Deprecated),http://rdaregistry.info/termList/colStillImage/1006,Deprecated
