*preferred label[0]_en,alternative label[0]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,*uri,*status
silent,,1002,silent,A sound content indicator for a resource that does not contain sound.,A sound content indicator for a resource that does not contain sound.,rdasco:1002,Published
sound,,1001,sound,A sound content indicator for a resource that contains sound.,A sound content indicator for a resource that contains sound.,rdasco:1001,Published
