*preferred label[0]_en,definition[0]_en,*uri,*status
two-dimensional,Image content that is intended to be perceived in two-dimensions.,http://rdaregistry.info/termList/rofid/T1001,Published
three-dimensional,Image content that is intended to be perceived in three-dimensions.,http://rdaregistry.info/termList/rofid/T1002,Published
not applicable,Content that is not of Character image.,http://rdaregistry.info/termList/rofid/T1003,Published
