*preferred label[0]_en,*uri,*status
Original (Deprecated),http://rdaregistry.info/termList/genDigital/1001,Deprecated
Master (Deprecated),http://rdaregistry.info/termList/genDigital/1002,Deprecated
Derivative master (Deprecated),http://rdaregistry.info/termList/genDigital/1003,Deprecated
