*preferred label[0]_en,definition[0]_en,*uri,*status
diazo (Deprecated),An emulsion on microfilm and microfiche consisting of one or more light-sensitive layers of diazonium salts in a polyester or acetate base that react with dye couplers when processed to produce azo dye images.,http://rdaregistry.info/termList/emulsionMicro/1001,Deprecated
mixed (Deprecated),,http://rdaregistry.info/termList/emulsionMicro/1002,Deprecated
silver halide (Deprecated),"An emulsion on microfilm and microfiche consisting of a light-sensitive compound of silver and a halogen (chlorine, bromine, iodine or fluorine) suspended in a colloidal medium, usually gelatin.",http://rdaregistry.info/termList/emulsionMicro/1003,Deprecated
vesicular (Deprecated),"An emulsion on microfilm and microfiche consisting of one or more light-sensitive layers of diazonium salts in a polyester thermoplastic base that decompose on exposure to produce nitrogen bubbles (vesicles) that form the latent image, which becomes visible and fixed when heated and allowed to cool. Vesicular images are commonly blue or beige in color. They do not appear to have much contrast until projected in a microform reader.",http://rdaregistry.info/termList/emulsionMicro/1004,Deprecated
