RDA,mapping,MARC 21 Authority encoding string and recording method
rdaa:P50038,rdakit:hasM21,411 ** $a [structured description]
rdaa:P50236,rdakit:hasM21,411 ** $a [structured description]
rdaw:P10332,rdakit:hasM21,"411 ** $a, c, d, e, f, n, p, q, s, t [structured description]"
rdaa:P50373,rdakit:hasM21,"411 ** $a, c, d, e, g, n, q [structured description]"
rdaa:P50374,rdakit:hasM21,"411 ** $a, c, d, e, g, n, q [structured description]"
rdaa:P50375,rdakit:hasM21,"411 ** $a, c, d, e, g, n, q [structured description]"
rdaa:P50404,rdakit:hasM21,"411 ** $a, c, d, e, g, n, q [structured description]"
rdaa:P50406,rdakit:hasM21,"411 ** $a, c, d, e, g, n, q [structured description]"
rdaa:P50408,rdakit:hasM21,"411 ** $a, c, d, e, g, n, q [structured description]"
rdaa:P50385,rdakit:hasM21,"411 ** $a, e, q [unstructured description]"
rdaa:P50386,rdakit:hasM21,"411 ** $a, e, q [unstructured description]"
rdaa:P50032,rdakit:hasM21,"411 ** $a, e, q [unstructured description]"
rdaa:P50415,rdakit:hasM21,"411 ** $a, e, q [unstructured description]"
rdaa:P50416,rdakit:hasM21,"411 ** $a, e, q [unstructured description]"
rdaa:P50025,rdakit:hasM21,"411 ** $a, e, q [unstructured description]"
rdaa:P50024,rdakit:hasM21,411 ** $c [structured description]
rdaa:P50039,rdakit:hasM21,411 ** $d [structured description]
rdaw:P10219,rdakit:hasM21,411 ** $f [structured description]
rdae:P20006,rdakit:hasM21,411 ** $l [structured description]
rdaa:P50019,rdakit:hasM21,411 ** $n [structured description]
rdaw:P10086,rdakit:hasM21,411 ** $t [unstructured description]
rdan:P80067,rdakit:hasM21,411 ** $w/0 [identifier]
rdan:P80067,rdakit:hasM21,411 ** $w/1 [identifier]
rdae:P20065,rdakit:hasM21,430 ** $6 [identifier] (recording a script of description)
rdaw:P10086,rdakit:hasM21,430 ** $a [unstructured description]
rdaw:P10332,rdakit:hasM21,"430 ** $a, d, f, k, m, n, p, r [structured description]"
rdaw:P10219,rdakit:hasM21,430 ** $f [structured description]
rdae:P20006,rdakit:hasM21,430 ** $l [structured description]
rdaw:P10220,rdakit:hasM21,430 ** $m [structured description]
rdaw:P10079,rdakit:hasM21,430 ** $n [identifier]
rdaw:P10221,rdakit:hasM21,430 ** $r [structured description]
rdan:P80067,rdakit:hasM21,430 ** $w/0 [identifier]
rdan:P80067,rdakit:hasM21,430 ** $w/1 [identifier]
rdae:P20065,rdakit:hasM21,451 ** $6 [identifier] (recording a script of description)
rdap:P70046,rdakit:hasM21,451 ** $a [structured description]
rdap:P70003,rdakit:hasM21,451 ** $a [unstructured description]
rdae:P20049,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20012,rdakit:hasM21,500 ** $0 [identifier]
rdaa:P50426,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20028,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20038,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20292,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20287,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20285,rdakit:hasM21,500 ** $0 [identifier]
rdaa:P50427,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20283,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20021,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20011,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20328,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20329,rdakit:hasM21,500 ** $0 [identifier]
rdaa:P50369,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20036,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20040,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20053,rdakit:hasM21,500 ** $0 [identifier]
rdaw:P10182,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20014,rdakit:hasM21,500 ** $0 [identifier]
rdaw:P10219,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20296,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20033,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20295,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20330,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20055,rdakit:hasM21,500 ** $0 [identifier]
rdaa:P50370,rdakit:hasM21,500 ** $0 [identifier]
rdaa:P51106,rdakit:hasM21,500 ** $0 [identifier]
rdaa:P50020,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20016,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20015,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20286,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20020,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20259,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20277,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20284,rdakit:hasM21,500 ** $0 [identifier]
rdaw:P10212,rdakit:hasM21,500 ** $0 [identifier]
rdaw:P10213,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20058,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20293,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20017,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20294,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20035,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20022,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20279,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20013,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20019,rdakit:hasM21,500 ** $0 [identifier]
rdaw:P10019,rdakit:hasM21,500 ** $0 [identifier]
rdaw:P10147,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20039,rdakit:hasM21,500 ** $0 [identifier]
rdaa:P50368,rdakit:hasM21,500 ** $0 [identifier]
rdaa:P50445,rdakit:hasM21,500 ** $0 [identifier]
rdaw:P10156,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20054,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20056,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20018,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20050,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20052,rdakit:hasM21,500 ** $0 [identifier]
rdaa:P50309,rdakit:hasM21,500 ** $0 [identifier]
rdaa:P50358,rdakit:hasM21,500 ** $0 [identifier]
rdaa:P50333,rdakit:hasM21,500 ** $0 [identifier]
rdaa:P50324,rdakit:hasM21,500 ** $0 [identifier]
rdaa:P50315,rdakit:hasM21,500 ** $0 [identifier]
rdaa:P50306,rdakit:hasM21,500 ** $0 [identifier]
rdaa:P50321,rdakit:hasM21,500 ** $0 [identifier]
rdaa:P50305,rdakit:hasM21,500 ** $0 [identifier]
rdaa:P50320,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20327,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20025,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20276,rdakit:hasM21,500 ** $0 [identifier]
rdaw:P10406,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20024,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20258,rdakit:hasM21,500 ** $0 [identifier]
rdaa:P51096,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20031,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20023,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20034,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20037,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20257,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20070,rdakit:hasM21,500 ** $0 [identifier]
rdae:P20049,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20012,rdakit:hasM21,500 ** $1 [IRI]
rdaa:P50426,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20028,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20038,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20292,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20287,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20285,rdakit:hasM21,500 ** $1 [IRI]
rdaa:P50427,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20283,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20021,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20011,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20328,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20329,rdakit:hasM21,500 ** $1 [IRI]
rdaa:P50369,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20036,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20040,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20053,rdakit:hasM21,500 ** $1 [IRI]
rdaw:P10182,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20014,rdakit:hasM21,500 ** $1 [IRI]
rdaw:P10219,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20296,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20033,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20295,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20330,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20055,rdakit:hasM21,500 ** $1 [IRI]
rdaa:P50370,rdakit:hasM21,500 ** $1 [IRI]
rdaa:P51106,rdakit:hasM21,500 ** $1 [IRI]
rdaa:P50020,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20016,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20015,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20286,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20020,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20259,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20277,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20284,rdakit:hasM21,500 ** $1 [IRI]
rdaw:P10212,rdakit:hasM21,500 ** $1 [IRI]
rdaw:P10213,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20058,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20293,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20017,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20294,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20035,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20022,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20279,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20013,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20019,rdakit:hasM21,500 ** $1 [IRI]
rdaw:P10019,rdakit:hasM21,500 ** $1 [IRI]
rdaw:P10147,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20039,rdakit:hasM21,500 ** $1 [IRI]
rdaa:P50368,rdakit:hasM21,500 ** $1 [IRI]
rdaa:P50445,rdakit:hasM21,500 ** $1 [IRI]
rdaw:P10156,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20054,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20056,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20018,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20050,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20052,rdakit:hasM21,500 ** $1 [IRI]
rdaa:P50309,rdakit:hasM21,500 ** $1 [IRI]
rdaa:P50358,rdakit:hasM21,500 ** $1 [IRI]
rdaa:P50333,rdakit:hasM21,500 ** $1 [IRI]
rdaa:P50324,rdakit:hasM21,500 ** $1 [IRI]
rdaa:P50315,rdakit:hasM21,500 ** $1 [IRI]
rdaa:P50306,rdakit:hasM21,500 ** $1 [IRI]
rdaa:P50321,rdakit:hasM21,500 ** $1 [IRI]
rdaa:P50305,rdakit:hasM21,500 ** $1 [IRI]
rdaa:P50320,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20327,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20025,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20276,rdakit:hasM21,500 ** $1 [IRI]
rdaw:P10406,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20024,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20258,rdakit:hasM21,500 ** $1 [IRI]
rdaa:P51096,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20031,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20023,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20034,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20037,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20257,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20070,rdakit:hasM21,500 ** $1 [IRI]
rdae:P20065,rdakit:hasM21,500 ** $6 [identifier] (recording a script of description)
rdaa:P50306,rdakit:hasM21,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t [structured description]"
rdaa:P50321,rdakit:hasM21,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t [structured description]"
rdaa:P50320,rdakit:hasM21,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t [structured description]"
rdaa:P50426,rdakit:hasM21,"500 ** $a, b, c, d, f, g, m, n, p, q, r, t [structured description]"
rdaa:P50427,rdakit:hasM21,"500 ** $a, b, c, d, f, g, m, n, p, q, r, t [structured description]"
rdaa:P50369,rdakit:hasM21,"500 ** $a, b, c, d, f, g, m, n, p, q, r, t [structured description]"
rdaw:P10182,rdakit:hasM21,"500 ** $a, b, c, d, f, g, m, n, p, q, r, t [structured description]"
rdaa:P50370,rdakit:hasM21,"500 ** $a, b, c, d, f, g, m, n, p, q, r, t [structured description]"
rdaw:P10212,rdakit:hasM21,"500 ** $a, b, c, d, f, g, m, n, p, q, r, t [structured description]"
rdaw:P10213,rdakit:hasM21,"500 ** $a, b, c, d, f, g, m, n, p, q, r, t [structured description]"
rdaw:P10019,rdakit:hasM21,"500 ** $a, b, c, d, f, g, m, n, p, q, r, t [structured description]"
rdaw:P10147,rdakit:hasM21,"500 ** $a, b, c, d, f, g, m, n, p, q, r, t [structured description]"
rdaa:P50368,rdakit:hasM21,"500 ** $a, b, c, d, f, g, m, n, p, q, r, t [structured description]"
rdaw:P10156,rdakit:hasM21,"500 ** $a, b, c, d, f, g, m, n, p, q, r, t [structured description]"
rdaa:P50305,rdakit:hasM21,"500 ** $a, b, c, d, f, g, m, n, p, q, r, t [structured description]"
rdae:P20049,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20012,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20028,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20038,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20292,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20287,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20285,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20283,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20021,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20011,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20328,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20329,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20036,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20040,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20053,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
,,
rdae:P20296,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20033,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20295,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20330,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20055,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdaa:P51106,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20016,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20015,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20286,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20020,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20259,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20277,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20284,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20058,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20293,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20017,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20294,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20035,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20022,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20279,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20013,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20019,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20039,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20054,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20056,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20018,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20050,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20052,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdaa:P50309,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdaa:P50358,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdaa:P50333,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdaa:P50324,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdaa:P50315,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20327,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20025,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20276,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20024,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20258,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdaa:P51096,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20031,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20034,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20037,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20257,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdae:P20070,rdakit:hasM21,"500 ** $a, b, c, d, g, q [structured description]"
rdan:P80067,rdakit:hasM21,500 ** $w/0 [identifier]
rdan:P80067,rdakit:hasM21,500 ** $w/1 [identifier]
rdaa:P50334,rdakit:hasM21,500 0 $0 [identifier]
rdae:P20357,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20369,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10413,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10448,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50428,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20394,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10042,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10035,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10438,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20365,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20350,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10451,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50275,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50276,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20348,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10421,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10436,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10428,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10426,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10435,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10453,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20356,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50284,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20336,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10434,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10397,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50274,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20340,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20377,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10439,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10444,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20383,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10458,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20367,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20366,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20345,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20352,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50277,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20389,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10396,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20371,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10412,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10414,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10286,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10041,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10325,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10441,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10455,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10415,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20349,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20339,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20393,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20338,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20390,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10417,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50026,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50283,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50279,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10418,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10422,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10450,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50029,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50280,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50252,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10433,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20372,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20381,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20368,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20376,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20354,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10447,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20337,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10446,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10443,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10456,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10044,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10425,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20387,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10431,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20344,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10430,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20341,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10036,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20392,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20385,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20373,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20362,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20342,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20378,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50027,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20363,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20370,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10457,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20375,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50278,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20351,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50030,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50056,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10445,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10043,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10045,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20388,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10454,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20391,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10440,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20374,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10419,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10423,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10432,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50429,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20386,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20358,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50220,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50365,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20302,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50325,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50316,rdakit:hasM21,500 0* $0 [identifier]
rdap:P70014,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10312,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10449,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10416,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10001,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20355,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20347,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10429,rdakit:hasM21,500 0* $0 [identifier]
rdaw:P10427,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20382,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20353,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20343,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20380,rdakit:hasM21,500 0* $0 [identifier]
rdae:P20360,rdakit:hasM21,500 0* $0 [identifier]
rdaa:P50028,rdakit:hasM21,500 0* $0 [identifier]
