RDA,mapping,MARC 21 Authority encoding string and recording method
rdam:P30083,rdakit:hasM21,040 ** $c [identifier] (recording an agent who publishes metadata)
rdaw:P10061,rdakit:hasM21,040 ** $d [identifier] (recording an agent who records metadata)
rdaw:P10406,rdakit:hasM21,040 ** $e [identifier]
rdaw:P10406,rdakit:hasM21,043 ** $2 [identifier]
rdae:P20065,rdakit:hasM21,043 ** $6 [identifier] (recording a script of description)
rdae:P20065,rdakit:hasM21,045 ** $6 [identifier] (recording a script of description)
rdaw:P10406,rdakit:hasM21,046 ** $2 [identifier]
rdae:P20065,rdakit:hasM21,046 ** $6 [identifier] (recording a script of description)
rdaa:P50121,rdakit:hasM21,046 ** $f [structured description]
rdaa:P50339,rdakit:hasM21,046 ** $f [structured description]
rdaa:P50347,rdakit:hasM21,046 ** $f [structured description]
rdaa:P50120,rdakit:hasM21,046 ** $g [structured description]
rdaa:P50339,rdakit:hasM21,046 ** $g [structured description]
rdaa:P50347,rdakit:hasM21,046 ** $g [structured description]
rdaw:P10219,rdakit:hasM21,046 ** $k [structured description]
rdae:P20307,rdakit:hasM21,046 ** $k [structured description]
rdaw:P10317,rdakit:hasM21,046 ** $k [structured description]
rdae:P20307,rdakit:hasM21,046 ** $l [structured description]
rdaw:P10317,rdakit:hasM21,046 ** $l [structured description]
rdaa:P50039,rdakit:hasM21,046 ** $q [structured description]
rdaa:P50037,rdakit:hasM21,046 ** $q [structured description]
rdaa:P50431,rdakit:hasM21,046 ** $q [structured description]
rdaa:P50339,rdakit:hasM21,046 ** $q [structured description]
rdaa:P50343,rdakit:hasM21,046 ** $q [structured description]
rdaa:P50351,rdakit:hasM21,046 ** $q [structured description]
rdaa:P50039,rdakit:hasM21,046 ** $r [structured description]
rdaa:P50038,rdakit:hasM21,046 ** $r [structured description]
rdaa:P50431,rdakit:hasM21,046 ** $r [structured description]
rdaa:P50339,rdakit:hasM21,046 ** $r [structured description]
rdaa:P50343,rdakit:hasM21,046 ** $r [structured description]
rdaa:P50351,rdakit:hasM21,046 ** $r [structured description]
rdaa:P50431,rdakit:hasM21,046 ** $s [structured description]
rdaa:P50236,rdakit:hasM21,046 ** $s [structured description]
rdaa:P50432,rdakit:hasM21,046 ** $s [structured description]
rdaa:P50098,rdakit:hasM21,046 ** $s [structured description]
rdaa:P50339,rdakit:hasM21,046 ** $s [structured description]
rdaa:P50343,rdakit:hasM21,046 ** $s [structured description]
rdaa:P50351,rdakit:hasM21,046 ** $s [structured description]
rdaa:P50431,rdakit:hasM21,046 ** $t [structured description]
rdaa:P50236,rdakit:hasM21,046 ** $t [structured description]
rdaa:P50432,rdakit:hasM21,046 ** $t [structured description]
rdaa:P50098,rdakit:hasM21,046 ** $t [structured description]
rdaa:P50339,rdakit:hasM21,046 ** $t [structured description]
rdaa:P50343,rdakit:hasM21,046 ** $t [structured description]
rdaa:P50351,rdakit:hasM21,046 ** $t [structured description]
rdaw:P10406,rdakit:hasM21,050 ** $0 [identifier]
rdaw:P10406,rdakit:hasM21,050 ** $1 [IRI]
rdaw:P10061,rdakit:hasM21,050 ** $5 [identifier] (recording an agent who records metadata)
rdam:P30083,rdakit:hasM21,050 ** $5 [identifier] (recording an agent who publishes metadata)
rdae:P20065,rdakit:hasM21,050 ** $6 [identifier] (recording a script of description)
rdaw:P10256,rdakit:hasM21,050 ** $a [structured description]
rdaw:P10406,rdakit:hasM21,052 ** $0 [identifier]
rdaw:P10406,rdakit:hasM21,052 ** $1 [IRI]
rdaw:P10406,rdakit:hasM21,052 ** $2 [identifier]
rdae:P20065,rdakit:hasM21,052 ** $6 [identifier] (recording a script of description)
rdaw:P10256,rdakit:hasM21,052 ** $a [structured description]
rdaw:P10406,rdakit:hasM21,053 ** $0 [identifier]
rdaw:P10406,rdakit:hasM21,053 ** $1 [IRI]
rdaw:P10061,rdakit:hasM21,053 ** $5 [identifier] (recording an agent who records metadata)
rdam:P30083,rdakit:hasM21,053 ** $5 [identifier] (recording an agent who publishes metadata)
rdae:P20065,rdakit:hasM21,053 ** $6 [identifier] (recording a script of description)
rdaw:P10256,rdakit:hasM21,053 ** $a [structured description]
rdaw:P10256,rdakit:hasM21,053 ** $b [structured description]
rdaw:P10406,rdakit:hasM21,055 ** $0 [identifier]
rdaw:P10406,rdakit:hasM21,055 ** $1 [IRI]
rdaw:P10406,rdakit:hasM21,055 ** $2 [identifier]
rdaw:P10061,rdakit:hasM21,055 ** $5 [identifier] (recording an agent who records metadata)
rdam:P30083,rdakit:hasM21,055 ** $5 [identifier] (recording an agent who publishes metadata)
rdae:P20065,rdakit:hasM21,055 ** $6 [identifier] (recording a script of description)
rdaw:P10256,rdakit:hasM21,055 ** $a [structured description]
rdaw:P10406,rdakit:hasM21,060 ** $0 [identifier]
rdaw:P10406,rdakit:hasM21,060 ** $1 [IRI]
rdaw:P10061,rdakit:hasM21,060 ** $5 [identifier] (recording an agent who records metadata)
rdam:P30083,rdakit:hasM21,060 ** $5 [identifier] (recording an agent who publishes metadata)
rdae:P20065,rdakit:hasM21,060 ** $6 [identifier] (recording a script of description)
rdaw:P10256,rdakit:hasM21,060 ** $a [structured description]
rdaw:P10406,rdakit:hasM21,065 ** $0 [identifier]
