RDA,mapping,DC term
rdam:P30113,rdfs:subPropertyOf,dct:description
rdam:P30115,rdfs:subPropertyOf,dct:description
rdam:P30116,rdfs:subPropertyOf,dct:description
rdam:P30117,rdfs:subPropertyOf,dct:description
rdam:P30118,rdfs:subPropertyOf,dct:description
rdam:P30119,rdfs:subPropertyOf,dct:description
rdam:P30121,rdfs:subPropertyOf,dct:description
rdam:P30122,rdfs:subPropertyOf,dct:medium
rdam:P30123,rdfs:subPropertyOf,dct:format
rdam:P30124,rdfs:subPropertyOf,dct:format
rdam:P30125,rdfs:subPropertyOf,dct:format
rdam:P30126,rdfs:subPropertyOf,dct:format
rdam:P30127,rdfs:subPropertyOf,dct:format
rdam:P30128,rdfs:subPropertyOf,dct:title
rdam:P30131,rdfs:subPropertyOf,dct:alternative
rdam:P30134,rdfs:subPropertyOf,dct:title
rdam:P30136,rdfs:subPropertyOf,dct:isFormatOf
rdam:P30137,rdfs:subPropertyOf,dct:description
rdam:P30138,rdfs:subPropertyOf,dct:format
rdam:P30140,rdfs:subPropertyOf,dct:relation
rdam:P30145,rdfs:subPropertyOf,dct:accessRights
rdam:P30146,rdfs:subPropertyOf,dct:rights
rdam:P30147,rdfs:subPropertyOf,dct:identifier
rdam:P30148,rdfs:subPropertyOf,dct:identifier
rdam:P30149,rdfs:subPropertyOf,dct:identifier
rdam:P30150,rdfs:subPropertyOf,dct:identifier
rdam:P30155,rdfs:subPropertyOf,dct:format
rdam:P30156,rdfs:subPropertyOf,dct:title
rdam:P30157,rdfs:subPropertyOf,dct:title
rdam:P30159,rdfs:subPropertyOf,dct:format
rdam:P30160,rdfs:subPropertyOf,dct:accessRights
rdam:P30161,rdfs:subPropertyOf,dct:format
rdam:P30164,rdfs:subPropertyOf,dct:format
rdam:P30172,rdfs:subPropertyOf,dct:format
rdam:P30176,rdfs:subPropertyOf,dct:publisher
rdam:P30182,rdfs:subPropertyOf,dct:extent
rdam:P30186,rdfs:subPropertyOf,dct:medium
rdam:P30196,rdfs:subPropertyOf,dct:format
rdam:P30197,rdfs:subPropertyOf,dct:format
rdam:P30198,rdfs:subPropertyOf,dct:format
rdam:P30200,rdfs:subPropertyOf,dct:format
rdam:P30201,rdfs:subPropertyOf,dct:format
rdam:P30202,rdfs:subPropertyOf,dct:format
rdam:P30203,rdfs:subPropertyOf,dct:title
rdam:P30208,rdfs:subPropertyOf,dct:medium
rdam:P30215,rdfs:subPropertyOf,dct:publisher
rdam:P30216,rdfs:subPropertyOf,dct:medium
rdam:P30217,rdfs:subPropertyOf,dct:medium
rdam:P30218,rdfs:subPropertyOf,dct:format
rdam:P30219,rdfs:subPropertyOf,dct:format
rdam:P30220,rdfs:subPropertyOf,dct:format
rdam:P30221,rdfs:subPropertyOf,dct:format
rdam:P30222,rdfs:subPropertyOf,dct:format
rdam:P30223,rdfs:subPropertyOf,dct:medium
rdam:P30224,rdfs:subPropertyOf,dct:format
rdam:P30225,rdfs:subPropertyOf,dct:format
rdam:P30232,rdfs:subPropertyOf,dct:format
rdam:P30233,rdfs:subPropertyOf,dct:format
rdam:P30234,rdfs:subPropertyOf,dct:medium
rdam:P30235,rdfs:subPropertyOf,dct:format
rdam:P30236,rdfs:subPropertyOf,dct:format
rdam:P30237,rdfs:subPropertyOf,dct:format
rdam:P30241,rdfs:subPropertyOf,dct:format
rdam:P30242,rdfs:subPropertyOf,dct:format
rdam:P30244,rdfs:subPropertyOf,dct:format
rdam:P30246,rdfs:subPropertyOf,dct:format
rdam:P30247,rdfs:subPropertyOf,dct:format
rdam:P30248,rdfs:subPropertyOf,dct:format
rdam:P30249,rdfs:subPropertyOf,dct:format
rdam:P30250,rdfs:subPropertyOf,dct:format
rdam:P30251,rdfs:subPropertyOf,dct:format
rdam:P30262,rdfs:subPropertyOf,dct:format
rdam:P30263,rdfs:subPropertyOf,dct:format
rdam:P30265,rdfs:subPropertyOf,dct:relation
rdam:P30266,rdfs:subPropertyOf,dct:relation
rdam:P30275,rdfs:subPropertyOf,dct:format
rdam:P30276,rdfs:subPropertyOf,dct:title
rdam:P30278,rdfs:subPropertyOf,dct:date
rdam:P30280,rdfs:subPropertyOf,dct:description
rdam:P30281,rdfs:subPropertyOf,dct:description
rdam:P30282,rdfs:subPropertyOf,dct:description
rdam:P30283,rdfs:subPropertyOf,dct:description
rdam:P30284,rdfs:subPropertyOf,dct:description
rdam:P30285,rdfs:subPropertyOf,dct:description
rdam:P30286,rdfs:subPropertyOf,dct:description
rdam:P30287,rdfs:subPropertyOf,dct:description
rdam:P30288,rdfs:subPropertyOf,dct:description
rdam:P30289,rdfs:subPropertyOf,dct:description
rdam:P30290,rdfs:subPropertyOf,dct:description
rdam:P30291,rdfs:subPropertyOf,dct:description
rdam:P30292,rdfs:subPropertyOf,dct:description
rdam:P30293,rdfs:subPropertyOf,dct:description
rdam:P30294,rdfs:subPropertyOf,dct:title
rdam:P30295,rdfs:subPropertyOf,dct:title
rdam:P30296,rdfs:subPropertyOf,dct:identifier
rdam:P30299,rdfs:subPropertyOf,dct:isFormatOf
rdam:P30302,rdfs:subPropertyOf,dct:isFormatOf
rdam:P30303,rdfs:subPropertyOf,dct:isFormatOf
rdam:P30304,rdfs:subPropertyOf,dct:medium
rdam:P30305,rdfs:subPropertyOf,dct:audience
rdam:P30307,rdfs:subPropertyOf,dct:format
rdam:P30308,rdfs:subPropertyOf,dct:format
rdam:P30311,rdfs:subPropertyOf,dct:contributor
rdam:P30312,rdfs:subPropertyOf,dct:publisher
rdam:P30315,rdfs:subPropertyOf,dct:contributor
rdam:P30316,rdfs:subPropertyOf,dct:contributor
rdam:P30321,rdfs:subPropertyOf,dct:contributor
rdam:P30326,rdfs:subPropertyOf,dct:contributor
rdam:P30327,rdfs:subPropertyOf,dct:contributor
rdam:P30328,rdfs:subPropertyOf,dct:contributor
rdam:P30329,rdfs:subPropertyOf,dct:publisher
rdam:P30331,rdfs:subPropertyOf,dct:contributor
rdam:P30332,rdfs:subPropertyOf,dct:contributor
rdam:P30333,rdfs:subPropertyOf,dct:contributor
rdam:P30335,rdfs:subPropertyOf,dct:type
rdam:P30336,rdfs:subPropertyOf,dct:contributor
rdam:P30337,rdfs:subPropertyOf,dct:publisher
rdam:P30338,rdfs:subPropertyOf,dct:contributor
rdam:P30339,rdfs:subPropertyOf,dct:contributor
rdam:P30340,rdfs:subPropertyOf,dct:contributor
rdam:P30341,rdfs:subPropertyOf,dct:contributor
rdam:P30342,rdfs:subPropertyOf,dct:contributor
rdam:P30343,rdfs:subPropertyOf,dct:contributor
rdam:P30344,rdfs:subPropertyOf,dct:contributor
rdam:P30345,rdfs:subPropertyOf,dct:contributor
rdam:P30346,rdfs:subPropertyOf,dct:contributor
rdam:P30347,rdfs:subPropertyOf,dct:publisher
rdam:P30348,rdfs:subPropertyOf,dct:publisher
rdam:P30349,rdfs:subPropertyOf,dct:publisher
rdam:P30350,rdfs:subPropertyOf,dct:publisher
rdam:P30351,rdfs:subPropertyOf,dct:publisher
rdam:P30352,rdfs:subPropertyOf,dct:publisher
rdam:P30353,rdfs:subPropertyOf,dct:publisher
rdam:P30354,rdfs:subPropertyOf,dct:publisher
rdam:P30355,rdfs:subPropertyOf,dct:publisher
rdam:P30356,rdfs:subPropertyOf,dct:publisher
rdam:P30357,rdfs:subPropertyOf,dct:publisher
rdam:P30358,rdfs:subPropertyOf,dct:publisher
rdam:P30359,rdfs:subPropertyOf,dct:publisher
rdam:P30360,rdfs:subPropertyOf,dct:publisher
rdam:P30361,rdfs:subPropertyOf,dct:publisher
rdam:P30362,rdfs:subPropertyOf,dct:publisher
rdam:P30363,rdfs:subPropertyOf,dct:publisher
rdam:P30364,rdfs:subPropertyOf,dct:publisher
rdam:P30365,rdfs:subPropertyOf,dct:contributor
rdam:P30366,rdfs:subPropertyOf,dct:publisher
rdam:P30367,rdfs:subPropertyOf,dct:contributor
rdam:P30368,rdfs:subPropertyOf,dct:contributor
rdam:P30369,rdfs:subPropertyOf,dct:contributor
rdam:P30370,rdfs:subPropertyOf,dct:contributor
rdam:P30371,rdfs:subPropertyOf,dct:contributor
rdam:P30372,rdfs:subPropertyOf,dct:contributor
rdam:P30373,rdfs:subPropertyOf,dct:contributor
rdam:P30374,rdfs:subPropertyOf,dct:contributor
rdam:P30375,rdfs:subPropertyOf,dct:contributor
rdam:P30376,rdfs:subPropertyOf,dct:publisher
rdam:P30377,rdfs:subPropertyOf,dct:publisher
rdam:P30378,rdfs:subPropertyOf,dct:publisher
rdam:P30379,rdfs:subPropertyOf,dct:publisher
rdam:P30380,rdfs:subPropertyOf,dct:publisher
rdam:P30381,rdfs:subPropertyOf,dct:publisher
rdam:P30382,rdfs:subPropertyOf,dct:publisher
rdam:P30383,rdfs:subPropertyOf,dct:publisher
rdam:P30384,rdfs:subPropertyOf,dct:publisher
rdam:P30385,rdfs:subPropertyOf,dct:publisher
rdam:P30386,rdfs:subPropertyOf,dct:publisher
rdam:P30387,rdfs:subPropertyOf,dct:publisher
rdam:P30388,rdfs:subPropertyOf,dct:publisher
rdam:P30389,rdfs:subPropertyOf,dct:publisher
rdam:P30390,rdfs:subPropertyOf,dct:publisher
rdam:P30391,rdfs:subPropertyOf,dct:publisher
rdam:P30392,rdfs:subPropertyOf,dct:publisher
rdam:P30393,rdfs:subPropertyOf,dct:publisher
rdam:P30394,rdfs:subPropertyOf,dct:contributor
rdam:P30395,rdfs:subPropertyOf,dct:publisher
rdam:P30396,rdfs:subPropertyOf,dct:contributor
rdam:P30397,rdfs:subPropertyOf,dct:contributor
rdam:P30398,rdfs:subPropertyOf,dct:contributor
rdam:P30399,rdfs:subPropertyOf,dct:contributor
rdam:P30400,rdfs:subPropertyOf,dct:contributor
rdam:P30401,rdfs:subPropertyOf,dct:contributor
rdam:P30402,rdfs:subPropertyOf,dct:contributor
rdam:P30403,rdfs:subPropertyOf,dct:contributor
rdam:P30404,rdfs:subPropertyOf,dct:contributor
rdam:P30405,rdfs:subPropertyOf,dct:publisher
rdam:P30406,rdfs:subPropertyOf,dct:publisher
rdam:P30407,rdfs:subPropertyOf,dct:publisher
rdam:P30408,rdfs:subPropertyOf,dct:publisher
rdam:P30409,rdfs:subPropertyOf,dct:publisher
rdam:P30410,rdfs:subPropertyOf,dct:publisher
rdam:P30411,rdfs:subPropertyOf,dct:publisher
rdam:P30412,rdfs:subPropertyOf,dct:publisher
rdam:P30413,rdfs:subPropertyOf,dct:publisher
rdam:P30414,rdfs:subPropertyOf,dct:publisher
rdam:P30415,rdfs:subPropertyOf,dct:publisher
rdam:P30416,rdfs:subPropertyOf,dct:publisher
rdam:P30417,rdfs:subPropertyOf,dct:publisher
rdam:P30418,rdfs:subPropertyOf,dct:publisher
rdam:P30419,rdfs:subPropertyOf,dct:publisher
rdam:P30420,rdfs:subPropertyOf,dct:publisher
rdam:P30421,rdfs:subPropertyOf,dct:publisher
rdam:P30422,rdfs:subPropertyOf,dct:publisher
rdam:P30423,rdfs:subPropertyOf,dct:contributor
rdam:P30424,rdfs:subPropertyOf,dct:publisher
rdam:P30425,rdfs:subPropertyOf,dct:contributor
rdam:P30426,rdfs:subPropertyOf,dct:contributor
rdam:P30427,rdfs:subPropertyOf,dct:contributor
rdam:P30428,rdfs:subPropertyOf,dct:contributor
rdam:P30429,rdfs:subPropertyOf,dct:contributor
rdam:P30430,rdfs:subPropertyOf,dct:contributor
rdam:P30431,rdfs:subPropertyOf,dct:contributor
rdam:P30432,rdfs:subPropertyOf,dct:contributor
rdam:P30433,rdfs:subPropertyOf,dct:contributor
rdam:P30434,rdfs:subPropertyOf,dct:publisher
rdam:P30435,rdfs:subPropertyOf,dct:publisher
rdam:P30436,rdfs:subPropertyOf,dct:publisher
rdam:P30437,rdfs:subPropertyOf,dct:publisher
rdam:P30438,rdfs:subPropertyOf,dct:publisher
rdam:P30439,rdfs:subPropertyOf,dct:publisher
rdam:P30440,rdfs:subPropertyOf,dct:publisher
rdam:P30441,rdfs:subPropertyOf,dct:publisher
rdam:P30442,rdfs:subPropertyOf,dct:publisher
rdam:P30443,rdfs:subPropertyOf,dct:publisher
rdam:P30444,rdfs:subPropertyOf,dct:publisher
rdam:P30445,rdfs:subPropertyOf,dct:publisher
rdam:P30446,rdfs:subPropertyOf,dct:publisher
rdam:P30447,rdfs:subPropertyOf,dct:publisher
rdam:P30448,rdfs:subPropertyOf,dct:publisher
rdam:P30449,rdfs:subPropertyOf,dct:publisher
rdam:P30450,rdfs:subPropertyOf,dct:publisher
rdam:P30451,rdfs:subPropertyOf,dct:publisher
rdam:P30452,rdfs:subPropertyOf,dct:type
rdam:P30453,rdfs:subPropertyOf,dct:type
rdam:P30454,rdfs:subPropertyOf,dct:type
rdam:P30455,rdfs:subPropertyOf,dct:type
rdam:P30456,rdfs:subPropertyOf,dct:type
rdaw:P10002,rdfs:subPropertyOf,dct:identifier
rdaw:P10004,rdfs:subPropertyOf,dct:type
rdaw:P10005,rdfs:subPropertyOf,dct:creator
rdaw:P10008,rdfs:subPropertyOf,dct:creator
rdaw:P10009,rdfs:subPropertyOf,dct:creator
rdaw:P10010,rdfs:subPropertyOf,dct:creator
rdaw:P10013,rdfs:subPropertyOf,dct:creator
rdaw:P10014,rdfs:subPropertyOf,dct:creator
rdaw:P10015,rdfs:subPropertyOf,dct:creator
rdaw:P10016,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10019,rdfs:subPropertyOf,dct:isPartOf
rdaw:P10020,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10021,rdfs:subPropertyOf,dct:isReplacedBy
rdaw:P10022,rdfs:subPropertyOf,dct:isReplacedBy
rdaw:P10023,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10024,rdfs:subPropertyOf,dct:coverage
rdaw:P10025,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10027,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10028,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10033,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10034,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10035,rdfs:subPropertyOf,dct:creator
rdaw:P10042,rdfs:subPropertyOf,dct:creator
rdaw:P10043,rdfs:subPropertyOf,dct:creator
rdaw:P10046,rdfs:subPropertyOf,dct:creator
rdaw:P10050,rdfs:subPropertyOf,dct:creator
rdaw:P10051,rdfs:subPropertyOf,dct:creator
rdaw:P10052,rdfs:subPropertyOf,dct:creator
rdaw:P10053,rdfs:subPropertyOf,dct:creator
rdaw:P10054,rdfs:subPropertyOf,dct:creator
rdaw:P10055,rdfs:subPropertyOf,dct:creator
rdaw:P10056,rdfs:subPropertyOf,dct:creator
rdaw:P10057,rdfs:subPropertyOf,dct:creator
rdaw:P10058,rdfs:subPropertyOf,dct:creator
rdaw:P10059,rdfs:subPropertyOf,dct:creator
rdaw:P10060,rdfs:subPropertyOf,dct:creator
rdaw:P10061,rdfs:subPropertyOf,dct:creator
rdaw:P10062,rdfs:subPropertyOf,dct:creator
rdaw:P10063,rdfs:subPropertyOf,dct:creator
rdaw:P10064,rdfs:subPropertyOf,dct:creator
rdaw:P10065,rdfs:subPropertyOf,dct:creator
rdaw:P10066,rdfs:subPropertyOf,dct:creator
rdaw:P10067,rdfs:subPropertyOf,dct:creator
rdaw:P10068,rdfs:subPropertyOf,dct:creator
rdaw:P10068,rdfs:subPropertyOf,dct:creator
rdaw:P10071,rdfs:subPropertyOf,dct:creator
rdaw:P10071,rdfs:subPropertyOf,dct:creator
rdaw:P10073,rdfs:subPropertyOf,dct:creator
rdaw:P10074,rdfs:subPropertyOf,dct:creator
rdaw:P10075,rdfs:subPropertyOf,dct:creator
rdaw:P10076,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10079,rdfs:subPropertyOf,dct:identifier
rdaw:P10081,rdfs:subPropertyOf,dct:coverage
rdaw:P10082,rdfs:subPropertyOf,dct:coverage
rdaw:P10083,rdfs:subPropertyOf,dct:coverage
rdaw:P10085,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10086,rdfs:subPropertyOf,dct:title
rdaw:P10087,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10088,rdfs:subPropertyOf,dct:title
rdaw:P10089,rdfs:subPropertyOf,dct:abstract
rdaw:P10091,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10094,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10095,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10096,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10097,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10098,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10099,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10100,rdfs:subPropertyOf,dct:subject
rdaw:P10104,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10107,rdfs:subPropertyOf,dct:abstract
rdaw:P10109,rdfs:subPropertyOf,dct:abstract
rdaw:P10109,rdfs:subPropertyOf,dct:description
rdaw:P10113,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10117,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10122,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10125,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10127,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10128,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10129,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10130,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10131,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10132,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10133,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10134,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10135,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10136,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10137,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10138,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10139,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10142,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10143,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10144,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10145,rdfs:subPropertyOf,dct:isReplacedBy
rdaw:P10146,rdfs:subPropertyOf,dct:isReplacedBy
rdaw:P10147,rdfs:subPropertyOf,dct:hasPart
rdaw:P10148,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10153,rdfs:subPropertyOf,dct:subject
rdaw:P10155,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10158,rdfs:subPropertyOf,dct:description
rdaw:P10161,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10167,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10169,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10170,rdfs:subPropertyOf,dct:isReplacedBy
rdaw:P10171,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10178,rdfs:subPropertyOf,dct:subject
rdaw:P10182,rdfs:subPropertyOf,dct:subject
rdaw:P10189,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10196,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10197,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10198,rdfs:subPropertyOf,dct:relation
rdaw:P10200,rdfs:subPropertyOf,dct:creator
rdaw:P10202,rdfs:subPropertyOf,dct:creator
rdaw:P10203,rdfs:subPropertyOf,dct:creator
rdaw:P10204,rdfs:subPropertyOf,dct:creator
rdaw:P10205,rdfs:subPropertyOf,dct:creator
rdaw:P10206,rdfs:subPropertyOf,dct:replaces
rdaw:P10207,rdfs:subPropertyOf,dct:replaces
rdaw:P10216,rdfs:subPropertyOf,dct:coverage
rdaw:P10217,rdfs:subPropertyOf,dct:audience
rdaw:P10219,rdfs:subPropertyOf,dct:created
rdaw:P10223,rdfs:subPropertyOf,dct:title
rdaw:P10224,rdfs:subPropertyOf,dct:replaces
rdaw:P10225,rdfs:subPropertyOf,dct:replaces
rdaw:P10233,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10234,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10235,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10236,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10249,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10250,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10251,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10252,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10253,rdfs:subPropertyOf,dct:creator
rdaw:P10254,rdfs:subPropertyOf,dct:creator
rdaw:P10255,rdfs:subPropertyOf,dct:creator
rdaw:P10256,rdfs:subPropertyOf,dct:subject
rdaw:P10257,rdfs:subPropertyOf,dct:subject
rdaw:P10258,rdfs:subPropertyOf,dct:subject
rdaw:P10259,rdfs:subPropertyOf,dct:subject
rdaw:P10260,rdfs:subPropertyOf,dct:subject
rdaw:P10261,rdfs:subPropertyOf,dct:subject
rdaw:P10262,rdfs:subPropertyOf,dct:subject
rdaw:P10263,rdfs:subPropertyOf,dct:subject
rdaw:P10265,rdfs:subPropertyOf,dct:subject
rdaw:P10267,rdfs:subPropertyOf,dct:subject
rdaw:P10268,rdfs:subPropertyOf,dct:subject
rdaw:P10269,rdfs:subPropertyOf,dct:subject
rdaw:P10271,rdfs:subPropertyOf,dct:subject
rdaw:P10273,rdfs:subPropertyOf,dct:subject
rdaw:P10274,rdfs:subPropertyOf,dct:subject
rdaw:P10275,rdfs:subPropertyOf,dct:subject
rdaw:P10277,rdfs:subPropertyOf,dct:subject
rdaw:P10279,rdfs:subPropertyOf,dct:subject
rdaw:P10280,rdfs:subPropertyOf,dct:subject
rdaw:P10281,rdfs:subPropertyOf,dct:subject
rdaw:P10285,rdfs:subPropertyOf,dct:creator
rdaw:P10286,rdfs:subPropertyOf,dct:creator
rdaw:P10287,rdfs:subPropertyOf,dct:creator
rdaw:P10288,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10289,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10292,rdfs:subPropertyOf,dct:creator
rdaw:P10293,rdfs:subPropertyOf,dct:creator
rdaw:P10297,rdfs:subPropertyOf,dct:creator
rdaw:P10298,rdfs:subPropertyOf,dct:creator
rdaw:P10299,rdfs:subPropertyOf,dct:creator
rdaw:P10304,rdfs:subPropertyOf,dct:creator
rdaw:P10305,rdfs:subPropertyOf,dct:creator
rdaw:P10306,rdfs:subPropertyOf,dct:creator
rdaw:P10309,rdfs:subPropertyOf,dct:relation
rdaw:P10310,rdfs:subPropertyOf,dct:relation
rdaw:P10319,rdfs:subPropertyOf,dct:subject
rdaw:P10320,rdfs:subPropertyOf,dct:subject
rdaw:P10321,rdfs:subPropertyOf,dct:subject
rdaw:P10322,rdfs:subPropertyOf,dct:subject
rdaw:P10323,rdfs:subPropertyOf,dct:subject
rdaw:P10324,rdfs:subPropertyOf,dct:subject
rdaw:P10325,rdfs:subPropertyOf,dct:subject
rdaw:P10326,rdfs:subPropertyOf,dct:subject
rdaw:P10327,rdfs:subPropertyOf,dct:subject
rdaw:P10328,rdfs:subPropertyOf,dct:title
rdaw:P10330,rdfs:subPropertyOf,dct:description
rdaw:P10331,rdfs:subPropertyOf,dct:title
rdaw:P10332,rdfs:subPropertyOf,dct:title
rdaw:P10333,rdfs:subPropertyOf,dct:identifier
rdaw:P10334,rdfs:subPropertyOf,dct:identifier
rdaw:P10335,rdfs:subPropertyOf,dct:identifier
rdaw:P10336,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10337,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10338,rdfs:subPropertyOf,dct:subject
rdaw:P10339,rdfs:subPropertyOf,dct:subject
rdaw:P10340,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10341,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10342,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10343,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10344,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10345,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10347,rdfs:subPropertyOf,dct:format
rdaw:P10349,rdfs:subPropertyOf,dct:type
rdaw:P10350,rdfs:subPropertyOf,dct:date
rdaw:P10351,rdfs:subPropertyOf,dct:extent
rdaw:P10352,rdfs:subPropertyOf,dct:extent
rdaw:P10353,rdfs:subPropertyOf,dct:language
rdaw:P10355,rdfs:subPropertyOf,dct:format
rdaw:P10359,rdfs:subPropertyOf,dct:subject
rdaw:P10360,rdfs:subPropertyOf,dct:subject
rdaw:P10361,rdfs:subPropertyOf,dct:subject
rdaw:P10362,rdfs:subPropertyOf,dct:subject
rdaw:P10366,rdfs:subPropertyOf,dct:identifier
rdaw:P10367,rdfs:subPropertyOf,dct:title
rdaw:P10377,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10378,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10381,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10383,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10384,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10385,rdfs:subPropertyOf,dct:hasVersion
rdaw:P10388,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10391,rdfs:subPropertyOf,dct:isVersionOf
rdaw:P10393,rdfs:subPropertyOf,dct:creator
rdaw:P10394,rdfs:subPropertyOf,dct:creator
rdaw:P10396,rdfs:subPropertyOf,dct:creator
rdaw:P10398,rdfs:subPropertyOf,dct:created
rdaw:P10400,rdfs:subPropertyOf,dct:identifier
rdaw:P10401,rdfs:subPropertyOf,dct:title
rdaw:P10407,rdfs:subPropertyOf,dct:contributor
rdaw:P10415,rdfs:subPropertyOf,dct:creator
rdaw:P10415,rdfs:subPropertyOf,dct:creator
rdaw:P10416,rdfs:subPropertyOf,dct:creator
rdaw:P10417,rdfs:subPropertyOf,dct:creator
rdaw:P10418,rdfs:subPropertyOf,dct:creator
rdaw:P10419,rdfs:subPropertyOf,dct:creator
rdaw:P10420,rdfs:subPropertyOf,dct:creator
rdaw:P10421,rdfs:subPropertyOf,dct:creator
rdaw:P10422,rdfs:subPropertyOf,dct:creator
rdaw:P10423,rdfs:subPropertyOf,dct:creator
rdaw:P10424,rdfs:subPropertyOf,dct:creator
rdaw:P10425,rdfs:subPropertyOf,dct:creator
rdaw:P10426,rdfs:subPropertyOf,dct:creator
rdaw:P10427,rdfs:subPropertyOf,dct:creator
rdaw:P10428,rdfs:subPropertyOf,dct:creator
rdaw:P10429,rdfs:subPropertyOf,dct:creator
rdaw:P10430,rdfs:subPropertyOf,dct:creator
rdaw:P10431,rdfs:subPropertyOf,dct:creator
rdaw:P10432,rdfs:subPropertyOf,dct:creator
rdaw:P10434,rdfs:subPropertyOf,dct:creator
rdaw:P10435,rdfs:subPropertyOf,dct:creator
rdaw:P10436,rdfs:subPropertyOf,dct:creator
rdaw:P10437,rdfs:subPropertyOf,dct:creator
rdaw:P10438,rdfs:subPropertyOf,dct:creator
rdaw:P10439,rdfs:subPropertyOf,dct:creator
rdaw:P10440,rdfs:subPropertyOf,dct:creator
rdaw:P10441,rdfs:subPropertyOf,dct:creator
rdaw:P10442,rdfs:subPropertyOf,dct:creator
rdaw:P10443,rdfs:subPropertyOf,dct:creator
rdaw:P10444,rdfs:subPropertyOf,dct:creator
rdaw:P10445,rdfs:subPropertyOf,dct:creator
rdaw:P10446,rdfs:subPropertyOf,dct:creator
rdaw:P10447,rdfs:subPropertyOf,dct:creator
rdaw:P10448,rdfs:subPropertyOf,dct:creator
rdaw:P10449,rdfs:subPropertyOf,dct:creator
