RDA,mapping,DC term
rdae:P20195,rdfs:subPropertyOf,dct:isVersionOf
rdae:P20196,rdfs:subPropertyOf,dct:isVersionOf
rdae:P20198,rdfs:subPropertyOf,dct:replaces
rdae:P20199,rdfs:subPropertyOf,dct:replaces
rdae:P20203,rdfs:subPropertyOf,dct:hasVersion
rdae:P20205,rdfs:subPropertyOf,dct:relation
rdae:P20211,rdfs:subPropertyOf,dct:hasVersion
rdae:P20214,rdfs:subPropertyOf,dct:date
rdae:P20216,rdfs:subPropertyOf,dct:format
rdae:P20219,rdfs:subPropertyOf,dct:extent
rdae:P20229,rdfs:subPropertyOf,dct:format
rdae:P20239,rdfs:subPropertyOf,dct:isVersionOf
rdae:P20240,rdfs:subPropertyOf,dct:isVersionOf
rdae:P20241,rdfs:subPropertyOf,dct:hasVersion
rdae:P20242,rdfs:subPropertyOf,dct:hasVersion
rdae:P20255,rdfs:subPropertyOf,dct:hasVersion
rdae:P20256,rdfs:subPropertyOf,dct:isVersionOf
rdae:P20257,rdfs:subPropertyOf,dct:contributor
rdae:P20258,rdfs:subPropertyOf,dct:contributor
rdae:P20259,rdfs:subPropertyOf,dct:contributor
rdae:P20260,rdfs:subPropertyOf,dct:format
rdae:P20276,rdfs:subPropertyOf,dct:contributor
rdae:P20277,rdfs:subPropertyOf,dct:contributor
rdae:P20279,rdfs:subPropertyOf,dct:contributor
rdae:P20280,rdfs:subPropertyOf,dct:contributor
rdae:P20281,rdfs:subPropertyOf,dct:isVersionOf
rdae:P20282,rdfs:subPropertyOf,dct:hasVersion
rdae:P20283,rdfs:subPropertyOf,dct:contributor
rdae:P20284,rdfs:subPropertyOf,dct:contributor
rdae:P20285,rdfs:subPropertyOf,dct:contributor
rdae:P20286,rdfs:subPropertyOf,dct:contributor
rdae:P20287,rdfs:subPropertyOf,dct:contributor
rdae:P20289,rdfs:subPropertyOf,dct:contributor
rdae:P20290,rdfs:subPropertyOf,dct:format
rdae:P20292,rdfs:subPropertyOf,dct:contributor
rdae:P20293,rdfs:subPropertyOf,dct:contributor
rdae:P20294,rdfs:subPropertyOf,dct:contributor
rdae:P20295,rdfs:subPropertyOf,dct:contributor
rdae:P20296,rdfs:subPropertyOf,dct:contributor
rdae:P20298,rdfs:subPropertyOf,dct:relation
rdae:P20299,rdfs:subPropertyOf,dct:relation
rdae:P20300,rdfs:subPropertyOf,dct:relation
rdae:P20310,rdfs:subPropertyOf,dct:title
rdae:P20312,rdfs:subPropertyOf,dct:title
rdae:P20313,rdfs:subPropertyOf,dct:title
rdae:P20314,rdfs:subPropertyOf,dct:title
rdae:P20315,rdfs:subPropertyOf,dct:title
rdae:P20316,rdfs:subPropertyOf,dct:title
rdae:P20318,rdfs:subPropertyOf,dct:format
rdae:P20321,rdfs:subPropertyOf,dct:extent
rdae:P20322,rdfs:subPropertyOf,dct:audience
rdae:P20323,rdfs:subPropertyOf,dct:format
rdae:P20327,rdfs:subPropertyOf,dct:contributor
rdae:P20328,rdfs:subPropertyOf,dct:contributor
rdae:P20329,rdfs:subPropertyOf,dct:contributor
rdae:P20330,rdfs:subPropertyOf,dct:contributor
rdae:P20331,rdfs:subPropertyOf,dct:type
rdae:P20336,rdfs:subPropertyOf,dct:contributor
rdae:P20337,rdfs:subPropertyOf,dct:contributor
rdae:P20338,rdfs:subPropertyOf,dct:contributor
rdae:P20339,rdfs:subPropertyOf,dct:contributor
rdae:P20340,rdfs:subPropertyOf,dct:contributor
rdae:P20341,rdfs:subPropertyOf,dct:contributor
rdae:P20342,rdfs:subPropertyOf,dct:contributor
rdae:P20343,rdfs:subPropertyOf,dct:contributor
rdae:P20344,rdfs:subPropertyOf,dct:contributor
rdae:P20345,rdfs:subPropertyOf,dct:contributor
rdae:P20346,rdfs:subPropertyOf,dct:contributor
rdae:P20347,rdfs:subPropertyOf,dct:contributor
rdae:P20348,rdfs:subPropertyOf,dct:contributor
rdae:P20349,rdfs:subPropertyOf,dct:contributor
rdae:P20350,rdfs:subPropertyOf,dct:contributor
rdae:P20351,rdfs:subPropertyOf,dct:contributor
rdae:P20352,rdfs:subPropertyOf,dct:contributor
rdae:P20353,rdfs:subPropertyOf,dct:contributor
rdae:P20354,rdfs:subPropertyOf,dct:contributor
rdae:P20355,rdfs:subPropertyOf,dct:contributor
rdae:P20356,rdfs:subPropertyOf,dct:contributor
rdae:P20357,rdfs:subPropertyOf,dct:contributor
rdae:P20358,rdfs:subPropertyOf,dct:contributor
rdae:P20359,rdfs:subPropertyOf,dct:contributor
rdae:P20360,rdfs:subPropertyOf,dct:contributor
rdae:P20361,rdfs:subPropertyOf,dct:contributor
rdae:P20362,rdfs:subPropertyOf,dct:contributor
rdae:P20363,rdfs:subPropertyOf,dct:contributor
rdae:P20364,rdfs:subPropertyOf,dct:contributor
rdae:P20365,rdfs:subPropertyOf,dct:contributor
rdae:P20366,rdfs:subPropertyOf,dct:contributor
rdae:P20367,rdfs:subPropertyOf,dct:contributor
rdae:P20368,rdfs:subPropertyOf,dct:contributor
rdae:P20369,rdfs:subPropertyOf,dct:contributor
rdae:P20370,rdfs:subPropertyOf,dct:contributor
rdae:P20371,rdfs:subPropertyOf,dct:contributor
rdae:P20372,rdfs:subPropertyOf,dct:contributor
rdae:P20373,rdfs:subPropertyOf,dct:contributor
rdae:P20374,rdfs:subPropertyOf,dct:contributor
rdae:P20375,rdfs:subPropertyOf,dct:contributor
rdae:P20376,rdfs:subPropertyOf,dct:contributor
rdae:P20377,rdfs:subPropertyOf,dct:contributor
rdae:P20378,rdfs:subPropertyOf,dct:contributor
rdae:P20379,rdfs:subPropertyOf,dct:contributor
rdae:P20380,rdfs:subPropertyOf,dct:contributor
rdae:P20381,rdfs:subPropertyOf,dct:contributor
rdae:P20382,rdfs:subPropertyOf,dct:contributor
rdae:P20383,rdfs:subPropertyOf,dct:contributor
rdae:P20385,rdfs:subPropertyOf,dct:contributor
rdae:P20386,rdfs:subPropertyOf,dct:contributor
rdae:P20387,rdfs:subPropertyOf,dct:contributor
rdae:P20388,rdfs:subPropertyOf,dct:contributor
rdae:P20389,rdfs:subPropertyOf,dct:contributor
rdae:P20390,rdfs:subPropertyOf,dct:contributor
rdae:P20391,rdfs:subPropertyOf,dct:contributor
rdae:P20392,rdfs:subPropertyOf,dct:contributor
rdae:P20393,rdfs:subPropertyOf,dct:contributor
rdae:P20394,rdfs:subPropertyOf,dct:contributor
rdae:P20395,rdfs:subPropertyOf,dct:contributor
rdae:P20396,rdfs:subPropertyOf,dct:contributor
rdae:P20397,rdfs:subPropertyOf,dct:contributor
rdae:P20398,rdfs:subPropertyOf,dct:contributor
rdae:P20399,rdfs:subPropertyOf,dct:contributor
rdae:P20400,rdfs:subPropertyOf,dct:contributor
rdae:P20401,rdfs:subPropertyOf,dct:contributor
rdae:P20402,rdfs:subPropertyOf,dct:contributor
rdae:P20403,rdfs:subPropertyOf,dct:contributor
rdae:P20404,rdfs:subPropertyOf,dct:contributor
rdae:P20405,rdfs:subPropertyOf,dct:contributor
rdae:P20406,rdfs:subPropertyOf,dct:contributor
rdae:P20407,rdfs:subPropertyOf,dct:contributor
rdae:P20408,rdfs:subPropertyOf,dct:contributor
rdae:P20409,rdfs:subPropertyOf,dct:contributor
