RDA,mapping,DCT
rdae:P20323,has broader,dct:format
rdae:P20327,has broader,dct:contributor
rdae:P20328,has broader,dct:contributor
rdae:P20329,has broader,dct:contributor
rdae:P20330,has broader,dct:contributor
rdae:P20331,has broader,dct:type
rdae:P20336,has broader,dct:contributor
rdae:P20337,has broader,dct:contributor
rdae:P20338,has broader,dct:contributor
rdae:P20339,has broader,dct:contributor
rdae:P20340,has broader,dct:contributor
rdae:P20341,has broader,dct:contributor
rdae:P20342,has broader,dct:contributor
rdae:P20343,has broader,dct:contributor
rdae:P20344,has broader,dct:contributor
rdae:P20345,has broader,dct:contributor
rdae:P20346,has broader,dct:contributor
rdae:P20347,has broader,dct:contributor
rdae:P20348,has broader,dct:contributor
rdae:P20349,has broader,dct:contributor
rdae:P20350,has broader,dct:contributor
rdae:P20351,has broader,dct:contributor
rdae:P20352,has broader,dct:contributor
rdae:P20353,has broader,dct:contributor
rdae:P20354,has broader,dct:contributor
rdae:P20355,has broader,dct:contributor
rdae:P20356,has broader,dct:contributor
rdae:P20357,has broader,dct:contributor
rdae:P20358,has broader,dct:contributor
rdae:P20359,has broader,dct:contributor
rdae:P20360,has broader,dct:contributor
rdae:P20361,has broader,dct:contributor
rdae:P20362,has broader,dct:contributor
rdae:P20363,has broader,dct:contributor
rdae:P20364,has broader,dct:contributor
rdae:P20365,has broader,dct:contributor
rdae:P20366,has broader,dct:contributor
rdae:P20367,has broader,dct:contributor
rdae:P20368,has broader,dct:contributor
rdae:P20369,has broader,dct:contributor
rdae:P20370,has broader,dct:contributor
rdae:P20371,has broader,dct:contributor
rdae:P20372,has broader,dct:contributor
rdae:P20373,has broader,dct:contributor
rdae:P20374,has broader,dct:contributor
rdae:P20375,has broader,dct:contributor
rdae:P20376,has broader,dct:contributor
rdae:P20377,has broader,dct:contributor
rdae:P20378,has broader,dct:contributor
rdae:P20379,has broader,dct:contributor
rdae:P20380,has broader,dct:contributor
rdae:P20381,has broader,dct:contributor
rdae:P20382,has broader,dct:contributor
rdae:P20383,has broader,dct:contributor
rdae:P20385,has broader,dct:contributor
rdae:P20386,has broader,dct:contributor
rdae:P20387,has broader,dct:contributor
rdae:P20388,has broader,dct:contributor
rdae:P20389,has broader,dct:contributor
rdae:P20390,has broader,dct:contributor
rdae:P20391,has broader,dct:contributor
rdae:P20392,has broader,dct:contributor
rdae:P20393,has broader,dct:contributor
rdae:P20394,has broader,dct:contributor
rdae:P20395,has broader,dct:contributor
rdae:P20396,has broader,dct:contributor
rdae:P20397,has broader,dct:contributor
rdae:P20398,has broader,dct:contributor
rdae:P20399,has broader,dct:contributor
rdae:P20400,has broader,dct:contributor
rdae:P20401,has broader,dct:contributor
rdae:P20402,has broader,dct:contributor
rdae:P20403,has broader,dct:contributor
rdae:P20404,has broader,dct:contributor
rdae:P20405,has broader,dct:contributor
rdae:P20406,has broader,dct:contributor
rdae:P20407,has broader,dct:contributor
rdae:P20408,has broader,dct:contributor
rdae:P20409,has broader,dct:contributor
rdae:P20410,has broader,dct:contributor
rdae:P20411,has broader,dct:contributor
rdae:P20412,has broader,dct:contributor
rdae:P20413,has broader,dct:contributor
rdae:P20414,has broader,dct:contributor
rdae:P20415,has broader,dct:contributor
rdae:P20416,has broader,dct:contributor
rdae:P20417,has broader,dct:contributor
rdae:P20418,has broader,dct:contributor
rdae:P20419,has broader,dct:contributor
rdae:P20420,has broader,dct:contributor
rdae:P20421,has broader,dct:contributor
rdae:P20422,has broader,dct:contributor
rdae:P20423,has broader,dct:contributor
rdae:P20424,has broader,dct:contributor
rdae:P20425,has broader,dct:contributor
rdae:P20426,has broader,dct:contributor
rdae:P20427,has broader,dct:contributor
rdae:P20428,has broader,dct:contributor
rdae:P20429,has broader,dct:contributor
