RDA,mapping,DCT
rdaw:P10013,has broader,dct:creator
rdaw:P10014,has broader,dct:creator
rdaw:P10015,has broader,dct:creator
rdaw:P10016,has broader,dct:hasVersion
rdaw:P10019,has broader,dct:isPartOf
rdaw:P10020,has broader,dct:isVersionOf
rdaw:P10021,has broader,dct:isReplacedBy
rdaw:P10022,has broader,dct:isReplacedBy
rdaw:P10023,has broader,dct:hasVersion
rdaw:P10024,has broader,dct:coverage
rdaw:P10025,has broader,dct:hasVersion
rdaw:P10027,has broader,dct:hasVersion
rdaw:P10028,has broader,dct:isVersionOf
rdaw:P10033,has broader,dct:hasVersion
rdaw:P10034,has broader,dct:hasVersion
rdaw:P10035,has broader,dct:creator
rdaw:P10042,has broader,dct:creator
rdaw:P10043,has broader,dct:creator
rdaw:P10046,has broader,dct:creator
rdaw:P10050,has broader,dct:creator
rdaw:P10051,has broader,dct:creator
rdaw:P10052,has broader,dct:creator
rdaw:P10053,has broader,dct:creator
rdaw:P10054,has broader,dct:creator
rdaw:P10055,has broader,dct:creator
rdaw:P10056,has broader,dct:creator
rdaw:P10057,has broader,dct:creator
rdaw:P10058,has broader,dct:creator
rdaw:P10059,has broader,dct:creator
rdaw:P10060,has broader,dct:creator
rdaw:P10061,has broader,dct:creator
rdaw:P10062,has broader,dct:creator
rdaw:P10063,has broader,dct:creator
rdaw:P10064,has broader,dct:creator
rdaw:P10065,has broader,dct:creator
rdaw:P10066,has broader,dct:creator
rdaw:P10067,has broader,dct:creator
rdaw:P10068,has broader,dct:creator
rdaw:P10068,has broader,dct:creator
rdaw:P10071,has broader,dct:creator
rdaw:P10071,has broader,dct:creator
rdaw:P10073,has broader,dct:creator
rdaw:P10074,has broader,dct:creator
rdaw:P10075,has broader,dct:creator
rdaw:P10076,has broader,dct:hasVersion
rdaw:P10079,has broader,dct:identifier
rdaw:P10081,has broader,dct:coverage
rdaw:P10082,has broader,dct:coverage
rdaw:P10083,has broader,dct:coverage
rdaw:P10085,has broader,dct:hasVersion
rdaw:P10086,has broader,dct:title
rdaw:P10087,has broader,dct:hasVersion
rdaw:P10088,has broader,dct:title
rdaw:P10089,has broader,dct:abstract
rdaw:P10091,has broader,dct:hasVersion
rdaw:P10094,has broader,dct:hasVersion
rdaw:P10095,has broader,dct:hasVersion
rdaw:P10096,has broader,dct:hasVersion
rdaw:P10097,has broader,dct:hasVersion
rdaw:P10098,has broader,dct:hasVersion
rdaw:P10099,has broader,dct:isVersionOf
rdaw:P10100,has broader,dct:subject
rdaw:P10104,has broader,dct:isVersionOf
rdaw:P10107,has broader,dct:abstract
rdaw:P10109,has broader,dct:abstract
rdaw:P10109,has broader,dct:description
rdaw:P10113,has broader,dct:hasVersion
rdaw:P10117,has broader,dct:hasVersion
rdaw:P10122,has broader,dct:isVersionOf
rdaw:P10125,has broader,dct:isVersionOf
rdaw:P10127,has broader,dct:isVersionOf
rdaw:P10128,has broader,dct:isVersionOf
rdaw:P10129,has broader,dct:isVersionOf
rdaw:P10130,has broader,dct:isVersionOf
rdaw:P10131,has broader,dct:isVersionOf
rdaw:P10132,has broader,dct:isVersionOf
rdaw:P10133,has broader,dct:isVersionOf
rdaw:P10134,has broader,dct:isVersionOf
rdaw:P10135,has broader,dct:isVersionOf
rdaw:P10136,has broader,dct:isVersionOf
rdaw:P10137,has broader,dct:isVersionOf
rdaw:P10138,has broader,dct:isVersionOf
rdaw:P10139,has broader,dct:isVersionOf
rdaw:P10142,has broader,dct:hasVersion
rdaw:P10143,has broader,dct:isVersionOf
rdaw:P10144,has broader,dct:hasVersion
rdaw:P10145,has broader,dct:isReplacedBy
rdaw:P10146,has broader,dct:isReplacedBy
rdaw:P10147,has broader,dct:hasPart
rdaw:P10148,has broader,dct:hasVersion
rdaw:P10153,has broader,dct:subject
rdaw:P10155,has broader,dct:hasVersion
rdaw:P10158,has broader,dct:description
rdaw:P10161,has broader,dct:isVersionOf
rdaw:P10167,has broader,dct:hasVersion
rdaw:P10169,has broader,dct:isVersionOf
rdaw:P10170,has broader,dct:isReplacedBy
rdaw:P10171,has broader,dct:hasVersion
rdaw:P10178,has broader,dct:subject
rdaw:P10182,has broader,dct:subject
rdaw:P10189,has broader,dct:isVersionOf
rdaw:P10196,has broader,dct:isVersionOf
rdaw:P10197,has broader,dct:isVersionOf
rdaw:P10198,has broader,dct:relation
rdaw:P10200,has broader,dct:creator
rdaw:P10202,has broader,dct:creator
rdaw:P10203,has broader,dct:creator
rdaw:P10204,has broader,dct:creator
rdaw:P10205,has broader,dct:creator
rdaw:P10206,has broader,dct:replaces
rdaw:P10207,has broader,dct:replaces
rdaw:P10216,has broader,dct:coverage
rdaw:P10217,has broader,dct:audience
rdaw:P10219,has broader,dct:created
rdaw:P10223,has broader,dct:title
rdaw:P10224,has broader,dct:replaces
rdaw:P10225,has broader,dct:replaces
rdaw:P10233,has broader,dct:isVersionOf
rdaw:P10234,has broader,dct:isVersionOf
rdaw:P10235,has broader,dct:hasVersion
rdaw:P10236,has broader,dct:hasVersion
rdaw:P10249,has broader,dct:hasVersion
rdaw:P10250,has broader,dct:isVersionOf
rdaw:P10251,has broader,dct:hasVersion
rdaw:P10252,has broader,dct:isVersionOf
rdaw:P10253,has broader,dct:creator
rdaw:P10254,has broader,dct:creator
rdaw:P10255,has broader,dct:creator
rdaw:P10256,has broader,dct:subject
rdaw:P10257,has broader,dct:subject
rdaw:P10258,has broader,dct:subject
rdaw:P10259,has broader,dct:subject
rdaw:P10260,has broader,dct:subject
rdaw:P10261,has broader,dct:subject
rdaw:P10262,has broader,dct:subject
rdaw:P10263,has broader,dct:subject
rdaw:P10265,has broader,dct:subject
rdaw:P10267,has broader,dct:subject
rdaw:P10268,has broader,dct:subject
rdaw:P10269,has broader,dct:subject
rdaw:P10271,has broader,dct:subject
rdaw:P10273,has broader,dct:subject
rdaw:P10274,has broader,dct:subject
rdaw:P10275,has broader,dct:subject
rdaw:P10277,has broader,dct:subject
rdaw:P10279,has broader,dct:subject
rdaw:P10280,has broader,dct:subject
rdaw:P10281,has broader,dct:subject
rdaw:P10285,has broader,dct:creator
rdaw:P10286,has broader,dct:creator
rdaw:P10287,has broader,dct:creator
rdaw:P10288,has broader,dct:isVersionOf
rdaw:P10289,has broader,dct:hasVersion
rdaw:P10292,has broader,dct:creator
rdaw:P10293,has broader,dct:creator
rdaw:P10297,has broader,dct:creator
rdaw:P10298,has broader,dct:creator
rdaw:P10299,has broader,dct:creator
rdaw:P10304,has broader,dct:creator
rdaw:P10305,has broader,dct:creator
rdaw:P10306,has broader,dct:creator
rdaw:P10309,has broader,dct:relation
rdaw:P10310,has broader,dct:relation
rdaw:P10319,has broader,dct:subject
rdaw:P10320,has broader,dct:subject
rdaw:P10321,has broader,dct:subject
rdaw:P10322,has broader,dct:subject
rdaw:P10323,has broader,dct:subject
rdaw:P10324,has broader,dct:subject
rdaw:P10325,has broader,dct:subject
rdaw:P10326,has broader,dct:subject
rdaw:P10327,has broader,dct:subject
rdaw:P10328,has broader,dct:title
rdaw:P10330,has broader,dct:description
rdaw:P10331,has broader,dct:title
rdaw:P10332,has broader,dct:title
rdaw:P10333,has broader,dct:identifier
rdaw:P10334,has broader,dct:identifier
rdaw:P10335,has broader,dct:identifier
rdaw:P10336,has broader,dct:hasVersion
rdaw:P10337,has broader,dct:isVersionOf
rdaw:P10338,has broader,dct:subject
rdaw:P10339,has broader,dct:subject
rdaw:P10340,has broader,dct:hasVersion
rdaw:P10341,has broader,dct:isVersionOf
rdaw:P10342,has broader,dct:hasVersion
rdaw:P10343,has broader,dct:isVersionOf
rdaw:P10344,has broader,dct:hasVersion
rdaw:P10345,has broader,dct:isVersionOf
rdaw:P10347,has broader,dct:format
rdaw:P10349,has broader,dct:type
rdaw:P10350,has broader,dct:date
rdaw:P10351,has broader,dct:extent
rdaw:P10352,has broader,dct:extent
rdaw:P10353,has broader,dct:language
rdaw:P10355,has broader,dct:format
rdaw:P10359,has broader,dct:subject
rdaw:P10360,has broader,dct:subject
rdaw:P10361,has broader,dct:subject
rdaw:P10362,has broader,dct:subject
rdaw:P10366,has broader,dct:identifier
rdaw:P10367,has broader,dct:title
rdaw:P10377,has broader,dct:hasVersion
rdaw:P10378,has broader,dct:isVersionOf
rdaw:P10381,has broader,dct:hasVersion
rdaw:P10383,has broader,dct:hasVersion
rdaw:P10384,has broader,dct:isVersionOf
rdaw:P10385,has broader,dct:hasVersion
rdaw:P10388,has broader,dct:isVersionOf
rdaw:P10391,has broader,dct:isVersionOf
rdaw:P10393,has broader,dct:creator
rdaw:P10394,has broader,dct:creator
rdaw:P10396,has broader,dct:creator
rdaw:P10398,has broader,dct:created
rdaw:P10400,has broader,dct:identifier
rdaw:P10401,has broader,dct:title
rdaw:P10407,has broader,dct:contributor
rdaw:P10415,has broader,dct:creator
rdaw:P10415,has broader,dct:creator
rdaw:P10416,has broader,dct:creator
rdaw:P10417,has broader,dct:creator
rdaw:P10418,has broader,dct:creator
rdaw:P10419,has broader,dct:creator
rdaw:P10420,has broader,dct:creator
rdaw:P10421,has broader,dct:creator
rdaw:P10422,has broader,dct:creator
rdaw:P10423,has broader,dct:creator
rdaw:P10424,has broader,dct:creator
rdaw:P10425,has broader,dct:creator
rdaw:P10426,has broader,dct:creator
rdaw:P10427,has broader,dct:creator
rdaw:P10428,has broader,dct:creator
rdaw:P10429,has broader,dct:creator
rdaw:P10430,has broader,dct:creator
rdaw:P10431,has broader,dct:creator
rdaw:P10432,has broader,dct:creator
rdaw:P10434,has broader,dct:creator
rdaw:P10435,has broader,dct:creator
rdaw:P10436,has broader,dct:creator
rdaw:P10437,has broader,dct:creator
rdaw:P10438,has broader,dct:creator
rdaw:P10439,has broader,dct:creator
rdaw:P10440,has broader,dct:creator
rdaw:P10441,has broader,dct:creator
rdaw:P10442,has broader,dct:creator
rdaw:P10443,has broader,dct:creator
rdaw:P10444,has broader,dct:creator
rdaw:P10445,has broader,dct:creator
rdaw:P10446,has broader,dct:creator
rdaw:P10447,has broader,dct:creator
rdaw:P10448,has broader,dct:creator
rdaw:P10449,has broader,dct:creator
rdaw:P10450,has broader,dct:creator
rdaw:P10451,has broader,dct:creator
rdaw:P10452,has broader,dct:creator
rdaw:P10453,has broader,dct:creator
rdaw:P10454,has broader,dct:creator
rdaw:P10455,has broader,dct:creator
rdaw:P10456,has broader,dct:creator
rdaw:P10457,has broader,dct:creator
rdaw:P10458,has broader,dct:creator
rdaw:P10462,has broader,dct:creator
rdaw:P10462,has broader,dct:creator
rdaw:P10463,has broader,dct:creator
rdaw:P10464,has broader,dct:creator
rdaw:P10465,has broader,dct:creator
rdaw:P10466,has broader,dct:creator
rdaw:P10467,has broader,dct:creator
rdaw:P10468,has broader,dct:creator
rdaw:P10469,has broader,dct:creator
rdaw:P10470,has broader,dct:creator
rdaw:P10471,has broader,dct:creator
rdaw:P10472,has broader,dct:creator
rdaw:P10473,has broader,dct:creator
rdaw:P10474,has broader,dct:creator
rdaw:P10475,has broader,dct:creator
rdaw:P10476,has broader,dct:creator
rdaw:P10477,has broader,dct:creator
rdaw:P10478,has broader,dct:creator
rdaw:P10479,has broader,dct:creator
rdaw:P10481,has broader,dct:creator
rdaw:P10482,has broader,dct:creator
rdaw:P10483,has broader,dct:creator
rdaw:P10484,has broader,dct:creator
rdaw:P10485,has broader,dct:creator
rdaw:P10486,has broader,dct:creator
rdaw:P10487,has broader,dct:creator
rdaw:P10488,has broader,dct:creator
rdaw:P10489,has broader,dct:creator
rdaw:P10490,has broader,dct:creator
rdaw:P10491,has broader,dct:creator
rdaw:P10492,has broader,dct:creator
rdaw:P10493,has broader,dct:creator
rdaw:P10494,has broader,dct:creator
rdaw:P10495,has broader,dct:creator
rdaw:P10496,has broader,dct:creator
rdaw:P10497,has broader,dct:creator
rdaw:P10498,has broader,dct:creator
rdaw:P10499,has broader,dct:creator
rdaw:P10500,has broader,dct:creator
rdaw:P10501,has broader,dct:creator
rdaw:P10502,has broader,dct:creator
rdaw:P10503,has broader,dct:creator
rdaw:P10504,has broader,dct:creator
rdaw:P10505,has broader,dct:creator
rdaw:P10509,has broader,dct:creator
rdaw:P10509,has broader,dct:creator
rdaw:P10510,has broader,dct:creator
rdaw:P10511,has broader,dct:creator
rdaw:P10512,has broader,dct:creator
rdaw:P10513,has broader,dct:creator
rdaw:P10514,has broader,dct:creator
rdaw:P10515,has broader,dct:creator
rdaw:P10516,has broader,dct:creator
rdaw:P10517,has broader,dct:creator
rdaw:P10518,has broader,dct:creator
rdaw:P10519,has broader,dct:creator
rdaw:P10520,has broader,dct:creator
rdaw:P10521,has broader,dct:creator
rdaw:P10522,has broader,dct:creator
rdaw:P10523,has broader,dct:creator
rdaw:P10524,has broader,dct:creator
rdaw:P10525,has broader,dct:creator
rdaw:P10526,has broader,dct:creator
rdaw:P10528,has broader,dct:creator
rdaw:P10529,has broader,dct:creator
rdaw:P10530,has broader,dct:creator
rdaw:P10531,has broader,dct:creator
rdaw:P10532,has broader,dct:creator
rdaw:P10533,has broader,dct:creator
rdaw:P10534,has broader,dct:creator
rdaw:P10535,has broader,dct:creator
rdaw:P10536,has broader,dct:creator
rdaw:P10537,has broader,dct:creator
rdaw:P10538,has broader,dct:creator
rdaw:P10539,has broader,dct:creator
rdaw:P10540,has broader,dct:creator
rdaw:P10541,has broader,dct:creator
rdaw:P10542,has broader,dct:creator
rdaw:P10543,has broader,dct:creator
rdaw:P10544,has broader,dct:creator
rdaw:P10545,has broader,dct:creator
rdaw:P10546,has broader,dct:creator
rdaw:P10547,has broader,dct:creator
rdaw:P10548,has broader,dct:creator
rdaw:P10549,has broader,dct:creator
rdaw:P10550,has broader,dct:creator
rdaw:P10551,has broader,dct:creator
rdaw:P10552,has broader,dct:creator
rdaw:P10556,has broader,dct:creator
rdaw:P10556,has broader,dct:creator
rdaw:P10557,has broader,dct:creator
rdaw:P10558,has broader,dct:creator
rdaw:P10559,has broader,dct:creator
rdaw:P10560,has broader,dct:creator
rdaw:P10561,has broader,dct:creator
rdaw:P10562,has broader,dct:creator
rdaw:P10563,has broader,dct:creator
rdaw:P10564,has broader,dct:creator
rdaw:P10565,has broader,dct:creator
rdaw:P10566,has broader,dct:creator
rdaw:P10567,has broader,dct:creator
rdaw:P10568,has broader,dct:creator
rdaw:P10569,has broader,dct:creator
rdaw:P10570,has broader,dct:creator
rdaw:P10571,has broader,dct:creator
rdaw:P10572,has broader,dct:creator
rdaw:P10573,has broader,dct:creator
rdaw:P10575,has broader,dct:creator
rdaw:P10576,has broader,dct:creator
rdaw:P10577,has broader,dct:creator
rdaw:P10578,has broader,dct:creator
rdaw:P10579,has broader,dct:creator
rdaw:P10580,has broader,dct:creator
rdaw:P10581,has broader,dct:creator
rdaw:P10582,has broader,dct:creator
rdaw:P10583,has broader,dct:creator
rdaw:P10584,has broader,dct:creator
rdaw:P10585,has broader,dct:creator
rdaw:P10586,has broader,dct:creator
rdaw:P10587,has broader,dct:creator
rdaw:P10588,has broader,dct:creator
rdaw:P10589,has broader,dct:creator
rdaw:P10590,has broader,dct:creator
rdaw:P10591,has broader,dct:creator
rdaw:P10592,has broader,dct:creator
rdaw:P10593,has broader,dct:creator
rdaw:P10594,has broader,dct:creator
rdaw:P10595,has broader,dct:creator
rdaw:P10596,has broader,dct:creator
rdaw:P10597,has broader,dct:creator
rdaw:P10598,has broader,dct:creator
rdaw:P10599,has broader,dct:creator
rdaw:P10600,has broader,dct:subject
rdaw:P10601,has broader,dct:subject
rdaw:P10602,has broader,dct:subject
rdaw:P10604,has broader,dct:creator
rdaw:P10605,has broader,dct:creator
rdaw:P10606,has broader,dct:creator
rdaw:P10607,has broader,dct:creator
