uri,lexicalAlias (en)
rdac:C10001,rdac:Work.en
rdac:C10002,rdac:Agent.en
rdac:C10003,rdac:Item.en
rdac:C10004,rdac:Person.en
rdac:C10005,rdac:CorporateBody.en
rdac:C10006,rdac:Expression.en
rdac:C10007,rdac:Manifestation.en
rdac:C10008,rdac:Family.en
rdac:C10009,rdac:Place.en
rdac:C10010,rdac:Timespan.en
rdac:C10011,rdac:CollectiveAgent.en
rdac:C10012,rdac:Nomen.en
rdac:C10013,rdac:RDAEntity.en
