Canonical URI,Lexical alias (English)
rdaw:P10132,rdaw:televisionAdaptationOfWork.en
rdaw:P10133,rdaw:screenplayBasedOnWork.en
rdaw:P10134,rdaw:motionPictureScreenplayBasedOnWork.en
rdaw:P10135,rdaw:televisionScreenplayBasedOnWork.en
rdaw:P10136,rdaw:videoScreenplayBasedOnWork.en
rdaw:P10137,rdaw:radioScriptBasedOnWork.en
rdaw:P10138,rdaw:videoAdaptationOfWork.en
rdaw:P10139,rdaw:digestOfWork.en
rdaw:P10140,rdaw:analysisOfWork.en
rdaw:P10141,rdaw:seriesContainerOf.en
rdaw:P10142,rdaw:adaptationOfWork.en
rdaw:P10143,rdaw:freeTranslationOfWork.en
rdaw:P10144,rdaw:parodiedAsWork.en
rdaw:P10145,rdaw:absorbedByWork.en
rdaw:P10146,rdaw:absorbedInPartByWork.en
rdaw:P10147,rdaw:containerOfWork.en
rdaw:P10148,rdaw:derivativeWork.en
rdaw:P10149,rdaw:errataToWork.en
rdaw:P10150,rdaw:guideToWork.en
rdaw:P10151,rdaw:appendixToWork.en
rdaw:P10152,rdaw:illustrationsForWork.en
rdaw:P10153,rdaw:evaluationOfWork.en
rdaw:P10154,rdaw:supplementToWork.en
rdaw:P10155,rdaw:adaptedAsWork.en
rdaw:P10156,rdaw:precededByWork.en
rdaw:P10157,rdaw:findingAidWork.en
rdaw:P10158,rdaw:indexWork.en
rdaw:P10159,rdaw:screenplayWork.en
rdaw:P10160,rdaw:motionPictureScreenplayWork.en
rdaw:P10161,rdaw:musicalSettingOfWork.en
rdaw:P10162,rdaw:radioScriptWork.en
rdaw:P10163,rdaw:televisionScreenplayWork.en
rdaw:P10164,rdaw:videoScreenplayWork.en
rdaw:P10165,rdaw:librettoWork.en
rdaw:P10166,rdaw:paraphrasedAsWork.en
rdaw:P10167,rdaw:abridgedAsWork.en
rdaw:P10168,rdaw:continuationInPartOfWork.en
rdaw:P10169,rdaw:separatedFromWork.en
rdaw:P10170,rdaw:succeededByWork.en
rdaw:P10171,rdaw:digestedAsWork.en
rdaw:P10172,rdaw:supplementWork.en
rdaw:P10173,rdaw:screenplayForTheMotionPictureWork.en
rdaw:P10174,rdaw:screenplayForTheTelevisionProgramWork.en
rdaw:P10175,rdaw:screenplayForTheVideoWork.en
rdaw:P10176,rdaw:scriptForTheRadioProgramWork.en
rdaw:P10177,rdaw:addendaToWork.en
rdaw:P10178,rdaw:reviewOfWork.en
rdaw:P10179,rdaw:summaryOfWork.en
rdaw:P10180,rdaw:catalogueOfWork.en
rdaw:P10181,rdaw:concordanceToWork.en
rdaw:P10182,rdaw:critiqueOfWork.en
rdaw:P10183,rdaw:choreographicAdaptationOfWork.en
rdaw:P10184,rdaw:expandedVersionOfWork.en
rdaw:P10185,rdaw:remakeOfWork.en
rdaw:P10186,rdaw:paraphraseOfWork.en
rdaw:P10187,rdaw:commentaryOnWork.en
rdaw:P10188,rdaw:indexToWork.en
rdaw:P10189,rdaw:librettoBasedOnWork.en
rdaw:P10190,rdaw:basedOnWork.en
rdaw:P10191,rdaw:continuedByWork.en
rdaw:P10192,rdaw:augmentationOfWork.en
rdaw:P10193,rdaw:abstractsForWork.en
rdaw:P10194,rdaw:indexingForWork.en
rdaw:P10195,rdaw:prequelTo.en
rdaw:P10196,rdaw:imitationOfWork.en
rdaw:P10197,rdaw:parodyOfWork.en
rdaw:P10198,rdaw:relatedWorkWork.en
rdaw:P10199,rdaw:epoch.en
rdaw:P10200,rdaw:landscapeArchitect.en
rdaw:P10201,rdaw:findingAidForWork.en
rdaw:P10202,rdaw:sculptor.en
rdaw:P10203,rdaw:screenwriter.en
rdaw:P10204,rdaw:lyricist.en
rdaw:P10205,rdaw:librettist.en
rdaw:P10206,rdaw:replacementInPartOfWork.en
rdaw:P10207,rdaw:replacementOfWork.en
rdaw:P10208,rdaw:grantingInstitutionOrFaculty.en
rdaw:P10209,rdaw:dissertationOrThesisInformation.en
rdaw:P10210,rdaw:historyOfTheWork.en
rdaw:P10211,rdaw:splitIntoWork.en
rdaw:P10212,rdaw:mergedToFormWork.en
rdaw:P10213,rdaw:mergerOfWork.en
rdaw:P10214,rdaw:equinox.en
rdaw:P10215,rdaw:yearDegreeGranted.en
rdaw:P10216,rdaw:coverageOfTheContent.en
rdaw:P10217,rdaw:intendedAudience.en
rdaw:P10218,rdaw:placeOfOriginOfTheWork.en
rdaw:P10219,rdaw:dateOfWork.en
rdaw:P10220,rdaw:mediumOfPerformance.en
rdaw:P10221,rdaw:key.en
rdaw:P10222,rdaw:natureOfTheContent.en
rdaw:P10223,rdaw:preferredTitleForTheWork.en
rdaw:P10224,rdaw:absorptionOfWork.en
rdaw:P10225,rdaw:absorptionInPartOfWork.en
rdaw:P10226,rdaw:continuationOfWork.en
rdaw:P10227,rdaw:sequelTo.en
rdaw:P10228,rdaw:accompanyingWorkRelationship.en
rdaw:P10229,rdaw:derivativeWorkRelationship.en
rdaw:P10231,rdaw:sequentialWorkRelationship.en
