rdau:P60091,rdau:donor,,,,,,,,,,,,,
rdau:P60092,rdau:seller,,,,,,,,,,,,,
rdau:P60093,rdau:fileType,,,,,,,,,,,,,
rdau:P60095,rdau:affiliation,,,,,,,,,,,,,
rdau:P60096,rdau:enactingJurisdiction,,,,,,,,,,,,,
rdau:P60097,rdau:jurisdictionGoverned,,,,,,,,,,,,,
rdau:P60098,rdau:languageOfTheAgent,,,,,,,,,,,,,
rdau:P60099,rdau:languageOfTheContent,,,,,,,,,,,,,
rdau:P60100,rdau:facsimileContainedIn,,,,,,,,,,,,,
rdau:P60101,rdau:containedIn,,,,,,,,,,,,,
rdau:P60102,rdau:sequel,,,,,,,,,,,,,
rdau:P60103,rdau:replacedInPartBy,,,,,,,,,,,,,
rdau:P60104,rdau:replacedBy,,,,,,,,,,,,,
rdau:P60105,rdau:artisticAndOrTechnicalCredit,,,,,,,,,,,,,
rdau:P60106,rdau:verseAdaptation,,,,,,,,,,,,,
rdau:P60107,rdau:locationOfConferenceEtc,,,,,,,,,,,,,
rdau:P60108,rdau:parallelManufacturersName,,,,,,,,,,,,,
rdau:P60109,rdau:coordinatesOfCartographicContent,,,,,,,,,,,,,
rdau:P60110,rdau:adaptedAsAMotionPicture,,,,,,,,,,,,,
rdau:P60111,rdau:dubbedVersionOf,,,,,,,,,,,,,
rdau:P60112,rdau:dubbedVersion,,,,,,,,,,,,,
rdau:P60113,rdau:cadenza,,,,,,,,,,,,,
rdau:P60114,rdau:musicalVariationsBasedOn,,,,,,,,,,,,,
rdau:P60115,rdau:musicalVariations,,,,,,,,,,,,,
rdau:P60116,rdau:cadenzaComposedFor,,,,,,,,,,,,,
rdau:P60117,rdau:librettoFor,,,,,,,,,,,,,
rdau:P60118,rdau:incidentalMusic,,,,,,,,,,,,,
rdau:P60119,rdau:variantNameForTheAgent,,,,,,,,,,,,,
rdau:P60120,rdau:remadeAs,,,,,,,,,,,,,
rdau:P60121,rdau:musicalSetting,,,,,,,,,,,,,
rdau:P60122,rdau:noteOnIssuePartOrIterationUsedAsTheBasisForIdentificationOfTheResource,,,,,,,,,,,,,
rdau:P60123,rdau:noteOnChangesInContentCharacteristics,,,,,,,,,,,,,
rdau:P60124,rdau:noteOnChangesInCarrierCharacteristics,,,,,,,,,,,,,
rdau:P60125,rdau:noteOnDistributionStatement,,,,,,,,,,,,,
rdau:P60126,rdau:noteOnManufactureStatement,,,,,,,,,,,,,
rdau:P60127,rdau:noteOnProductionStatement,,,,,,,,,,,,,
rdau:P60128,rdau:noteOnPublicationStatement,,,,,,,,,,,,,
rdau:P60129,rdau:noteOnFrequency,,,,,,,,,,,,,
rdau:P60130,rdau:noteOnStatementOfResponsibility,,,,,,,,,,,,,
rdau:P60131,rdau:noteOnSeriesStatement,,,,,,,,,,,,,
rdau:P60132,rdau:noteOnCopyrightDate,,,,,,,,,,,,,
rdau:P60133,rdau:noteOnDimensionsOfResource,,,,,,,,,,,,,
rdau:P60134,rdau:noteOnExtentOfResource,,,,,,,,,,,,,
rdau:P60135,rdau:noteOnNumberingOfSerials,,,,,,,,,,,,,
rdau:P60136,rdau:noteOnTitle,,,,,,,,,,,,,
rdau:P60137,rdau:noteOnEditionStatement,,,,,,,,,,,,,
rdau:P60138,rdau:novelization,,,,,,,,,,,,,
rdau:P60139,rdau:publishersNumberForMusic,,,,,,,,,,,,,
rdau:P60140,rdau:plateNumberForMusic,,,,,,,,,,,,,
rdau:P60141,rdau:conductor,,,,,,,,,,,,,
rdau:P60142,rdau:actor,,,,,,,,,,,,,
rdau:P60143,rdau:onScreenPresenter,,,,,,,,,,,,,
rdau:P60144,rdau:dancer,,,,,,,,,,,,,
rdau:P60145,rdau:teacher,,,,,,,,,,,,,
rdau:P60146,rdau:host,,,,,,,,,,,,,
rdau:P60147,rdau:moderator,,,,,,,,,,,,,
rdau:P60148,rdau:puppeteer,,,,,,,,,,,,,
rdau:P60149,rdau:panelist,,,,,,,,,,,,,
rdau:P60150,rdau:instrumentalist,,,,,,,,,,,,,
rdau:P60151,rdau:commentator,,,,,,,,,,,,,
rdau:P60152,rdau:voiceActor,,,,,,,,,,,,,
rdau:P60153,rdau:narrator,,,,,,,,,,,,,
rdau:P60154,rdau:storyteller,,,,,,,,,,,,,
rdau:P60155,rdau:speaker,,,,,,,,,,,,,
rdau:P60156,rdau:singer,,,,,,,,,,,,,
rdau:P60157,rdau:medium,,,,,,,,,,,,,
rdau:P60159,rdau:appliedMaterial,,,,,,,,,,,,,
rdau:P60160,rdau:placeOfDistribution,,,,,,,,,,,,,
rdau:P60161,rdau:placeOfProduction,,,,,,,,,,,,,
rdau:P60162,rdau:placeOfManufacture,,,,,,,,,,,,,
rdau:P60163,rdau:placeOfPublication,,,,,,,,,,,,,
rdau:P60164,rdau:parallelPlaceOfDistribution,,,,,,,,,,,,,
rdau:P60165,rdau:parallelPlaceOfManufacture,,,,,,,,,,,,,
