Canonical URI,Lexical alias (English)
rdam:P30130,rdam:earlierTitleProper.en
rdam:P30131,rdam:abbreviatedTitle.en
rdam:P30132,rdam:designationOfANamedRevisionOfAnEdition.en
rdam:P30133,rdam:designationOfEdition.en
rdam:P30134,rdam:title.en
rdam:P30135,rdam:workManifested.en
rdam:P30136,rdam:electronicReproductionOfManifestation.en
rdam:P30137,rdam:noteOnManifestation.en
rdam:P30138,rdam:specialPlaybackCharacteristic.en
rdam:P30139,rdam:expressionManifested.en
rdam:P30140,rdam:relatedItemManifestation.en
rdam:P30141,rdam:contactInformation.en
rdam:P30142,rdam:otherTitleInformation.en
rdam:P30143,rdam:otherTitleInformationOfSeries.en
rdam:P30144,rdam:otherTitleInformationOfSubseries.en
rdam:P30145,rdam:restrictionOnAccessToManifestation.en
rdam:P30146,rdam:restrictionOnUseOfManifestation.en
rdam:P30147,rdam:numericAndOrAlphabeticDesignationOfFirstIssueOrPartOfSequence.en
rdam:P30148,rdam:numericAndOrAlphabeticDesignationOfLastIssueOrPartOfSequence.en
rdam:P30149,rdam:chronologicalDesignationOfFirstIssueOrPartOfSequence.en
rdam:P30150,rdam:chronologicalDesignationOfLastIssueOrPartOfSequence.en
rdam:P30151,rdam:parallelOtherTitleInformation.en
rdam:P30152,rdam:parallelOtherTitleInformationOfSeries.en
rdam:P30153,rdam:parallelOtherTitleInformationOfSubseries.en
rdam:P30154,rdam:uniformResourceLocator.en
rdam:P30155,rdam:layout.en
rdam:P30156,rdam:titleProper.en
rdam:P30157,rdam:titleProperOfSeries.en
rdam:P30158,rdam:titleProperOfSubseries.en
rdam:P30159,rdam:resolution.en
rdam:P30160,rdam:termOfAvailability.en
rdam:P30161,rdam:trackConfiguration.en
rdam:P30162,rdam:equipmentOrSystemRequirement.en
rdam:P30163,rdam:presentationFormat.en
rdam:P30164,rdam:grooveCharacteristic.en
rdam:P30165,rdam:numberingOfSerials.en
rdam:P30166,rdam:issnOfSeries.en
rdam:P30167,rdam:issnOfSubseries.en
rdam:P30168,rdam:frequency.en
rdam:P30169,rdam:dimensions.en
rdam:P30170,rdam:dimensionsOfMapEtc.en
rdam:P30171,rdam:dimensionsOfStillImage.en
rdam:P30172,rdam:typeOfRecording.en
rdam:P30173,rdam:distributorsName.en
rdam:P30174,rdam:producersName.en
rdam:P30175,rdam:manufacturersName.en
rdam:P30176,rdam:publishersName.en
rdam:P30182,rdam:extent.en
rdam:P30183,rdam:fileSize.en
