Deprecated elements,Lexical curies in English
rdae:P20225,rdae:soundContent.en
rdae:P20232,rdae:accompanyingExpressionRelationship.en
rdae:P20233,rdae:derivativeExpressionRelationship.en
rdae:P20235,rdae:sequentialExpressionRelationship.en
rdae:P20236,rdae:wholePartExpressionRelationship.en
rdae:P20237,rdae:writerOfAfterword.en
rdae:P20238,rdae:writerOfPostface.en
rdae:P20261,rdae:detailsOfColourContent.en
rdae:P20267,rdae:detailsOfIllustrativeContent.en
rdae:P20275,rdae:writerOfForeword.en
rdae:P20288,rdae:photographerExpression.en
rdae:P20332,
rdai:P40023,rdai:otherAgentItem.en
rdai:P40027,rdai:electronicReproductionOfItem.en
rdai:P40038,rdai:reprintOfItem.en
rdai:P40039,rdai:digitalTransferOfItem.en
rdai:P40042,rdai:reproductionOfItem.en
rdai:P40044,rdai:preservationFacsimileOfItem.en
rdai:P40045,rdai:facsimileOfItem.en
rdai:P40051,rdai:accompanyingItemRelationship.en
rdai:P40053,rdai:equivalentItemRelationship.en
rdai:P40054,rdai:wholePartItemRelationship.en
rdai:P40055,rdai:reproducedAsItem.en
rdai:P40056,rdai:digitalTransferItem.en
rdai:P40057,rdai:electronicReproductionItem.en
rdai:P40058,rdai:facsimileItem.en
rdai:P40059,rdai:preservationFacsimileItem.en
rdai:P40060,rdai:reprintedAsItem.en
rdam:P30015,rdam:numberingWithinSubseries.en
rdam:P30030,rdam:specialIssue.en
rdam:P30056,rdam:noteOnFrequency.en
rdam:P30079,rdam:otherAgentManifestation.en
rdam:P30101,rdam:specialIssueOf.en
rdam:P30114,rdam:parallelStatementOfResponsibilityRelatingToSubseries.en
rdam:P30120,rdam:statementOfResponsibilityRelatingToSubseries.en
rdam:P30129,rdam:laterTitleProper.en
rdam:P30130,rdam:earlierTitleProper.en
rdam:P30144,rdam:otherTitleInformationOfSubseries.en
rdam:P30153,rdam:parallelOtherTitleInformationOfSubseries.en
rdam:P30158,rdam:titleProperOfSubseries.en
rdam:P30166,rdam:issnOfSeries.en
rdam:P30167,rdam:issnOfSubseries.en
rdam:P30168,rdam:frequency.en
rdam:P30205,rdam:parallelTitleProperOfSubseries.en
rdam:P30209,rdam:keyTitle.en
rdam:P30210,rdam:accompanyingManifestationRelationship.en
rdam:P30212,rdam:equivalentManifestationRelationship.en
rdam:P30213,rdam:wholePartManifestationRelationship.en
rdan:P80123,
rdan:P80124,rdan:laterTitleProperOf.en
rdan:P80126,rdan:titleProperOfSubseriesOf.en
rdan:P80137,rdan:parallelTitleProperOfSubseriesOf.en
rdan:P80150,
rdan:P80151,
rdan:P80152,
rdan:P80153,
rdan:P80154,
rdan:P80167,rdan:scopeOfUsage.en
rdap:P70029,
rdap:P70030,
rdap:P70031,
rdat:P70036,
rdat:P70037,
rdat:P70038,rdat:dateAssociatedWithPersonOf.en
rdat:P70041,rdat:durationOf.en
rdat:P70055,rdat:durationOfRepresentativeExpressionOf.en
rdaw:P10003,rdaw:otherDistinguishingCharacteristicOfWork.en
rdaw:P10018,rdaw:jurisdictionGoverned.en
rdaw:P10037,rdaw:appellee.en
rdaw:P10038,rdaw:appellant.en
rdaw:P10039,rdaw:plaintiff.en
rdaw:P10040,rdaw:defendant.en
rdaw:P10047,rdaw:otherAgentWork.en
rdaw:P10195,rdaw:prequelTo.en
rdaw:P10208,rdaw:grantingInstitutionOrFaculty.en
rdaw:P10227,rdaw:sequelTo.en
rdaw:P10228,rdaw:accompanyingWorkRelationship.en
rdaw:P10229,rdaw:derivativeWorkRelationship.en
rdaw:P10231,rdaw:sequentialWorkRelationship.en
rdaw:P10232,rdaw:wholePartWorkRelationship.en
rdaw:P10283,rdaw:SubjectRelationshipOf.en
rdaw:P10296,rdaw:referentialWorkRelationship.en
