*label_en,lexicalAlias_en,*uri,*type,domain,range,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],inverseOf,*status,owl:propertyChainAxiom
has choreographer corporate body,rdawo:choreographerCorporateBody.en,rdawo:P10528,property,rdac:C10001,rdac:C10005,rdaw:P10528,rdawo:P10531,rdawo:P10481,rdaao:P50794,Published,
has cartographer corporate body of work,rdawo:cartographerCorporateBodyOfWork.en,rdawo:P10529,property,rdac:C10001,rdac:C10005,rdaw:P10529,rdawo:P10531,rdawo:P10482,rdaao:P50827,Published,
has author corporate body,rdawo:authorCorporateBody.en,rdawo:P10530,property,rdac:C10001,rdac:C10005,rdaw:P10530,rdawo:P10531,rdawo:P10483,rdaao:P50843,Published,
has creator corporate body of work,rdawo:creatorCorporateBodyOfWork.en,rdawo:P10531,property,rdac:C10001,rdac:C10005,rdaw:P10531,rdawo:P10314,rdawo:P10484,rdaao:P50844,Published,
has architect corporate body,rdawo:architectCorporateBody.en,rdawo:P10532,property,rdac:C10001,rdac:C10005,rdaw:P10532,rdawo:P10531,rdawo:P10485,rdaao:P50831,Published,
has commissioning corporate body,rdawo:commissioningCorporateBody.en,rdawo:P10533,property,rdac:C10001,rdac:C10005,rdaw:P10533,rdawo:P10314,rdawo:P10486,rdaao:P50840,Published,
has programmer corporate body,rdawo:programmerCorporateBody.en,rdawo:P10534,property,rdac:C10001,rdac:C10005,rdaw:P10534,rdawo:P10531,rdawo:P10487,rdaao:P50841,Published,
has designer corporate body,rdawo:designerCorporateBody.en,rdawo:P10535,property,rdac:C10001,rdac:C10005,rdaw:P10535,rdawo:P10531,rdawo:P10488,rdaao:P50845,Published,
has composer corporate body of work,rdawo:composerCorporateBodyOfWork.en,rdawo:P10536,property,rdac:C10001,rdac:C10005,rdaw:P10536,rdawo:P10531,rdawo:P10489,rdaao:P50824,Published,
has inventor corporate body,rdawo:inventorCorporateBody.en,rdawo:P10537,property,rdac:C10001,rdac:C10005,rdaw:P10537,rdawo:P10531,rdawo:P10490,rdaao:P50828,Published,
has compiler corporate body,rdawo:compilerCorporateBody.en,rdawo:P10538,property,rdac:C10001,rdac:C10005,rdaw:P10538,rdawo:P10542,rdawo:P10491,rdaao:P50862,Published,
has photographer corporate body of work,rdawo:photographerCorporateBodyOfWork.en,rdawo:P10539,property,rdac:C10001,rdac:C10005,rdaw:P10539,rdawo:P10531,rdawo:P10492,rdaao:P50857,Published,
has interviewer corporate body of work,rdawo:interviewerCorporateBodyOfWork.en,rdawo:P10540,property,rdac:C10001,rdac:C10005,rdaw:P10540,rdawo:P10531,rdawo:P10493,rdaao:P50829,Published,
has interviewee corporate body of work,rdawo:intervieweeCorporateBodyOfWork.en,rdawo:P10541,property,rdac:C10001,rdac:C10005,rdaw:P10541,rdawo:P10531,rdawo:P10494,rdaao:P50861,Published,
has aggregator corporate body,rdawo:aggregatorCorporateBody.en,rdawo:P10542,property,rdac:C10001,rdac:C10005,rdaw:P10542,rdawo:P10531,rdawo:P10495,rdaao:P50830,Published,
has remix artist corporate body,rdawo:remixArtistCorporateBody.en,rdawo:P10543,property,rdac:C10001,rdac:C10005,rdaw:P10543,rdawo:P10531,rdawo:P10496,rdaao:P50850,Published,
has filmmaker corporate body,rdawo:filmmakerCorporateBody.en,rdawo:P10544,property,rdac:C10001,rdac:C10005,rdaw:P10544,rdawo:P10531,rdawo:P10497,rdaao:P50832,Published,
has artist corporate body,rdawo:artistCorporateBody.en,rdawo:P10545,property,rdac:C10001,rdac:C10005,rdaw:P10545,rdawo:P10531,rdawo:P10498,rdaao:P50842,Published,
has founder corporate body of work,rdawo:founderCorporateBodyOfWork.en,rdawo:P10546,property,rdac:C10001,rdac:C10005,rdaw:P10546,rdawo:P10531,rdawo:P10499,rdaao:P50847,Published,
has casting director corporate body,rdawo:castingDirectorCorporateBody.en,rdawo:P10547,property,rdac:C10001,rdac:C10005,rdaw:P10547,rdawo:P10531,rdawo:P10500,rdaao:P50851,Published,
has producer corporate body,rdawo:producerCorporateBody.en,rdawo:P10548,property,rdac:C10001,rdac:C10005,rdaw:P10548,rdawo:P10531,rdawo:P10501,rdaao:P50852,Published,
has director corporate body,rdawo:directorCorporateBody.en,rdawo:P10549,property,rdac:C10001,rdac:C10005,rdaw:P10549,rdawo:P10531,rdawo:P10502,rdaao:P50863,Published,
has issuing corporate body,rdawo:issuingCorporateBody.en,rdawo:P10550,property,rdac:C10001,rdac:C10005,rdaw:P10550,rdawo:P10314,rdawo:P10503,rdaao:P50848,Published,
has organizer corporate body,rdawo:organizerCorporateBody.en,rdawo:P10551,property,rdac:C10001,rdac:C10005,rdaw:P10551,rdawo:P10531,rdawo:P10504,rdaao:P50856,Published,
has consultant corporate body,rdawo:consultantCorporateBody.en,rdawo:P10552,property,rdac:C10001,rdac:C10005,rdaw:P10552,rdawo:P10531,rdawo:P10505,rdaao:P50858,Published,
has dedicatee family of work,rdawo:dedicateeFamilyOfWork.en,rdawo:P10553,property,rdac:C10001,rdac:C10008,rdaw:P10553,rdawo:P10313,rdawo:P10459,rdaao:P50988,Published,
has addressee family,rdawo:addresseeFamily.en,rdawo:P10554,property,rdac:C10001,rdac:C10008,rdaw:P10554,rdawo:P10313,rdawo:P10460,rdaao:P50976,Published,
has dedicator family,rdawo:dedicatorFamily.en,rdawo:P10555,property,rdac:C10001,rdac:C10008,rdaw:P10555,rdawo:P10578,rdawo:P10461,rdaao:P51019,Published,
has director family of photography,rdawo:directorFamilyOfPhotography.en,rdawo:P10556,property,rdac:C10001,rdac:C10008,rdaw:P10556,rdawo:P10578,rdawo:P10462,rdaao:P50990,Published,
has researcher family,rdawo:researcherFamily.en,rdawo:P10557,property,rdac:C10001,rdac:C10008,rdaw:P10557,rdawo:P10578,rdawo:P10463,rdaao:P51011,Published,
has editorial director family,rdawo:editorialDirectorFamily.en,rdawo:P10558,property,rdac:C10001,rdac:C10008,rdaw:P10558,rdawo:P10578,rdawo:P10464,rdaao:P50977,Published,
has film director family,rdawo:filmDirectorFamily.en,rdawo:P10559,property,rdac:C10001,rdac:C10008,rdaw:P10559,rdawo:P10596,rdawo:P10465,rdaao:P51015,Published,
has radio director family,rdawo:radioDirectorFamily.en,rdawo:P10560,property,rdac:C10001,rdac:C10008,rdaw:P10560,rdawo:P10596,rdawo:P10466,rdaao:P51016,Published,
has television director family,rdawo:televisionDirectorFamily.en,rdawo:P10561,property,rdac:C10001,rdac:C10008,rdaw:P10561,rdawo:P10596,rdawo:P10467,rdaao:P51017,Published,
has audio producer family,rdawo:audioProducerFamily.en,rdawo:P10562,property,rdac:C10001,rdac:C10008,rdaw:P10562,rdawo:P10595,rdawo:P10468,rdaao:P51000,Published,
has film producer family,rdawo:filmProducerFamily.en,rdawo:P10563,property,rdac:C10001,rdac:C10008,rdaw:P10563,rdawo:P10595,rdawo:P10469,rdaao:P51004,Published,
has radio producer family,rdawo:radioProducerFamily.en,rdawo:P10564,property,rdac:C10001,rdac:C10008,rdaw:P10564,rdawo:P10595,rdawo:P10470,rdaao:P51005,Published,
has television producer family,rdawo:televisionProducerFamily.en,rdawo:P10565,property,rdac:C10001,rdac:C10008,rdaw:P10565,rdawo:P10595,rdawo:P10471,rdaao:P51006,Published,
has landscape architect family,rdawo:landscapeArchitectFamily.en,rdawo:P10566,property,rdac:C10001,rdac:C10008,rdaw:P10566,rdawo:P10579,rdawo:P10472,rdaao:P50984,Published,
has calligrapher family,rdawo:calligrapherFamily.en,rdawo:P10567,property,rdac:C10001,rdac:C10008,rdaw:P10567,rdawo:P10592,rdawo:P10473,rdaao:P50989,Published,
has sculptor family,rdawo:sculptorFamily.en,rdawo:P10568,property,rdac:C10001,rdac:C10008,rdaw:P10568,rdawo:P10592,rdawo:P10474,rdaao:P51018,Published,
has book artist family,rdawo:bookArtistFamily.en,rdawo:P10569,property,rdac:C10001,rdac:C10008,rdaw:P10569,rdawo:P10592,rdawo:P10475,rdaao:P50997,Published,
has screenwriter family,rdawo:screenwriterFamily.en,rdawo:P10570,property,rdac:C10001,rdac:C10008,rdaw:P10570,rdawo:P10577,rdawo:P10476,rdaao:P50985,Published,( rdawo:P10159 rdawo:P10577 )
has lyricist family,rdawo:lyricistFamily.en,rdawo:P10571,property,rdac:C10001,rdac:C10008,rdaw:P10571,rdawo:P10577,rdawo:P10477,rdaao:P50986,Published,( rdawo:P10370 rdawo:P10577 )
has librettist family,rdawo:librettistFamily.en,rdawo:P10572,property,rdac:C10001,rdac:C10008,rdaw:P10572,rdawo:P10577,rdawo:P10478,rdaao:P50987,Published,( rdawo:P10165 rdawo:P10577 )
has rapporteur family,rdawo:rapporteurFamily.en,rdawo:P10573,property,rdac:C10001,rdac:C10008,rdaw:P10573,rdawo:P10577,rdawo:P10479,rdaao:P51010,Published,
has honouree family of work,rdawo:honoureeFamilyOfWork.en,rdawo:P10574,property,rdac:C10001,rdac:C10008,rdaw:P10574,rdawo:P10313,rdawo:P10480,rdaao:P51020,Published,
has choreographer family,rdawo:choreographerFamily.en,rdawo:P10575,property,rdac:C10001,rdac:C10008,rdaw:P10575,rdawo:P10578,rdawo:P10481,rdaao:P50945,Published,
has cartographer family of work,rdawo:cartographerFamilyOfWork.en,rdawo:P10576,property,rdac:C10001,rdac:C10008,rdaw:P10576,rdawo:P10578,rdawo:P10482,rdaao:P50978,Published,
has author family,rdawo:authorFamily.en,rdawo:P10577,property,rdac:C10001,rdac:C10008,rdaw:P10577,rdawo:P10578,rdawo:P10483,rdaao:P50994,Published,
has creator family of work,rdawo:creatorFamilyOfWork.en,rdawo:P10578,property,rdac:C10001,rdac:C10008,rdaw:P10578,rdawo:P10313,rdawo:P10484,rdaao:P50995,Published,
has architect family,rdawo:architectFamily.en,rdawo:P10579,property,rdac:C10001,rdac:C10008,rdaw:P10579,rdawo:P10578,rdawo:P10485,rdaao:P50982,Published,
has commissioning family,rdawo:commissioningFamily.en,rdawo:P10580,property,rdac:C10001,rdac:C10008,rdaw:P10580,rdawo:P10313,rdawo:P10486,rdaao:P50991,Published,
has programmer family,rdawo:programmerFamily.en,rdawo:P10581,property,rdac:C10001,rdac:C10008,rdaw:P10581,rdawo:P10578,rdawo:P10487,rdaao:P50992,Published,
has designer family,rdawo:designerFamily.en,rdawo:P10582,property,rdac:C10001,rdac:C10008,rdaw:P10582,rdawo:P10578,rdawo:P10488,rdaao:P50996,Published,
has composer family of work,rdawo:composerFamilyOfWork.en,rdawo:P10583,property,rdac:C10001,rdac:C10008,rdaw:P10583,rdawo:P10578,rdawo:P10489,rdaao:P50975,Published,
has inventor family,rdawo:inventorFamily.en,rdawo:P10584,property,rdac:C10001,rdac:C10008,rdaw:P10584,rdawo:P10578,rdawo:P10490,rdaao:P50979,Published,
has compiler family,rdawo:compilerFamily.en,rdawo:P10585,property,rdac:C10001,rdac:C10008,rdaw:P10585,rdawo:P10589,rdawo:P10491,rdaao:P51013,Published,
has photographer family of work,rdawo:photographerFamilyOfWork.en,rdawo:P10586,property,rdac:C10001,rdac:C10008,rdaw:P10586,rdawo:P10578,rdawo:P10492,rdaao:P51008,Published,
has interviewer family of work,rdawo:interviewerFamilyOfWork.en,rdawo:P10587,property,rdac:C10001,rdac:C10008,rdaw:P10587,rdawo:P10578,rdawo:P10493,rdaao:P50980,Published,
has interviewee family of work,rdawo:intervieweeFamilyOfWork.en,rdawo:P10588,property,rdac:C10001,rdac:C10008,rdaw:P10588,rdawo:P10578,rdawo:P10494,rdaao:P51012,Published,
has aggregator family,rdawo:aggregatorFamily.en,rdawo:P10589,property,rdac:C10001,rdac:C10008,rdaw:P10589,rdawo:P10578,rdawo:P10495,rdaao:P50981,Published,
has remix artist family,rdawo:remixArtistFamily.en,rdawo:P10590,property,rdac:C10001,rdac:C10008,rdaw:P10590,rdawo:P10578,rdawo:P10496,rdaao:P51001,Published,
has filmmaker family,rdawo:filmmakerFamily.en,rdawo:P10591,property,rdac:C10001,rdac:C10008,rdaw:P10591,rdawo:P10578,rdawo:P10497,rdaao:P50983,Published,
has artist family,rdawo:artistFamily.en,rdawo:P10592,property,rdac:C10001,rdac:C10008,rdaw:P10592,rdawo:P10578,rdawo:P10498,rdaao:P50993,Published,
has founder family of work,rdawo:founderFamilyOfWork.en,rdawo:P10593,property,rdac:C10001,rdac:C10008,rdaw:P10593,rdawo:P10578,rdawo:P10499,rdaao:P50998,Published,
has casting director family,rdawo:castingDirectorFamily.en,rdawo:P10594,property,rdac:C10001,rdac:C10008,rdaw:P10594,rdawo:P10578,rdawo:P10500,rdaao:P51002,Published,
