*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
has contributor family of moving image,rdamd:contributorFamilyOfMovingImage.en,rdamd:P30427,property,rdac:C10007,rdam:P30427,rdamd:P30423,rdamd:P30369,Published
has contributor family of music,rdamd:contributorFamilyOfMusic.en,rdamd:P30428,property,rdac:C10007,rdam:P30428,rdamd:P30423,rdamd:P30370,Published
has contributor family of object,rdamd:contributorFamilyOfObject.en,rdamd:P30432,property,rdac:C10007,rdam:P30432,rdamd:P30423,rdamd:P30374,Published
has contributor family of speech,rdamd:contributorFamilyOfSpeech.en,rdamd:P30429,property,rdac:C10007,rdam:P30429,rdamd:P30423,rdamd:P30371,Published
has contributor family of still image,rdamd:contributorFamilyOfStillImage.en,rdamd:P30430,property,rdac:C10007,rdam:P30430,rdamd:P30423,rdamd:P30372,Published
has contributor family of text,rdamd:contributorFamilyOfText.en,rdamd:P30431,property,rdac:C10007,rdam:P30431,rdamd:P30423,rdamd:P30373,Published
has contributor family to aggregate,rdamd:contributorFamilyToAggregate.en,rdamd:P30423,property,rdac:C10007,rdam:P30423,rdamd:P30269,rdamd:P30365,Published
has contributor person of cartography,rdamd:contributorPersonOfCartography.en,rdamd:P30338,property,rdac:C10007,rdam:P30338,rdamd:P30336,rdamd:P30315,Published
has contributor person of choreography,rdamd:contributorPersonOfChoreography.en,rdamd:P30339,property,rdac:C10007,rdam:P30339,rdamd:P30336,rdamd:P30316,Published
has contributor person of computer content,rdamd:contributorPersonOfComputerContent.en,rdamd:P30346,property,rdac:C10007,rdam:P30346,rdamd:P30336,rdamd:P30333,Published
has contributor person of moving image,rdamd:contributorPersonOfMovingImage.en,rdamd:P30340,property,rdac:C10007,rdam:P30340,rdamd:P30336,rdamd:P30326,Published
has contributor person of music,rdamd:contributorPersonOfMusic.en,rdamd:P30341,property,rdac:C10007,rdam:P30341,rdamd:P30336,rdamd:P30311,Published
has contributor person of object,rdamd:contributorPersonOfObject.en,rdamd:P30345,property,rdac:C10007,rdam:P30345,rdamd:P30336,rdamd:P30332,Published
has contributor person of speech,rdamd:contributorPersonOfSpeech.en,rdamd:P30342,property,rdac:C10007,rdam:P30342,rdamd:P30336,rdamd:P30331,Published
has contributor person of still image,rdamd:contributorPersonOfStillImage.en,rdamd:P30343,property,rdac:C10007,rdam:P30343,rdamd:P30336,rdamd:P30321,Published
has contributor person of text,rdamd:contributorPersonOfText.en,rdamd:P30344,property,rdac:C10007,rdam:P30344,rdamd:P30336,rdamd:P30328,Published
has contributor person to aggregate,rdamd:contributorPersonToAggregate.en,rdamd:P30336,property,rdac:C10007,rdam:P30336,rdamd:P30268,rdamd:P30327,Published
has copyright date,rdamd:copyrightDate.en,rdamd:P30007,property,rdac:C10007,rdam:P30007,rdamd:P30278,,Published
has creator agent of manifestation,rdamd:creatorAgentOfManifestation.en,rdamd:P30329,property,rdac:C10007,rdam:P30329,rdamd:P30267,,Published
has creator collective agent of manifestation,rdamd:creatorCollectiveAgentOfManifestation.en,rdamd:P30392,property,rdac:C10007,rdam:P30392,rdamd:P30271,rdamd:P30329,Published
