*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,hasUnconstrained,subPropertyOf[0],subPropertyOf[1],sameAs[0],*status,instructionNumber,has element type
has variant title of item,rdai:variantTitleOfItem.en,Relates an item to a nomen that is a title of item that is not selected for preference in a specific application or context.,,,,variant title of item,A nomen that is a title of item that is not selected for preference in a specific application or context.,rdai:P40086,property,rdac:C10003,rdau:P60355,rdai:P40082,rdax:P00023,,Published,,3
has preferred title of item,rdai:preferredTitleOfItem.en,Relates an item to a nomen that is a title of item that is selected for preference in a specific application or context.,,,,preferred title of item,A nomen that is a title of item that is selected for preference in a specific application or context.,rdai:P40085,property,rdac:C10003,rdau:P60588,rdai:P40082,rdax:P00021,,Published,,3
has category of item,rdai:categoryOfItem.en,Relates an item to a type to which an item belongs.,,type of item,,category of item,A type to which an item belongs.,rdai:P40096,property,rdac:C10003,rdau:P60058,rdax:P00029,,,Published,,5
is item described in,rdai:itemDescribedIn.en,Relates an item to a work that describes an item.,,described in (item),,item described in,A work that describes an item.,rdai:P40062,property,rdac:C10003,rdau:P60215,rdai:P40061,,,Published,23.5,2
is item analysed in,rdai:itemAnalysedIn.en,Relates an item to a work that describes the structure and composition of an item.,,analysed in (item),,item analysed in,A work that describes the structure and composition of an item.,rdai:P40063,property,rdac:C10003,rdau:P60219,rdai:P40062,,,Published,23.5,2
is item evaluated in,rdai:itemEvaluatedIn.en,Relates an item to a work that examines or judges an item.,,evaluated in (item),,item evaluated in,A work that examines or judges an item.,rdai:P40066,property,rdac:C10003,rdau:P60218,rdai:P40062,,,Published,23.5,2
has binding of item,rdai:bindingOfItem.en,Relates an item to a work that is a binding of an item.,,,,binding of item,A work that is a binding of an item.,rdai:P40094,property,rdac:C10003,rdau:P61005,rdai:P40069,,,Published,,2
is item reviewed in,rdai:itemReviewedIn.en,Relates an item to a work that is a brief evaluation of an item.,,reviewed in (item),,item reviewed in,A work that is a brief evaluation of an item.,rdai:P40067,property,rdac:C10003,rdau:P60211,rdai:P40062,,,Published,23.5,2
is item critiqued in,rdai:itemCritiquedIn.en,Relates an item to a work that is a critical evaluation of an item.,,critiqued in (item),,item critiqued in,A work that is a critical evaluation of an item.,rdai:P40065,property,rdac:C10003,rdau:P60212,rdai:P40062,,,Published,23.5,2
has descriptive item relationship with,rdai:descriptiveItemRelationship.en,Relates an item to a work that is a description of the item. (Deprecated),,,,descriptive item relationship,A work that is a description of the item.,rdai:P40052,property,rdac:C10003,rdau:P60711,rdai:P40046,,,Deprecated,,
is item commentary in,rdai:itemCommentaryIn.en,Relates an item to a work that is a set of explanatory or critical notes on an item.,,commentary in (item),,item commentary in,A work that is a set of explanatory or critical notes on an item.,rdai:P40064,property,rdac:C10003,rdau:P60213,rdai:P40062,,,Published,23.5,2
is subject item of,rdai:subjectItemOf.en,Relates an item to a work that is about an item.,,subject of (item),,subject item of,A work that is about an item.,rdai:P40061,property,rdac:C10003,rdau:P60806,rdai:P40069,rdax:P00014,,Published,,2
has related work of item,rdai:relatedWorkOfItem.en,Relates an item to a work that is associated with an item.,,,,related work of item,A work that is associated with an item.,rdai:P40069,property,rdac:C10003,rdau:P60313,rdai:P40068,rdax:P00002,,Published,,1
has variant access point for item,rdai:variantAccessPointForItem.en,Relates an item to a nomen that is a n access point of item that is not selected for preference in a specific vocabulary encoding scheme.,,,,variant access point for item,A nomen that is an access point of item that is not selected for preference in a specific vocabulary encoding scheme.,rdai:P40084,property,rdac:C10003,rdau:P61188,rdai:P40080,rdax:P00022,,Published,,3
has authorized access point for item,rdai:authorizedAccessPointForItem.en,Relates an item to a nomen that is an access point of item that is selected for preference in a specific vocabulary encoding scheme.,,,,authorized access point for item,A nomen that is an access point of item that is selected for preference in a specific vocabulary encoding scheme.,rdai:P40083,property,rdac:C10003,rdau:P61172,rdai:P40080,rdax:P00020,,Published,,3
has other agent associated with item (Deprecated),rdai:otherAgentItem.en,Relates an item to an agent other than an owner or custodian who is associated with an item. (Deprecated),"Curators, binders, restorationists, etc., are included. (Deprecated)",,,other agent associated with item (Deprecated),An agent other than an owner or custodian who is associated with an item. (Deprecated),rdai:P40023,property,rdac:C10003,rdau:P60374,rdai:P40072,,,Deprecated,22.4,3
has dedicatee agent of item,rdai:dedicateeAgentOfItem.en,Relates an item to an agent to whom an item is dedicated.,,dedicatee (item),,dedicatee agent of item,An agent to whom an item is dedicated.,rdai:P40025,property,rdac:C10003,rdau:P60455,rdai:P40072,,,Published,18.5,2
has binder agent,rdai:binderAgent.en,Relates an item to an agent who binds an item.,,binder,,binder agent,An agent who binds an item.,rdai:P40013,property,rdac:C10003,rdau:P60458,rdai:P40093,,,Published,18.5,2
has curator agent,rdai:curatorAgent.en,Relates an item to an agent who conceives or manages the aggregation of an item in an exhibition or collection.,,curator,,curator agent,An agent who conceives or manages the aggregation of an item in an exhibition or collection.,rdai:P40017,property,rdac:C10003,rdau:P60376,rdai:P40072,,,Published,18.5,2
has illuminator agent,rdai:illuminatorAgent.en,"Relates an item to an agent who decorates a specific item using precious metals or colour, often with elaborate designs and motifs.",,illuminator,,illuminator agent,"An agent who decorates a specific item using precious metals or colour, often with elaborate designs and motifs.",rdai:P40012,property,rdac:C10003,rdau:P60421,rdai:P40093,,,Published,18.5,2
has current owner agent,rdai:currentOwnerAgent.en,Relates an item to an agent who has current legal possession of an item.,,current owner,,current owner agent,An agent who has current legal possession of an item.,rdai:P40018,property,rdac:C10003,rdau:P60400,rdai:P40021,,,Published,18.5,2
has owner agent,rdai:ownerAgent.en,Relates an item to an agent who has current or former legal possession of an item.,,owner,,owner agent,An agent who has current or former legal possession of an item.,rdai:P40021,property,rdac:C10003,rdau:P60404,rdai:P40072,,,Published,22.2,2
has former owner agent,rdai:formerOwnerAgent.en,Relates an item to an agent who has former legal possession of an item.,,former owner,,former owner agent,An agent who has former legal possession of an item.,rdai:P40019,property,rdac:C10003,rdau:P60401,rdai:P40021,,,Published,18.5,2
has custodian agent,rdai:custodianAgent.en,Relates an item to an agent who has legal custody of an item.,,custodian,,custodian agent,An agent who has legal custody of an item.,rdai:P40020,property,rdac:C10003,rdau:P60402,rdai:P40072,,,Published,22.3,2
has collector agent,rdai:collectorAgent.en,"Relates an item to an agent who is a curator who brings together items from various sources that are arranged, described, or catalogued as a collection.",,collector,,collector agent,"An agent who is a curator who brings together items from various sources that are arranged, described, or catalogued as a collection.",rdai:P40004,property,rdac:C10003,rdau:P60066,rdai:P40017,,,Published,18.5,2
has collection registrar agent,rdai:collectionRegistrarAgent.en,Relates an item to an agent who is a curator who lists or inventories items in a collection aggregate.,,collection registrar,,collection registrar agent,An agent who is a curator who lists or inventories items in a collection aggregate.,rdai:P40005,property,rdac:C10003,rdau:P60067,rdai:P40017,,,Published,18.5,2
has depositor agent,rdai:depositorAgent.en,Relates an item to an agent who is a current owner of an item who deposits the item into the custody of another agent without transferring ownership.,,depositor,,depositor agent,An agent who is a current owner of an item who deposits the item into the custody of another agent without transferring ownership.,rdai:P40006,property,rdac:C10003,rdau:P60068,rdai:P40018,,,Published,18.5,2
has donor agent,rdai:donorAgent.en,Relates an item to an agent who is a former owner of an item who donates the item to another owner.,,donor,,donor agent,An agent who is a former owner of an item who donates the item to another owner.,rdai:P40007,property,rdac:C10003,rdau:P60091,rdai:P40019,,,Published,18.5,2
has seller agent,rdai:sellerAgent.en,Relates an item to an agent who is a former owner of an item who sells the item to another owner.,,seller,,seller agent,An agent who is a former owner of an item who sells the item to another owner.,rdai:P40008,property,rdac:C10003,rdau:P60092,rdai:P40019,,,Published,18.5,2
has related agent of item,rdai:relatedAgentOfItem.en,Relates an item to an agent who is associated with an item.,,other agent associated with item,,related agent of item,An agent who is associated with an item.,rdai:P40072,property,rdac:C10003,rdau:P61008,rdai:P40068,rdax:P00006,,Published,,1
has honouree agent of item,rdai:honoureeAgentOfItem.en,Relates an item to an agent who is honoured by an item.,,honoree of item,honouree (item),honouree agent of item,An agent who is honoured by an item.,rdai:P40022,property,rdac:C10003,rdau:P60406,rdai:P40072,,,Published,18.5,2
has restorationist agent of item,rdai:restorationistAgentOfItem.en,"Relates an item to an agent who is responsible for the set of technical, editorial, and intellectual procedures aimed at compensating for the degradation of an item by bringing it back to a state as close as possible to its original condition.",,restorationist (item),,restorationist agent of item,"An agent who is responsible for the set of technical, editorial, and intellectual procedures aimed at compensating for the degradation of an item by bringing it back to a state as close as possible to its original condition.",rdai:P40024,property,rdac:C10003,rdau:P60450,rdai:P40093,,,Published,18.5,2
has modifier agent,rdai:modifierAgent.en,Relates an item to an agent that makes changes to an item without creating a new manifestation.,,modifier,,modifier agent,An agent who makes changes to an item without creating a new manifestation.,rdai:P40093,property,rdac:C10003,rdau:P61031,rdai:P40072,,,Published,,2
has title of item,rdai:titleOfItem.en,Relates an item to a nomen that is an appellation of item in natural language and phrasing used in common discourse.,,,,title of item,A nomen that is an appellation of item in natural language and phrasing used in common discourse.,rdai:P40082,property,rdac:C10003,rdau:P60367,rdai:P40081,rdax:P00019,,Published,,3
has access point for item,rdai:accessPointForItem.en,Relates an item to a nomen that is an appellation of item in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,,,,access point for item,A nomen that is an appellation of item in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,rdai:P40080,property,rdac:C10003,rdau:P61166,rdai:P40081,rdax:P00016,,Published,,3
has identifier for item,rdai:identifierForItem.en,"Relates an item to a nomen that is an appellation of item that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify an item.",,,,identifier for item,"A nomen that is an appellation of item that consists of a code, number, or other string, usually independent of natural language and social naming conventions, used to identify an item.",rdai:P40001,property,rdac:C10003,rdau:P60052,rdai:P40081,rdax:P00018,,Published,2.2,3
has related entity of item,rdai:relatedEntityOfItem.en,Relates an item to an entity that is associated with an item.,,,,related entity of item,An entity that is associated with an item.,rdai:P40095,property,rdac:C10003,rdau:P61034,rdax:P00028,,,Published,,1
has related expression of item,rdai:relatedExpressionOfItem.en,Relates an item to an expression that is associated with an item.,,,,related expression of item,An expression that is associated with an item.,rdai:P40070,property,rdac:C10003,rdau:P60313,rdai:P40068,rdax:P00003,,Published,,1
is description of (item) (Deprecated),rdai:descriptionOfItem.en,Relates a work to an item described by a describing work. (Deprecated),,,,description of (item) (Deprecated),An item described by a describing work. (Deprecated),rdai:P40030,property,rdac:C10001,rdau:P60190,rdai:P40052,,,Deprecated,,
has electronic reproduction (item) (Deprecated),,Relates an item to an item in a digital format that is the result of the transfer of an item in analog format. (Deprecated),,,,electronic reproduction (item) (Deprecated),An item in a digital format that is the result of the transfer of an item in analog format. (Deprecated),rdai:P40057,property,rdac:C10003,rdau:P60083,rdai:P40055,,,Deprecated,24.5,
is digital transfer of (item) (Deprecated),,Relates an item to an item in a digital format that is transferred to another digital format. (Deprecated),,,,digital transfer of (item) (Deprecated),An item in a digital format that is transferred to another digital format. (Deprecated),rdai:P40039,property,rdac:C10003,rdau:P60287,rdai:P40042,,,Deprecated,24.5,
has digital transfer (item) (Deprecated),,Relates an item to an item in a digital format that results from the transfer of an item in another digital format. (Deprecated),,,,digital transfer (item) (Deprecated),An item in a digital format that results from the transfer of an item in another digital format. (Deprecated),rdai:P40056,property,rdac:C10003,rdau:P60200,rdai:P40055,,,Deprecated,24.5,
is electronic reproduction of (item) (Deprecated),,Relates an item to an item in an analog format that is transferred to a digital format. (Deprecated),,,,electronic reproduction of (item) (Deprecated),An item in an analog format that is transferred to a digital format. (Deprecated),rdai:P40027,property,rdac:C10003,rdau:P60469,rdai:P40042,,,Deprecated,24.5,
has accompanying item relationship with (Deprecated),rdai:accompanyingItemRelationship.en,Relates an item to an item that accompanies or is accompanied by another item. (Deprecated),,,,accompanying item relationship (Deprecated),An item that accompanies or is accompanied by another item. (Deprecated),rdai:P40051,property,rdac:C10003,rdau:P60709,rdai:P40046,,,Deprecated,24.5,
has preservation facsimile (item) (Deprecated),,"Relates an item to an item that consists of an exact reproduction on preservation-quality media, such as acid-free permanent or archival paper. (Deprecated)",,,,preservation facsimile (item) (Deprecated),"An item that consists of an exact reproduction on preservation-quality media, such as acid-free permanent or archival paper. (Deprecated)",rdai:P40059,property,rdac:C10003,rdau:P60179,rdai:P40058,,,Deprecated,24.5,
has facsimile (item) (Deprecated),,Relates an item to an item that exactly reproduces another item. (Deprecated),,,,facsimile (item) (Deprecated),An item that exactly reproduces another item. (Deprecated),rdai:P40058,property,rdac:C10003,rdau:P60217,rdai:P40055,,,Deprecated,24.5,
has equivalent item,rdai:equivalentItem.en,Relates an item to an item that exemplifies a manifestation that embodies the same expression of a work.,,equivalent item relationship,,equivalent item,An item that exemplifies a manifestation that embodies the same expression of a work.,rdai:P40031,property,rdac:C10003,rdau:P60191,rdai:P40046,,,Published,24.5,3
is reprint of (item) (Deprecated),,Relates an item to an item that exemplifies a printed manifestation that is used as the basis for a reissue of a manifestation. (Deprecated),,,,reprint of (item) (Deprecated),An item that exemplifies a printed manifestation that is used as the basis for a reissue of a manifestation. (Deprecated),rdai:P40038,property,rdac:C10003,rdau:P60168,rdai:P40042,,,Deprecated,24.5,
is analysis of (item),rdai:analysisOfItem.en,Relates a work to an item that has been examined to identify its components and their relations. (Deprecated),,,,analysis of (item),An item that has been examined to identify its components and their relations.,rdai:P40033,property,rdac:C10001,rdau:P60239,rdai:P40030,,,Deprecated,,
is container of item,rdai:containerOfItem.en,Relates an item to an item that is a discrete component of a larger item.,,,,container of item,An item that is a discrete component of a larger item.,rdai:P40034,property,rdac:C10003,rdau:P60249,rdai:P40046,,,Published,24.5,2
is reprinted as (item) (Deprecated),,Relates an item to an item that is a reissue of an item that exemplifies another printed manifestation. (Deprecated),,,,reprinted as (item) (Deprecated),An item that is a reissue of an item that exemplifies another printed manifestation. (Deprecated),rdai:P40060,property,rdac:C10003,rdau:P60271,rdai:P40055,,,Deprecated,24.5,
has related item of item,rdai:relatedItemOfItem.en,Relates an item to an item that is associated with an item.,,whole-part item relationship,,related item of item,An item that is associated with an item.,rdai:P40046,property,rdac:C10003,rdau:P60313,rdai:P40068,rdax:P00005,,Published,,1
is accompanied by item,rdai:accompaniedByItem.en,Relates an item to an item that is brought together with another item after being issued.,,accompanying item relationship,,accompanied by item,An item that is brought together with another item after being issued.,rdai:P40029,property,rdac:C10003,rdau:P60196,rdai:P40046,,,Published,24.5,2
has whole-part item relationship with (Deprecated),rdai:wholePartItemRelationship.en,Relates an item to an item that is contained in or contains another item. (Deprecated),,,,whole-part item relationship (Deprecated),An item that is contained in or contains another item. (Deprecated),rdai:P40054,property,rdac:C10003,rdau:P60714,rdai:P40046,,,Deprecated,24.5,
is on disc with item,rdai:onDiscWithItem.en,Relates an item to an item that is contained on the same disc as an item.,,,,on disc with item,An item that is contained on the same disc as an item.,rdai:P40035,property,rdac:C10003,rdau:P60257,rdai:P40029,,,Published,24.5,2
is filmed with item,rdai:filmedWithItem.en,Relates an item to an item that is contained on the same microform as an item.,,,,filmed with item,An item that is contained on the same microform as an item.,rdai:P40036,property,rdac:C10003,rdau:P60258,rdai:P40029,,,Published,24.5,2
has equivalent item relationship with (Deprecated),rdai:equivalentItemRelationship.en,Relates an item to an item that is equivalent to another item. (Deprecated),,,,equivalent item relationship (Deprecated),An item that is equivalent to another item. (Deprecated),rdai:P40053,property,rdac:C10003,rdau:P60712,rdai:P40046,,,Deprecated,18.5,
is evaluation of (item),rdai:evaluationOfItem.en,Relates a work to an item that is examined or judged. (Deprecated),,,,evaluation of (item),An item that is examined or judged.,rdai:P40037,property,rdac:C10001,rdau:P60255,rdai:P40030,,,Deprecated,,
is bound with,rdai:boundWith.en,Relates an item to an item that is physically combined or joined with an item.,,,,bound with,An item that is physically combined or joined with an item.,rdai:P40032,property,rdac:C10003,rdau:P60237,rdai:P40029,,,Published,24.5,2
is reproduction of (item) (Deprecated),,Relates an item to an item that is used as the basis for a reproduction. (Deprecated),,,,reproduction of (item) (Deprecated),An item that is used as the basis for a reproduction. (Deprecated),rdai:P40042,property,rdac:C10003,rdau:P60297,rdai:P40031,,,Deprecated,24.5,
is preservation facsimile of (item) (Deprecated),,"Relates an item to an item that is used as the basis for an exact reproduction on preservation-quality media, such as acid-free permanent or archival paper. (Deprecated)",,,,preservation facsimile of (item) (Deprecated),"An item that is used as the basis for an exact reproduction on preservation-quality media, such as acid-free permanent or archival paper. (Deprecated)",rdai:P40044,property,rdac:C10003,rdau:P60299,rdai:P40045,,,Deprecated,24.5,
is facsimile of (item) (Deprecated),,Relates an item to an item that is used as the basis for an exact reproduction. (Deprecated),,,,facsimile of (item) (Deprecated),An item that is used as the basis for an exact reproduction. (Deprecated),rdai:P40045,property,rdac:C10003,rdau:P60301,rdai:P40042,,,Deprecated,24.5,
is reproduced as (item) (Deprecated),,Relates an item to an item that reproduces another item. (Deprecated),,,,reproduced as (item) (Deprecated),An item that reproduces another item. (Deprecated),rdai:P40055,property,rdac:C10003,rdau:P60272,rdai:P40031,,,Deprecated,24.5,
is review of (item),rdai:reviewOfItem.en,Relates a work to an item used as the basis for a brief evaluation. (Deprecated),,,,review of (item),An item used as the basis for a brief evaluation.,rdai:P40040,property,rdac:C10001,rdau:P60288,rdai:P40030,,,Deprecated,,
is critique of (item),rdai:critiqueOfItem.en,Relates a work to an item used as the basis for a critical evaluation. (Deprecated),,,,critique of (item),An item used as the basis for a critical evaluation.,rdai:P40041,property,rdac:C10001,rdau:P60292,rdai:P40030,,,Deprecated,,
is commentary on (item),rdai:commentaryOnItem.en,Relates a work to an item used as the basis for a set of explanatory or critical notes. (Deprecated),,,,commentary on (item),An item used as the basis for a set of explanatory or critical notes.,rdai:P40043,property,rdac:C10001,rdau:P60298,rdai:P40030,,,Deprecated,,
has related RDA entity of item,rdai:relatedRDAEntityOfItem.en,Relates an item to an RDA entity that is associated with an item.,,,,related RDA entity of item,An RDA entity that is associated with an item.,rdai:P40068,property,rdac:C10003,rdau:P61034,rdai:P40095,rdax:P00001,,Published,,1
has immediate source of acquisition of item,rdai:immediateSourceOfAcquisitionOfItem.en,"Relates an item to the circumstances under which an item is directly acquired, including a method, source, and date of acquisition.",,,,immediate source of acquisition of item,"The circumstances under which an item is directly acquired, including a method, source, and date of acquisition.",rdai:P40050,property,rdac:C10003,rdau:P60583,,,,Published,2.19,6
has item-specific carrier characteristic of early printed resource (Deprecated),rdai:itemSpecificCarrierCharacteristicOfEarlyPrintedResource.en,"Relates an item to a characteristic that applies to the carrier or carriers of the specific early printed item being described and is assumed not to apply to other items exemplifying the same manifestation. includes rubrication, illumination, and other hand colouring, manuscript additions, and binding. (Deprecated)",,,,,,rdai:P40002,property,rdac:C10003,,,,,Deprecated,,
