*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
has producer person,rdawd:producerPerson.en,rdawd:P10454,property,rdac:C10001,rdaw:P10454,rdawd:P10437,rdawd:P10064,Published
has director person,rdawd:directorPerson.en,rdawd:P10455,property,rdac:C10001,rdaw:P10455,rdawd:P10437,rdawd:P10066,Published
has issuing body person,rdawd:issuingBodyPerson.en,rdawd:P10456,property,rdac:C10001,rdaw:P10456,rdawd:P10312,rdawd:P10046,Published
has organizer person,rdawd:organizerPerson.en,rdawd:P10457,property,rdac:C10001,rdaw:P10457,rdawd:P10437,rdawd:P10297,Published
has consultant person,rdawd:consultantPerson.en,rdawd:P10458,property,rdac:C10001,rdaw:P10458,rdawd:P10437,rdawd:P10071,Published
has dedicatee collective agent of work,rdawd:dedicateeCollectiveAgentOfWork.en,rdawd:P10459,property,rdac:C10001,rdaw:P10459,rdawd:P10315,rdawd:P10069,Published
has addressee collective agent,rdawd:addresseeCollectiveAgent.en,rdawd:P10460,property,rdac:C10001,rdaw:P10460,rdawd:P10315,rdawd:P10070,Published
has dedicator collective agent,rdawd:dedicatorCollectiveAgent.en,rdawd:P10461,property,rdac:C10001,rdaw:P10461,rdawd:P10484,rdawd:P10048,Published
has director collective agent of photography,rdawd:directorCollectiveAgentOfPhotography.en,rdawd:P10462,property,rdac:C10001,rdaw:P10462,rdawd:P10484,rdawd:P10068,Published
has researcher collective agent,rdawd:researcherCollectiveAgent.en,rdawd:P10463,property,rdac:C10001,rdaw:P10463,rdawd:P10484,rdawd:P10293,Published
has editorial director collective agent,rdawd:editorialDirectorCollectiveAgent.en,rdawd:P10464,property,rdac:C10001,rdaw:P10464,rdawd:P10484,rdawd:P10298,Published
has film director collective agent,rdawd:filmDirectorCollectiveAgent.en,rdawd:P10465,property,rdac:C10001,rdaw:P10465,rdawd:P10502,rdawd:P10013,Published
has radio director collective agent,rdawd:radioDirectorCollectiveAgent.en,rdawd:P10466,property,rdac:C10001,rdaw:P10466,rdawd:P10502,rdawd:P10014,Published
has television director collective agent,rdawd:televisionDirectorCollectiveAgent.en,rdawd:P10467,property,rdac:C10001,rdaw:P10467,rdawd:P10502,rdawd:P10015,Published
has audio producer collective agent,rdawd:audioProducerCollectiveAgent.en,rdawd:P10468,property,rdac:C10001,rdaw:P10468,rdawd:P10501,rdawd:P10304,Published
has film producer collective agent,rdawd:filmProducerCollectiveAgent.en,rdawd:P10469,property,rdac:C10001,rdaw:P10469,rdawd:P10501,rdawd:P10073,Published
has radio producer collective agent,rdawd:radioProducerCollectiveAgent.en,rdawd:P10470,property,rdac:C10001,rdaw:P10470,rdawd:P10501,rdawd:P10074,Published
has television producer collective agent,rdawd:televisionProducerCollectiveAgent.en,rdawd:P10471,property,rdac:C10001,rdaw:P10471,rdawd:P10501,rdawd:P10075,Published
has landscape architect collective agent,rdawd:landscapeArchitectCollectiveAgent.en,rdawd:P10472,property,rdac:C10001,rdaw:P10472,rdawd:P10485,rdawd:P10200,Published
has calligrapher collective agent,rdawd:calligrapherCollectiveAgent.en,rdawd:P10473,property,rdac:C10001,rdaw:P10473,rdawd:P10498,rdawd:P10253,Published
has sculptor collective agent,rdawd:sculptorCollectiveAgent.en,rdawd:P10474,property,rdac:C10001,rdaw:P10474,rdawd:P10498,rdawd:P10202,Published
has book artist collective agent,rdawd:bookArtistCollectiveAgent.en,rdawd:P10475,property,rdac:C10001,rdaw:P10475,rdawd:P10498,rdawd:P10254,Published
