*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
has relief type,rdaed:authorizedAccessPointForExpression.en,rdaed:P20313,property,rdac:C10006,rdae:P20313,rdaed:P20310,rdaxd:P00020,Published
has authorized access point for expression,rdaed:variantAccessPointForExpression.en,rdaed:P20314,property,rdac:C10006,rdae:P20314,rdaed:P20310,rdaxd:P00022,Published
has variant access point for expression,rdaed:preferredTitleOfExpression.en,rdaed:P20315,property,rdac:C10006,rdae:P20315,rdaed:P20312,rdaxd:P00021,Published
has preferred title of expression,rdaed:variantTitleOfExpression.en,rdaed:P20316,property,rdac:C10006,rdae:P20316,rdaed:P20312,rdaxd:P00023,Published
has variant title of expression,rdaed:primeMeridian.en,rdaed:P20317,property,rdac:C10006,rdae:P20317,,,Published
has prime meridian,rdaed:reliefType.en,rdaed:P20318,property,rdac:C10006,rdae:P20318,,,Published
aggregates,rdaed:aggregates.en,rdaed:P20319,property,rdac:C10006,rdae:P20319,rdaed:P20205,,Published
is aggregated by,rdaed:aggregatedBy.en,rdaed:P20320,property,rdac:C10006,rdae:P20320,rdaed:P20205,,Published
has extent of expression,rdaed:extentOfExpression.en,rdaed:P20321,property,rdac:C10006,rdae:P20321,,,Published
has intended audience of expression,rdaed:intendedAudienceOfExpression.en,rdaed:P20322,property,rdac:C10006,rdae:P20322,,,Published
has interactivity mode,rdaed:interactivityMode.en,rdaed:P20323,property,rdac:C10006,rdae:P20323,,,Published
has medium of performance of choreographic content,rdaed:mediumOfPerformanceOfChoreographicContent.en,rdaed:P20324,property,rdac:C10006,rdae:P20324,,,Published
is representative expression of,rdaed:representativeExpressionOf.en,rdaed:P20325,property,rdac:C10006,rdae:P20325,rdaed:P20298,,Published
has key of expression,rdaed:keyOfExpression.en,rdaed:P20326,property,rdac:C10006,rdae:P20326,,,Published
has reviser agent,rdaed:reviserAgent.en,rdaed:P20327,property,rdac:C10006,rdae:P20327,rdaed:P20053,,Published
has contributor agent to amalgamation,rdaed:contributorAgentToAmalgamation.en,rdaed:P20328,property,rdac:C10006,rdae:P20328,rdaed:P20053,,Published
has contributor agent to performance,rdaed:contributorAgentToPerformance.en,rdaed:P20329,property,rdac:C10006,rdae:P20329,rdaed:P20328,,Published
has editor agent of text,rdaed:editorAgentOfText.en,rdaed:P20330,property,rdac:C10006,rdae:P20330,rdaed:P20328,,Published
has category of expression,rdaed:categoryOfExpression.en,rdaed:P20331,property,rdac:C10006,rdae:P20331,rdaxd:P00029,,Published
has author of expression (Deprecated),rdaed:authorOfExpression.en,rdaed:P20332,property,rdac:C10006,rdae:P20332,rdaed:P20331,,Deprecated
has related entity of expression,rdaed:relatedEntityOfExpression.en,rdaed:P20333,property,rdac:C10006,rdae:P20333,rdaxd:P00028,,Published
has prequel expression,rdaed:prequelExpression.en,rdaed:P20334,property,rdac:C10006,rdae:P20334,rdaed:P20154,,Published
has sequel expression,rdaed:sequelExpression.en,rdaed:P20335,property,rdac:C10006,rdae:P20335,rdaed:P20169,,Published
has choral conductor person,rdaed:choralConductorPerson.en,rdaed:P20336,property,rdac:C10006,rdae:P20336,rdaed:P20383,rdaed:P20285,Published
has interviewer person of expression,rdaa:interviewerPersonOfExpression.en,rdaed:P20337,property,rdac:C10006,rdae:P20337,rdaed:P20366,rdaed:P20032,Published
has editor person of text,rdaed:editorPersonOfText.en,rdaed:P20338,property,rdac:C10006,rdae:P20338,rdaed:P20367,rdaed:P20330,Published
has draftsman person,rdaed:draftsmanPerson.en,rdaed:P20339,property,rdac:C10006,rdae:P20339,rdaed:P20367,rdaed:P20033,Published
has colourist person,rdaed:colouristPerson.en,rdaed:P20340,property,rdac:C10006,rdae:P20340,rdaed:P20367,rdaed:P20283,Published
has makeup artist person,rdaed:makeupArtistPerson.en,rdaed:P20341,property,rdac:C10006,rdae:P20341,rdaed:P20366,rdaed:P20284,Published
