*label_en,lexicalAlias_en,*uri,*type,domain,range,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],inverseOf,*status,owl:propertyChainAxiom
is commentator agent of,rdaao:commentatorAgentOf.en,rdaao:P50080,property,rdac:C10002,rdac:C10006,rdaa:P50080,rdaao:P50147,,rdaeo:P20021,Published,
is narrator agent of,rdaao:narratorAgentOf.en,rdaao:P50081,property,rdac:C10002,rdac:C10006,rdaa:P50081,rdaao:P50147,,rdaeo:P20022,Published,
is storyteller agent of,rdaao:storytellerAgentOf.en,rdaao:P50082,property,rdac:C10002,rdac:C10006,rdaa:P50082,rdaao:P50147,,rdaeo:P20023,Published,
is speaker agent of,rdaao:speakerAgentOf.en,rdaao:P50083,property,rdac:C10002,rdac:C10006,rdaa:P50083,rdaao:P50147,,rdaeo:P20024,Published,
is singer agent of,rdaao:singerAgentOf.en,rdaao:P50084,property,rdac:C10002,rdac:C10006,rdaa:P50084,rdaao:P50147,,rdaeo:P20025,Published,
is appellee person of,rdaao:appelleePersonOf.en,rdaao:P50085,property,rdac:C10004,rdac:C10001,rdaa:P50085,rdaao:P50542,,rdawo:P10035,Published,
is medium of,rdaao:mediumOf.en,rdaao:P50086,property,rdac:C10004,rdac:C10001,rdaa:P50086,rdaao:P50542,,rdawo:P10036,Published,
is degree supervisor of,rdaao:degreeSupervisorOf.en,rdaao:P50091,property,rdac:C10004,rdac:C10001,rdaa:P50091,rdaao:P50458,,rdawo:P10041,Published,
is illuminator agent of,rdaao:illuminatorAgentOf.en,rdaao:P50092,property,rdac:C10002,rdac:C10003,rdaa:P50092,rdaao:P50308,,rdaio:P40012,Published,
has identifier for person,rdaao:identifierForPerson.en,rdaao:P50094,property,rdac:C10004,rdac:C10012,rdaa:P50094,rdaao:P50382,rdaao:P50383,rdano:P80037,Published,
is person member of corporate body of,rdaao:personMemberOfCorporateBodyOf.en,rdaao:P50095,property,rdac:C10004,rdac:C10005,rdaa:P50095,rdaao:P50318,rdaao:P50444,rdaao:P50030,Published,
has employer,rdaao:employer.en,rdaao:P50096,property,rdac:C10004,rdac:C10005,rdaa:P50096,rdaao:P50095,,rdaao:P50026,Published,
has country associated with person,rdaao:countryAssociatedWithPerson.en,rdaao:P50097,property,rdac:C10004,rdac:C10009,rdaa:P50097,rdaao:P50346,,rdapo:P70024,Published,
has period of activity of person,rdaao:periodOfActivityOfPerson.en,rdaao:P50098,property,rdac:C10004,rdac:C10010,rdaa:P50098,rdaao:P50347,rdaao:P50430,rdato:P70044,Published,
has descendant family of person,rdaao:descendantFamilyOfPerson.en,rdaao:P50099,property,rdac:C10004,rdac:C10008,rdaa:P50099,rdaao:P50233,,rdaao:P50055,Published,
has affiliation (Deprecated),rdaao:affiliation.en,rdaao:P50101,property,rdac:C10004,rdac:C10005,rdaa:P50101,,,rdaao:P50390,Deprecated,
has variant name of person,rdaao:variantNameOfPerson.en,rdaao:P50103,property,rdac:C10004,rdac:C10012,rdaa:P50103,rdaao:P50111,rdaao:P50415,rdano:P80149,Published,
has alternate identity (Deprecated),rdaao:alternateIdentity.en,rdaao:P50105,property,rdac:C10004,rdac:C10004,rdaa:P50105,,,rdaao:P50106,Deprecated,
has real identity (Deprecated),rdaao:realIdentity.en,rdaao:P50106,property,rdac:C10004,rdac:C10004,rdaa:P50106,,,rdaao:P50105,Deprecated,
has date associated with person (Deprecated),rdaao:dateAssociatedWithPerson.en,rdaao:P50107,property,rdac:C10004,rdac:C10010,rdaa:P50107,rdaao:P50347,,rdato:P70038,Deprecated,
has place of residence,rdaao:placeOfResidence.en,rdaao:P50109,property,rdac:C10004,rdac:C10009,rdaa:P50109,rdaao:P50346,,rdapo:P70027,Published,
has name of person,rdaao:nameOfPerson.en,rdaao:P50111,property,rdac:C10004,rdac:C10012,rdaa:P50111,rdaao:P50382,rdaao:P50385,rdano:P80056,Published,
has founded corporate body of person,rdaao:foundedCorporateBodyOfPerson.en,rdaao:P50112,property,rdac:C10004,rdac:C10005,rdaa:P50112,rdaao:P50318,rdaao:P51104,rdaao:P50029,Published,
has address of person (Deprecated),,rdaao:P50114,property,,,,,,,Deprecated,
has fuller form of name,rdaao:fullerFormOfName.en,rdaao:P50115,property,rdac:C10004,rdac:C10012,rdaa:P50115,rdaao:P50111,,rdano:P80177,Published,
has preferred name of person,rdaao:preferredNameOfPerson.en,rdaao:P50117,property,rdac:C10004,rdac:C10012,rdaa:P50117,rdaao:P50111,rdaao:P50413,rdano:P80146,Published,
has place of death,rdaao:placeOfDeath.en,rdaao:P50118,property,rdac:C10004,rdac:C10009,rdaa:P50118,rdaao:P50346,,rdapo:P70026,Published,
has place of birth,rdaao:placeOfBirth.en,rdaao:P50119,property,rdac:C10004,rdac:C10009,rdaa:P50119,rdaao:P50346,,rdapo:P70025,Published,
has date of death,rdaao:dateOfDeath.en,rdaao:P50120,property,rdac:C10004,rdac:C10010,rdaa:P50120,rdaao:P50347,,rdato:P70030,Published,
has date of birth,rdaao:dateOfBirth.en,rdaao:P50121,property,rdac:C10004,rdac:C10010,rdaa:P50121,rdaao:P50347,,rdato:P70029,Published,
is appellant person of,rdaao:appellantPersonOf.en,rdaao:P50122,property,rdac:C10004,rdac:C10001,rdaa:P50122,rdaao:P50542,,rdawo:P10042,Published,
is binder agent of,rdaao:binderAgentOf.en,rdaao:P50123,property,rdac:C10002,rdac:C10003,rdaa:P50123,rdaao:P50308,,rdaio:P40013,Published,
is plaintiff person of,rdaao:plaintiffPersonOf.en,rdaao:P50124,property,rdac:C10004,rdac:C10001,rdaa:P50124,rdaao:P50542,,rdawo:P10043,Published,
is inscriber of,rdaao:inscriberOf.en,rdaao:P50125,property,rdac:C10004,rdac:C10003,rdaa:P50125,rdaao:P50636,,rdaio:P40014,Published,
