*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
is platemaker family of,rdaad:platemakerFamilyOf.en,rdaad:P50957,property,rdac:C10008,rdaa:P50957,rdaad:P50958,rdaad:P50655,Published
is platemaker person of,rdaad:platemakerPersonOf.en,rdaad:P50504,property,rdac:C10004,rdaa:P50504,rdaad:P50505,rdaad:P50176,Published
is praeses of,rdaad:praesesOf.en,rdaad:P50127,property,rdac:C10004,rdaa:P50127,rdaad:P50542,,Published
is presenter agent of,rdaad:presenterAgentOf.en,rdaad:P50180,property,rdac:C10002,rdaa:P50180,rdaad:P50161,,Published
is presenter collective agent of,rdaad:presenterCollectiveAgentOf.en,rdaad:P50777,property,rdac:C10011,rdaa:P50777,rdaad:P50776,rdaad:P50180,Published
is presenter corporate body of,rdaad:presenterCorporateBodyOf.en,rdaad:P50928,property,rdac:C10005,rdaa:P50928,rdaad:P50927,rdaad:P50777,Published
is presenter family of,rdaad:presenterFamilyOf.en,rdaad:P51079,property,rdac:C10008,rdaa:P51079,rdaad:P51078,rdaad:P50777,Published
is presenter person of,rdaad:presenterPersonOf.en,rdaad:P50626,property,rdac:C10004,rdaa:P50626,rdaad:P50625,rdaad:P50180,Published
is printer agent of,rdaad:printerAgentOf.en,rdaad:P50179,property,rdac:C10002,rdaa:P50179,rdaad:P50202,,Published
is printer collective agent of,rdaad:printerCollectiveAgentOf.en,rdaad:P50652,property,rdac:C10011,rdaa:P50652,rdaad:P50656,rdaad:P50179,Published
is printer corporate body of,rdaad:printerCorporateBodyOf.en,rdaad:P50803,property,rdac:C10005,rdaa:P50803,rdaad:P50807,rdaad:P50652,Published
is printer family of,rdaad:printerFamilyOf.en,rdaad:P50954,property,rdac:C10008,rdaa:P50954,rdaad:P50958,rdaad:P50652,Published
is printer person of,rdaad:printerPersonOf.en,rdaad:P50501,property,rdac:C10004,rdaa:P50501,rdaad:P50505,rdaad:P50179,Published
is printmaker agent of,rdaad:printmakerAgentOf.en,rdaad:P50173,property,rdac:C10002,rdaa:P50173,rdaad:P50202,,Published
is printmaker collective agent of,rdaad:printmakerCollectiveAgentOf.en,rdaad:P50651,property,rdac:C10011,rdaa:P50651,rdaad:P50656,rdaad:P50173,Published
is printmaker corporate body of,rdaad:printmakerCorporateBodyOf.en,rdaad:P50802,property,rdac:C10005,rdaa:P50802,rdaad:P50807,rdaad:P50651,Published
is printmaker family of,rdaad:printmakerFamilyOf.en,rdaad:P50953,property,rdac:C10008,rdaa:P50953,rdaad:P50958,rdaad:P50651,Published
is printmaker person of,rdaad:printmakerPersonOf.en,rdaad:P50500,property,rdac:C10004,rdaa:P50500,rdaad:P50505,rdaad:P50173,Published
is producer agent of,rdaad:producerAgentOf.en,rdaad:P50201,property,rdac:C10002,rdaa:P50201,rdaad:P50204,,Published
is producer agent of unpublished manifestation of,rdaad:producerAgentOfUnpublishedManifestationOf.en,rdaad:P50200,property,rdac:C10002,rdaa:P50200,rdaad:P50477,,Published
is producer collective agent of,rdaad:producerCollectiveAgentOf.en,rdaad:P50701,property,rdac:C10011,rdaa:P50701,rdaad:P50693,rdaad:P50201,Published
is producer collective agent of unpublished manifestation of,rdaad:producerCollectiveAgentOfUnpublishedManifestationOf.en,rdaad:P50650,property,rdac:C10011,rdaa:P50650,rdaad:P50645,rdaad:P50200,Published
is producer corporate body of,rdaad:producerCorporateBodyOf.en,rdaad:P50852,property,rdac:C10005,rdaa:P50852,rdaad:P50844,rdaad:P50701,Published
is producer corporate body of unpublished manifestation of,rdaad:producerCorporateBodyOfUnpublishedManifestationOf.en,rdaad:P50801,property,rdac:C10005,rdaa:P50801,rdaad:P50796,rdaad:P50650,Published
is producer family of,rdaad:producerFamilyOf.en,rdaad:P51003,property,rdac:C10008,rdaa:P51003,rdaad:P50995,rdaad:P50701,Published
is producer family of unpublished manifestation of,rdaad:producerFamilyOfUnpublishedManifestationOf.en,rdaad:P50952,property,rdac:C10008,rdaa:P50952,rdaad:P50947,rdaad:P50650,Published
is producer person of,rdaad:producerPersonOf.en,rdaad:P50550,property,rdac:C10004,rdaa:P50550,rdaad:P50542,rdaad:P50201,Published
is producer person of unpublished manifestation of,rdaad:producerPersonOfUnpublishedManifestationOf.en,rdaad:P50499,property,rdac:C10004,rdaa:P50499,rdaad:P50494,rdaad:P50200,Published
is production company of,rdaad:productionCompanyOf.en,rdaad:P50005,property,rdac:C10005,rdaa:P50005,rdaad:P50844,,Published
is production designer agent of,rdaad:productionDesignerAgentOf.en,rdaad:P50198,property,rdac:C10002,rdaa:P50198,rdaad:P50449,,Published
is production designer collective agent of,rdaad:productionDesignerCollectiveAgentOf.en,rdaad:P50734,property,rdac:C10011,rdaa:P50734,rdaad:P50774,rdaad:P50198,Published
is production designer corporate body of,rdaad:productionDesignerCorporateBodyOf.en,rdaad:P50885,property,rdac:C10005,rdaa:P50885,rdaad:P50925,rdaad:P50734,Published
is production designer family of,rdaad:productionDesignerFamilyOf.en,rdaad:P51036,property,rdac:C10008,rdaa:P51036,rdaad:P51076,rdaad:P50734,Published
is production designer person of,rdaad:productionDesignerPersonOf.en,rdaad:P50583,property,rdac:C10004,rdaa:P50583,rdaad:P50623,rdaad:P50198,Published
is programmer agent of,rdaad:programmerAgentOf.en,rdaad:P50184,property,rdac:C10002,rdaa:P50184,rdaad:P50204,,Published
is programmer collective agent of,rdaad:programmerCollectiveAgentOf.en,rdaad:P50690,property,rdac:C10011,rdaa:P50690,rdaad:P50693,rdaad:P50184,Published
is programmer corporate body of,rdaad:programmerCorporateBodyOf.en,rdaad:P50841,property,rdac:C10005,rdaa:P50841,rdaad:P50844,rdaad:P50690,Published
is programmer family of,rdaad:programmerFamilyOf.en,rdaad:P50992,property,rdac:C10008,rdaa:P50992,rdaad:P50995,rdaad:P50690,Published
is programmer person of,rdaad:programmerPersonOf.en,rdaad:P50539,property,rdac:C10004,rdaa:P50539,rdaad:P50542,rdaad:P50184,Published
is project supervisor of,rdaad:projectSupervisorOf.en,rdaad:P50487,property,rdac:C10004,rdaa:P50487,rdaad:P50458,,Published
is prominent member of family of,rdaad:prominentMemberOfFamilyOf.en,rdaad:P50417,property,rdac:C10004,rdaa:P50417,rdaad:P50233,,Published
is publisher agent of,rdaad:publisherAgentOf.en,rdaad:P50203,property,rdac:C10002,rdaa:P50203,rdaad:P50477,,Published
is publisher collective agent of,rdaad:publisherCollectiveAgentOf.en,rdaad:P50658,property,rdac:C10011,rdaa:P50658,rdaad:P50645,rdaad:P50203,Published
is publisher corporate body of,rdaad:publisherCorporateBodyOf.en,rdaad:P50809,property,rdac:C10005,rdaa:P50809,rdaad:P50796,rdaad:P50658,Published
is publisher family of,rdaad:publisherFamilyOf.en,rdaad:P50960,property,rdac:C10008,rdaa:P50960,rdaad:P50947,rdaad:P50658,Published
is publisher person of,rdaad:publisherPersonOf.en,rdaad:P50507,property,rdac:C10004,rdaa:P50507,rdaad:P50494,rdaad:P50203,Published
