reg_id,*label_en,lexicalAlias_en,description[0]_en,note[0]_en,*uri,*type,*name,subClassOf[0],subClassOf[1],*status
16315,"Qualified content category",http://rdaregistry.info/Elements/rof/QualifiedContentCategory.en,"A resource category that qualifies a base content category.",,http://rdaregistry.info/Elements/rof/C10001,class,QualifiedContentCategory,http://rdaregistry.info/Elements/rof/C10007,http://rdaregistry.info/Elements/rof/C10005,
16316,"Qualified carrier category",http://rdaregistry.info/Elements/rof/QualifiedCarrierCategory.en,"A resource category that qualifies a base carrier category.",,http://rdaregistry.info/Elements/rof/C10002,class,QualifiedCarrierCategory,http://rdaregistry.info/Elements/rof/C10007,http://rdaregistry.info/Elements/rof/C10004,
16317,"Base category",http://rdaregistry.info/Elements/rof/BaseCategory.en,"A resource category that is wholly defined in terms of primary values that are specified in the RDA/ONIX Framework.",,http://rdaregistry.info/Elements/rof/C10003,class,BaseCategory,http://rdaregistry.info/Elements/rof/C10006,,
16318,"Carrier category",http://rdaregistry.info/Elements/rof/CarrierCategory.en,"A class of resources defined in terms of specific values for one or more attributes of the means and methods by which content is conveyed.",,http://rdaregistry.info/Elements/rof/C10004,class,CarrierCategory,http://rdaregistry.info/Elements/rof/C10006,,
16319,"Content category",http://rdaregistry.info/Elements/rof/ContentCategory.en,"A class of resources defined in terms of specific values for one or more attributes of the intellectual or artistic content of a resource.",,http://rdaregistry.info/Elements/rof/C10005,class,ContentCategory,http://rdaregistry.info/Elements/rof/C10006,,
16320,Category,http://rdaregistry.info/Elements/rof/Category.en,"A class of resources defined in terms of specific values for one or more attributes (e.g., all resources for which the value for Character is language).",,http://rdaregistry.info/Elements/rof/C10006,class,Category,,,
16321,"Qualified category",http://rdaregistry.info/Elements/rof/QualifiedCategory.en,"A category that qualifies a base category by the addition of a value or values that are not specified in the RDA/ONIX Framework.",,http://rdaregistry.info/Elements/rof/C10007,class,QualifiedCategory,http://rdaregistry.info/Elements/rof/C10006,,
16322,"Base content category",http://rdaregistry.info/Elements/rof/BaseContentCategory.en,"A base category defined only in terms of an attribute or attributes of the content of a resource.",,http://rdaregistry.info/Elements/rof/C10008,class,BaseContentCategory,http://rdaregistry.info/Elements/rof/C10003,http://rdaregistry.info/Elements/rof/C10005,
16323,"Base carrier category",http://rdaregistry.info/Elements/rof/BaseCarrierCategory.en,"A base category defined only in terms of an attribute or attributes of the carrier of a resource.",,http://rdaregistry.info/Elements/rof/C10009,class,BaseCarrierCategory,http://rdaregistry.info/Elements/rof/C10003,http://rdaregistry.info/Elements/rof/C10004,
16324,"has applied material",http://rdaregistry.info/Elements/rof/hasAppliedMaterial.en,"A material applied to the base material for purposes of infixing the content of the resource.","Applies to resources conveying content on a physical carrier. Resources conveying content by means of broadcasting or online transmission will have an AppliedMaterial value not applicable.",http://rdaregistry.info/Elements/rof/P10001,property,hasAppliedMaterial,,,
16325,"has intermediation method",http://rdaregistry.info/Elements/rof/hasIntermediationMethod.en,"A method intended to be applied to the carrier to allow the content of the resource to be perceived.",,http://rdaregistry.info/Elements/rof/P10002,property,hasIntermediationMethod,,,
16326,"has fixation method",http://rdaregistry.info/Elements/rof/hasFixationMethod.en,"A method or process by which the content of a resource is infixed or embedded in the carrier.",,http://rdaregistry.info/Elements/rof/P10003,property,hasFixationMethod,,,
