*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,altLabel[3]_en,altLabel[4]_en,altLabel[5]_en,altLabel[6]_en,altLabel[7]_en,altLabel[8]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],*status,instructionNumber,has element type,See Also[0]
is artist agent of,rdaa:artistAgentOf.en,"Relates an agent to a work that involves a responsibility of an agent for conceiving, and often implementing, an original graphic design, drawing, painting, etc.",,artist of,,,,,,,,,artist agent of,"A work that involves a responsibility of an agent for conceiving, and often implementing, an original graphic design, drawing, painting, etc.",rdaa:P50192,property,rdac:C10002,rdaa:P50204,,Published,18.5,2,
is artist collective agent of,rdaa:artistCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for conceiving, and often implementing, an original graphic design, drawing, painting, etc.",,,,,,,,,,,artist collective agent of,"A work that involves a responsibility of a collective agent for conceiving, and often implementing, an original graphic design, drawing, painting, etc.",rdaa:P50691,property,rdac:C10011,rdaa:P50693,rdaa:P50192,Published,,2,
is artist corporate body of,rdaa:artistCorporateBodyOf.en,"Relates a corporate body to a work that involves a responsibility of a corporate body for conceiving, and often implementing, an original graphic design, drawing, painting, etc.",,,,,,,,,,,artist corporate body of,"A work that involves a responsibility of a corporate body for conceiving, and often implementing, an original graphic design, drawing, painting, etc.",rdaa:P50842,property,rdac:C10005,rdaa:P50844,rdaa:P50691,Published,,2,
is artist family of,rdaa:artistFamilyOf.en,"Relates a family to a work that involves a responsibility of a family for conceiving, and often implementing, an original graphic design, drawing, painting, etc.",,,,,,,,,,,artist family of,"A work that involves a responsibility of a family for conceiving, and often implementing, an original graphic design, drawing, painting, etc.",rdaa:P50993,property,rdac:C10008,rdaa:P50995,rdaa:P50691,Published,,2,
is artist person of,rdaa:artistPersonOf.en,"Relates a person to a work that involves a responsibility of a person for conceiving, and often implementing, an original graphic design, drawing, painting, etc.",,,,,,,,,,,artist person of,"A work that involves a responsibility of a person for conceiving, and often implementing, an original graphic design, drawing, painting, etc.",rdaa:P50540,property,rdac:C10004,rdaa:P50542,rdaa:P50192,Published,,2,
is assigner agent of,rdaa:assignerAgentOf.en,Relates an agent to a nomen that is assigned to an entity by an agent.,,,,,,,,,,,assigner agent of,A nomen that is assigned to an entity by an agent.,rdaa:P50396,property,rdac:C10002,rdaa:P50340,,Published,,2,
is assigner collective agent of,rdaa:assignerCollectiveAgentOf.en,Relates a collective agent to a nomen that is assigned to an entity by a collective agent.,,,,,,,,,,,assigner collective agent of,A nomen that is assigned to an entity by a collective agent.,rdaa:P50397,property,rdac:C10011,rdaa:P50344,rdaa:P50396,Published,,2,
is assigner corporate body of,rdaa:assignerCorporateBodyOf.en,Relates a corporate body to a nomen that is assigned to an entity by a corporate body.,,,,,,,,,,,assigner corporate body of,A nomen that is assigned to an entity by a corporate body.,rdaa:P50398,property,rdac:C10005,rdaa:P50352,rdaa:P50397,Published,,2,
is assigner family of,rdaa:assignerFamilyOf.en,Relates a family to a nomen that is assigned to an entity by a family.,,,,,,,,,,,assigner family of,A nomen that is assigned to an entity by a family.,rdaa:P50399,property,rdac:C10008,rdaa:P50356,rdaa:P50397,Published,,2,
is assigner person of,rdaa:assignerPersonOf.en,Relates a person to a nomen that is assigned to an entity by a person.,,,,,,,,,,,assigner person of,A nomen that is assigned to an entity by a person.,rdaa:P50400,property,rdac:C10004,rdaa:P50348,rdaa:P50396,Published,,2,
has assistant,rdaa:assistant.en,Relates a person to a person who is a colleague who helps another person.,,,,,,,,,,,assistant,A person who is a colleague who helps another person.,rdaa:P50275,property,rdac:C10004,rdaa:P50274,,Published,29.5,2,
is assistant to,rdaa:assistantTo.en,Relates a person to a person who is a colleague who is helped by another person.,,,,,,,,,,,assistant to,A person who is a colleague who is helped by another person.,rdaa:P50276,property,rdac:C10004,rdaa:P50274,,Published,29.5,2,
has associated institution (Deprecated),rdaa:associatedInstitution.en,Relates a corporate body to an institution commonly associated with a corporate body. (Deprecated),,,,,,,,,,,associated institution (Deprecated),An institution commonly associated with a corporate body. (Deprecated),rdaa:P50034,property,rdac:C10005,rdaa:P50336,,Deprecated,11.5,2,
is audio engineer agent of,rdaa:audioEngineerAgentOf.en,"Relates an agent to an expression that includes a contribution by an agent of managing the technical aspects of sound during the processes of recording, mixing, and reproduction.",,audio engineer of,,,,,,,,,audio engineer agent of,"An expression that includes a contribution by an agent of managing the technical aspects of sound during the processes of recording, mixing, and reproduction.",rdaa:P50296,property,rdac:C10002,rdaa:P50449,,Published,18.5,2,
is audio engineer collective agent of,rdaa:audioEngineerCollectiveAgentOf.en,"Relates a collective agent to an expression that includes a contribution by a collective agent of managing the technical aspects of sound during the processes of recording, mixing, and reproduction.",,,,,,,,,,,audio engineer collective agent of,"An expression that includes a contribution by a collective agent of managing the technical aspects of sound during the processes of recording, mixing, and reproduction.",rdaa:P50746,property,rdac:C10011,rdaa:P50774,rdaa:P50296,Published,,2,
is audio engineer corporate body of,rdaa:audioEngineerCorporateBodyOf.en,"Relates a corporate body to an expression that includes a contribution by a corporate body of managing the technical aspects of sound during the processes of recording, mixing, and reproduction.",,,,,,,,,,,audio engineer corporate body of,"An expression that includes a contribution by a corporate body of managing the technical aspects of sound during the processes of recording, mixing, and reproduction.",rdaa:P50897,property,rdac:C10005,rdaa:P50925,rdaa:P50746,Published,,2,
is audio engineer family of,rdaa:audioEngineerFamilyOf.en,"Relates a family to an expression that includes a contribution by a family of managing the technical aspects of sound during the processes of recording, mixing, and reproduction.",,,,,,,,,,,audio engineer family of,"An expression that includes a contribution by a family of managing the technical aspects of sound during the processes of recording, mixing, and reproduction.",rdaa:P51048,property,rdac:C10008,rdaa:P51076,rdaa:P50746,Published,,2,
is audio engineer person of,rdaa:audioEngineerPersonOf.en,"Relates a person to an expression that includes a contribution by a person of managing the technical aspects of sound during the processes of recording, mixing, and reproduction.",,,,,,,,,,,audio engineer person of,"An expression that includes a contribution by a person of managing the technical aspects of sound during the processes of recording, mixing, and reproduction.",rdaa:P50595,property,rdac:C10004,rdaa:P50623,rdaa:P50296,Published,,2,
is audio producer agent of,rdaa:audioProducerAgentOf.en,Relates an agent to a work that involves a responsibility of an agent for managing most of the business aspects of an audio recording.,,audio producer of,,,,,,,,,audio producer agent of,A work that involves a responsibility of an agent for managing most of the business aspects of an audio recording.,rdaa:P50295,property,rdac:C10002,rdaa:P50201,,Published,18.5,2,
is audio producer collective agent of,rdaa:audioProducerCollectiveAgentOf.en,Relates a collective agent to a work that involves a responsibility of a collective agent for managing most of the business aspects of an audio recording.,,,,,,,,,,,audio producer collective agent of,A work that involves a responsibility of a collective agent for managing most of the business aspects of an audio recording.,rdaa:P50698,property,rdac:C10011,rdaa:P50701,rdaa:P50295,Published,,2,
is audio producer corporate body of,rdaa:audioProducerCorporateBodyOf.en,Relates a corporate body to a work that involves a responsibility of a corporate body for managing most of the business aspects of an audio recording.,,,,,,,,,,,audio producer corporate body of,A work that involves a responsibility of a corporate body for managing most of the business aspects of an audio recording.,rdaa:P50849,property,rdac:C10005,rdaa:P50852,rdaa:P50698,Published,,2,
is audio producer family of,rdaa:audioProducerFamilyOf.en,Relates a family to a work that involves a responsibility of a family for managing most of the business aspects of an audio recording.,,,,,,,,,,,audio producer family of,A work that involves a responsibility of a family for managing most of the business aspects of an audio recording.,rdaa:P51000,property,rdac:C10008,rdaa:P51003,rdaa:P50698,Published,,2,
is audio producer person of,rdaa:audioProducerPersonOf.en,Relates a person to a work that involves a responsibility of a person for managing most of the business aspects of an audio recording.,,,,,,,,,,,audio producer person of,A work that involves a responsibility of a person for managing most of the business aspects of an audio recording.,rdaa:P50547,property,rdac:C10004,rdaa:P50550,rdaa:P50295,Published,,2,
is author agent of,rdaa:authorAgentOf.en,Relates an agent to a work that involves a responsibility of an agent for creating a textual work.,,author of,,,,,,,,,author agent of,A work that involves a responsibility of an agent for creating a textual work.,rdaa:P50195,property,rdac:C10002,rdaa:P50204,,Published,18.5,2,
is author collective agent of,rdaa:authorCollectiveAgentOf.en,Relates a collective agent to a work that involves a responsibility of a collective agent for creating a textual work.,,,,,,,,,,,author collective agent of,A work that involves a responsibility of a collective agent for creating a textual work.,rdaa:P50692,property,rdac:C10011,rdaa:P50693,rdaa:P50195,Published,,2,
is author corporate body of,rdaa:authorCorporateBodyOf.en,Relates a corporate body to a work that involves a responsibility of a corporate body for creating a textual work.,,,,,,,,,,,author corporate body of,A work that involves a responsibility of a corporate body for creating a textual work.,rdaa:P50843,property,rdac:C10005,rdaa:P50844,rdaa:P50692,Published,,2,
is author family of,rdaa:authorFamilyOf.en,Relates a family to a work that involves a responsibility of a family for creating a textual work.,,,,,,,,,,,author family of,A work that involves a responsibility of a family for creating a textual work.,rdaa:P50994,property,rdac:C10008,rdaa:P50995,rdaa:P50692,Published,,2,
has authorized access point for agent,rdaa:authorizedAccessPointForAgent.en,Relates an agent to a nomen that is an access point for agent that is selected for preference in a specific vocabulary encoding scheme.,,,,,,,,,,,authorized access point for agent,A nomen that is an access point for agent that is selected for preference in a specific vocabulary encoding scheme.,rdaa:P50403,property,rdac:C10002,rdaa:P50373,rdax:P00020,Published,,3,
has authorized access point for collective agent,rdaa:authorizedAccessPointForCollectiveAgent.en,Relates a collective agent to a nomen that is an access point for collective agent that is selected for preference in a specific vocabulary encoding scheme.,,,,,,,,,,,authorized access point for collective agent,A nomen that is an access point for collective agent that is selected for preference in a specific vocabulary encoding scheme.,rdaa:P50405,property,rdac:C10011,rdaa:P50374,rdaa:P50403,Published,,3,
has authorized access point for corporate body,rdaa:authorizedAccessPointForCorporateBody.en,Relates a corporate body to a nomen that is an access point for corporate body that is selected for preference in a specific vocabulary encoding scheme.,,,,,,,,,,,authorized access point for corporate body,A nomen that is an access point for corporate body that is selected for preference in a specific vocabulary encoding scheme.,rdaa:P50407,property,rdac:C10005,rdaa:P50375,rdaa:P50405,Published,,3,
has authorized access point for family,rdaa:authorizedAccessPointForFamily.en,Relates a family to a nomen that is an access point for family that is selected for preference in a specific vocabulary encoding scheme.,,,,,,,,,,,authorized access point for family,A nomen that is an access point for family that is selected for preference in a specific vocabulary encoding scheme.,rdaa:P50409,property,rdac:C10008,rdaa:P50376,rdaa:P50405,Published,,3,
has authorized access point for person,rdaa:authorizedAccessPointForPerson.en,Relates a person to a nomen that is an access point for person that is selected for preference in a specific vocabulary encoding scheme.,,,,,,,,,,,authorized access point for person,A nomen that is an access point for person that is selected for preference in a specific vocabulary encoding scheme.,rdaa:P50411,property,rdac:C10004,rdaa:P50377,rdaa:P50403,Published,,3,
is author of expression of (Deprecated),rdaa:authorOfExpressionOf.en,,,,,,,,,,,,,,rdaa:P50452,property,,,,Deprecated,,2,
is author person of,rdaa:authorPersonOf.en,Relates a person to a work that involves a responsibility of a person for creating a textual work.,,,,,,,,,,,author person of,A work that involves a responsibility of a person for creating a textual work.,rdaa:P50541,property,rdac:C10004,rdaa:P50542,rdaa:P50195,Published,,2,
