*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,altLabel[3]_en,altLabel[4]_en,altLabel[5]_en,altLabel[6]_en,altLabel[7]_en,altLabel[8]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],*status,instructionNumber,has element type,See Also[0]
is collection registrar person of (Deprecated),rdaa:collectionRegistrarPersonOf.en,Relates a person to an item that is listed or inventoried by a person in an aggregate work such as a collection of items or works. (Deprecated),,,,,,,,,,,collection registrar person of (Deprecated),An item that is listed or inventoried by a person in an aggregate work such as a collection of items or works. (Deprecated),rdaa:P50640,property,rdac:C10004,rdaa:P50630,rdaa:P50046,Deprecated,,2,
is collective agent described by,rdaa:collectiveAgentDescribedBy.en,Relates a collective agent to a work that is a description of a collective agent.,,described in (collective agent),collective agent described in,,,,,,,,collective agent described by,A work that is a description of a collective agent.,rdaa:P50427,property,rdac:C10011,rdaa:P50367,rdaa:P50426,Published,,2,
is collective agent described with metadata by,rdaa:collectiveAgentDescribedWithMetadataBy.en,Relates a collective agent to a work that is a metadata work for a collective agent.,,,,,,,,,,,collective agent described with metadata by,A work that is a metadata work for a collective agent.,rdaa:P51109,property,rdac:C10011,rdaa:P50427,rdaa:P51108,Published,,2,
is collector agent of (Deprecated),rdaa:collectorAgentOf.en,"Relates an agent to an item that is brought together by an agent with items from various sources that are arranged, described, or catalogued as a collection. (Deprecated)",,collector of,,,,,,,,,collector agent of (Deprecated),"An item that is brought together by an agent with items from various sources that are arranged, described, or catalogued as a collection. (Deprecated)",rdaa:P50045,property,rdac:C10002,rdaa:P50133,,Deprecated,18.5,2,
is collector collective agent of (Deprecated),rdaa:collectorCollectiveAgentof.en,"Relates a collective agent to an item that is brought together by a collective agent with items from various sources that are arranged, described, or catalogued as a collection. (Deprecated)",,,,,,,,,,,collector collective agent of (Deprecated),"An item that is brought together by a collective agent with items from various sources that are arranged, described, or catalogued as a collection. (Deprecated)",rdaa:P50786,property,rdac:C10011,rdaa:P50781,rdaa:P50045,Deprecated,,2,
is collector corporate body of (Deprecated),rdaa:collectorCorporateBodyof.en,"Relates a corporate body to an item that is brought together by a corporate body with items from various sources that are arranged, described, or catalogued as a collection. (Deprecated)",,,,,,,,,,,collector corporate body of (Deprecated),"An item that is brought together by a corporate body with items from various sources that are arranged, described, or catalogued as a collection. (Deprecated)",rdaa:P50937,property,rdac:C10005,rdaa:P50932,rdaa:P50786,Deprecated,,2,
is collector family of (Deprecated),rdaa:collectorFamilyof.en,"Relates a family to an item that is brought together by a family with items from various sources that are arranged, described, or catalogued as a collection. (Deprecated)",,,,,,,,,,,collector family of (Deprecated),"An item that is brought together by a family with items from various sources that are arranged, described, or catalogued as a collection. (Deprecated)",rdaa:P51088,property,rdac:C10008,rdaa:P51083,rdaa:P50786,Deprecated,,2,
is collector person of (Deprecated),rdaa:collectorPersonof.en,"Relates a person to an item that is brought together by a person with items from various sources that are arranged, described, or catalogued as a collection. (Deprecated)",,,,,,,,,,,collector person of (Deprecated),"An item that is brought together by a person with items from various sources that are arranged, described, or catalogued as a collection. (Deprecated)",rdaa:P50635,property,rdac:C10004,rdaa:P50630,rdaa:P50045,Deprecated,,2,
is collotyper agent of,rdaa:collotyperAgentOf.en,Relates an agent to a manifestation that involves a responsibility of an agent for preparing a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces and that is used to make prints using a photomechanical process.,,collotyper of,is collotyper agent of,collotyper of,collotypist agent of,,,,,,collotyper agent of,A manifestation that involves a responsibility of an agent for preparing a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces and that is used to make prints using a photomechanical process.,rdaa:P50178,property,rdac:C10002,rdaa:P50173,,Published,18.5,2,
is collotyper collective agent of,rdaa:collotyperCollectiveAgentOf.en,Relates a collective agent to a manifestation that involves a responsibility of a collective agent for preparing a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces and that is used to make prints using a photomechanical process.,,,is collotyper collective agent of,collotypist collective agent of,,,,,,,collotyper collective agent of,A manifestation that involves a responsibility of a collective agent for preparing a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces and that is used to make prints using a photomechanical process.,rdaa:P50661,property,rdac:C10011,rdaa:P50651,rdaa:P50178,Published,,2,
is collotyper corporate body of,rdaa:collotyperCorporateBodyOf.en,Relates a corporate body to a manifestation that involves a responsibility of a corporate body for preparing a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces and that is used to make prints using a photomechanical process.,,,is collotyper corporate body of,collotypist corporate body of,,,,,,,collotyper corporate body of,A manifestation that involves a responsibility of a corporate body for preparing a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces and that is used to make prints using a photomechanical process.,rdaa:P50812,property,rdac:C10005,rdaa:P50802,rdaa:P50661,Published,,2,
is collotyper family of,rdaa:collotyperFamilyOf.en,Relates a family to a manifestation that involves a responsibility of a family for preparing a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces and that is used to make prints using a photomechanical process.,,,is collotyper family of,collotypist family of,,,,,,,collotyper family of,A manifestation that involves a responsibility of a family for preparing a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces and that is used to make prints using a photomechanical process.,rdaa:P50963,property,rdac:C10008,rdaa:P50953,rdaa:P50661,Published,,2,
is collotyper person of,rdaa:collotyperPersonOf.en,Relates a person to a manifestation that involves a responsibility of a person for preparing a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces and that is used to make prints using a photomechanical process.,,,is collotyper person of,collotypist person of,,,,,,,collotyper person of,A manifestation that involves a responsibility of a person for preparing a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces and that is used to make prints using a photomechanical process.,rdaa:P50510,property,rdac:C10004,rdaa:P50500,rdaa:P50178,Published,,2,
is colourist agent of,rdaa:colouristAgentOf.en,"Relates an agent to an expression that includes a contribution by an agent of applying colour to drawings, prints, photographs, maps, moving images, and other visual content.",,colorist of,colourist of,colorist agent of,,,,,,,colourist agent of,"An expression that includes a contribution by an agent of applying colour to drawings, prints, photographs, maps, moving images, and other visual content.",rdaa:P50266,property,rdac:C10002,rdaa:P50448,,Published,18.5,2,
is colourist collective agent of,rdaa:colouristCollectiveAgentOf.en,"Relates a collective agent to an expression that includes a contribution by a collective agent of applying colour to drawings, prints, photographs, maps, moving images, and other visual content.",,colorist collective agent of,,,,,,,,,colourist collective agent of,"An expression that includes a contribution by a collective agent of applying colour to drawings, prints, photographs, maps, moving images, and other visual content.",rdaa:P50722,property,rdac:C10011,rdaa:P50775,rdaa:P50266,Published,,2,
is colourist corporate body of,rdaa:colouristCorporateBodyOf.en,"Relates a corporate body to an expression that includes a contribution by a corporate body of applying colour to drawings, prints, photographs, maps, moving images, and other visual content.",,colorist corporate body of,,,,,,,,,colourist corporate body of,"An expression that includes a contribution by a corporate body of applying colour to drawings, prints, photographs, maps, moving images, and other visual content.",rdaa:P50873,property,rdac:C10005,rdaa:P50926,rdaa:P50722,Published,,2,
is colourist family of,rdaa:colouristFamilyOf.en,"Relates a family to an expression that includes a contribution by a family of applying colour to drawings, prints, photographs, maps, moving images, and other visual content.",,colorist family of,,,,,,,,,colourist family of,"An expression that includes a contribution by a family of applying colour to drawings, prints, photographs, maps, moving images, and other visual content.",rdaa:P51024,property,rdac:C10008,rdaa:P51077,rdaa:P50722,Published,,2,
is colourist person of,rdaa:colouristPersonOf.en,"Relates a person to an expression that includes a contribution by a person of applying colour to drawings, prints, photographs, maps, moving images, and other visual content.",,colorist person of,,,,,,,,,colourist person of,"An expression that includes a contribution by a person of applying colour to drawings, prints, photographs, maps, moving images, and other visual content.",rdaa:P50571,property,rdac:C10004,rdaa:P50624,rdaa:P50266,Published,,2,
is commentator agent of,rdaa:commentatorAgentOf.en,"Relates an agent to an expression that includes a contribution by an agent of providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium.",,commentator of,,,,,,,,,commentator agent of,"An expression that includes a contribution by an agent of providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium.",rdaa:P50080,property,rdac:C10002,rdaa:P50147,,Published,18.5,2,
is commentator collective agent of,rdaa:commentatorCollectiveAgentOf.en,"Relates a collective agent to an expression that includes a contribution by a collective agent of providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium.",,,,,,,,,,,commentator collective agent of,"An expression that includes a contribution by a collective agent of providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium.",rdaa:P50757,property,rdac:C10011,rdaa:P50754,rdaa:P50080,Published,,2,
is commentator corporate body of,rdaa:commentatorCorporateBodyOf.en,"Relates a corporate body to an expression that includes a contribution by a corporate body of providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium.",,,,,,,,,,,commentator corporate body of,"An expression that includes a contribution by a corporate body of providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium.",rdaa:P50908,property,rdac:C10005,rdaa:P50905,rdaa:P50757,Published,,2,
is commentator family of,rdaa:commentatorFamilyOf.en,"Relates a family to an expression that includes a contribution by a family of providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium.",,,,,,,,,,,commentator family of,"An expression that includes a contribution by a family of providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium.",rdaa:P51059,property,rdac:C10008,rdaa:P51056,rdaa:P50757,Published,,2,
is commentator person of,rdaa:commentatorPersonOf.en,"Relates a person to an expression that includes a contribution by a person of providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium.",,,,,,,,,,,commentator person of,"An expression that includes a contribution by a person of providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium.",rdaa:P50606,property,rdac:C10004,rdaa:P50603,rdaa:P50080,Published,,2,
is commissioning agent of,rdaa:commissioningAgentOf.en,Relates an agent to a work that involves a responsibility of an agent for commissioning a work.,,commissioning body of,,,,,,,,,commissioning agent of,A work that involves a responsibility of an agent for commissioning a work.,rdaa:P50262,property,rdac:C10002,rdaa:P50305,,Published,18.5,2,
is commissioning collective agent of,rdaa:commissioningCollectiveAgentOf.en,Relates a collective agent to a work that involves a responsibility of a collective agent for commissioning a work.,,,,,,,,,,,commissioning collective agent of,A work that involves a responsibility of a collective agent for commissioning a work.,rdaa:P50689,property,rdac:C10011,rdaa:P50357,rdaa:P50262,Published,,2,
is commissioning corporate body of,rdaa:commissioningCorporateBodyOf.en,Relates a corporate body to a work that involves a responsibility of a corporate body for commissioning a work.,,,,,,,,,,,commissioning corporate body of,A work that involves a responsibility of a corporate body for commissioning a work.,rdaa:P50840,property,rdac:C10005,rdaa:P50329,rdaa:P50689,Published,,2,
is commissioning family of,rdaa:commissioningFamilyOf.en,Relates a family to a work that involves a responsibility of a family for commissioning a work.,,,,,,,,,,,commissioning family of,A work that involves a responsibility of a family for commissioning a work.,rdaa:P50991,property,rdac:C10008,rdaa:P50320,rdaa:P50689,Published,,2,
is commissioning person of,rdaa:commissioningPersonOf.en,Relates a person to a work that involves a responsibility of a person for commissioning a work.,,,,,,,,,,,commissioning person of,A work that involves a responsibility of a person for commissioning a work.,rdaa:P50538,property,rdac:C10004,rdaa:P50311,rdaa:P50262,Published,,2,
is compiler agent of,rdaa:compilerAgentOf.en,Relates an agent to a work that involves a responsibility of an agent for creating a metadata description set.,"A metadata description set includes a bibliography of works, expressions, or manifestations, a directory of agents and places, and an analytic finding aid.",compiler of,,,,,,,,,compiler agent of,A work that involves a responsibility of an agent for creating a metadata description set.,rdaa:P50189,property,rdac:C10002,rdaa:P50453,,Published,18.5,2,rdaa:P50156
is compiler collective agent of,rdaa:compilerCollectiveAgentOf.en,Relates a collective agent to a work that involves a responsibility of a collective agent for creating a metadata description set.,"A metadata description set includes a bibliography of works, expressions, or manifestations, a directory of agents and places, and an analytic finding aid.",,,,,,,,,,compiler collective agent of,A work that involves a responsibility of a collective agent for creating a metadata description set.,rdaa:P50711,property,rdac:C10011,rdaa:P50679,rdaa:P50189,Published,,2,
is compiler corporate body of,rdaa:compilerCorporateBodyOf.en,Relates a corporate body to a work that involves a responsibility of a corporate body for creating a metadata description set.,"A metadata description set includes a bibliography of works, expressions, or manifestations, a directory of agents and places, and an analytic finding aid.",,,,,,,,,,compiler corporate body of,A work that involves a responsibility of a corporate body for creating a metadata description set.,rdaa:P50862,property,rdac:C10005,rdaa:P50830,rdaa:P50711,Published,,2,
is compiler family of,rdaa:compilerFamilyOf.en,Relates a family to a work that involves a responsibility of a family for creating a metadata description set.,"A metadata description set includes a bibliography of works, expressions, or manifestations, a directory of agents and places, and an analytic finding aid.",,,,,,,,,,compiler family of,A work that involves a responsibility of a family for creating a metadata description set.,rdaa:P51013,property,rdac:C10008,rdaa:P50981,rdaa:P50711,Published,,2,
is compiler person of,rdaa:compilerPersonOf.en,Relates a person to a work that involves a responsibility of a person for creating a metadata description set.,"A metadata description set includes a bibliography of works, expressions, or manifestations, a directory of agents and places, and an analytic finding aid.",,,,,,,,,,compiler person of,A work that involves a responsibility of a person for creating a metadata description set.,rdaa:P50560,property,rdac:C10004,rdaa:P50528,rdaa:P50189,Published,,2,
has component of merger,rdaa:componentOfMerger.en,Relates a corporate body to a corporate body who forms another corporate body by merging with one or more other corporate bodies.,,,,,,,,,,,component of merger,A corporate body who forms another corporate body by merging with one or more other corporate bodies.,rdaa:P50232,property,rdac:C10005,rdaa:P50012,,Published,29.5,2,
is composer agent of work of,rdaa:composerAgentOfWorkOf.en,Relates and agent to a work that involves a responsibility of an agent for creating a musical work.,,composer of,,,,,,,,,composer agent of work of,A work that involves a responsibility of an agent for creating a musical work.,rdaa:P50187,property,rdac:C10002,rdaa:P50204,,Published,18.5,2,
is composer collective agent of work of,rdaa:composerCollectiveAgentOfWorkOf.en,Relates a collective agent to a work that involves a responsibility of a collective agent for creating a musical work.,,,,,,,,,,,composer collective agent of work of,A work that involves a responsibility of a collective agent for creating a musical work.,rdaa:P50673,property,rdac:C10011,rdaa:P50693,rdaa:P50187,Published,,2,
is composer corporate body of work of,rdaa:composerCorporateBodyOfWorkOf.en,Relates a corporate body to a work that involves a responsibility of a corporate body for creating a musical work.,,,,,,,,,,,composer corporate body of work of,A work that involves a responsibility of a corporate body for creating a musical work.,rdaa:P50824,property,rdac:C10005,rdaa:P50844,rdaa:P50673,Published,,2,
is composer family of work of,rdaa:composerFamilyOfWorkOf.en,Relates a family to a work that involves a responsibility of a family for creating a musical work.,,,,,,,,,,,composer family of work of,A work that involves a responsibility of a family for creating a musical work.,rdaa:P50975,property,rdac:C10008,rdaa:P50995,rdaa:P50673,Published,,2,
is composer of expression of (Deprecated),rdaa:composerOfExpressionOf.en,"Relates an agent to an expression that includes a contribution of adding music to a work that originally lacked it, by composing new music to substitute for original music, or by composing new music to supplement existing music. (Deprecated)",,,,,,,,,,,composer of expression of (Deprecated),"An expression that includes a contribution of adding music to a work that originally lacked it, by composing new music to substitute for original music, or by composing new music to supplement existing music. (Deprecated)",rdaa:P50134,property,rdac:C10002,rdaa:P50451,,Deprecated,18.5,2,
is composer person of work of,rdaa:composerPersonOfWorkOf.en,Relates a person to a work that involves a responsibility of a person for creating a musical work.,,,,,,,,,,,composer person of work of,A work that involves a responsibility of a person for creating a musical work.,rdaa:P50522,property,rdac:C10004,rdaa:P50542,rdaa:P50187,Published,,2,
is conductor agent of,rdaa:conductorAgentOf.en,Relates an agent to an expression that includes a contribution by an agent of leading a performing group in a musical or dramatic presentation.,,conductor of,,,,,,,,,conductor agent of,An expression that includes a contribution by an agent of leading a performing group in a musical or dramatic presentation.,rdaa:P50070,property,rdac:C10002,rdaa:P50147,,Published,18.5,2,
is conductor collective agent of,rdaa:conductorCollectiveAgentOf.en,Relates a collective agent to an expression that includes a contribution by a collective agent of leading a performing group in a musical or dramatic presentation.,,,,,,,,,,,conductor collective agent of,An expression that includes a contribution by a collective agent of leading a performing group in a musical or dramatic presentation.,rdaa:P50743,property,rdac:C10011,rdaa:P50754,rdaa:P50070,Published,,2,
is conductor corporate body of,rdaa:conductorCorporateBodyOf.en,Relates a corporate body to an expression that includes a contribution by a corporate body of leading a performing group in a musical or dramatic presentation.,,,,,,,,,,,conductor corporate body of,An expression that includes a contribution by a corporate body of leading a performing group in a musical or dramatic presentation.,rdaa:P50894,property,rdac:C10005,rdaa:P50905,rdaa:P50743,Published,,2,
is conductor family of,rdaa:conductorFamilyOf.en,Relates a family to an expression that includes a contribution by a family of leading a performing group in a musical or dramatic presentation.,,,,,,,,,,,conductor family of,An expression that includes a contribution by a family of leading a performing group in a musical or dramatic presentation.,rdaa:P51045,property,rdac:C10008,rdaa:P51056,rdaa:P50743,Published,,2,
is conductor person of,rdaa:conductorPersonOf.en,Relates a person to an expression that includes a contribution by a person of leading a performing group in a musical or dramatic presentation.,,,,,,,,,,,conductor person of,An expression that includes a contribution by a person of leading a performing group in a musical or dramatic presentation.,rdaa:P50592,property,rdac:C10004,rdaa:P50603,rdaa:P50070,Published,,2,
is consultant agent of,rdaa:consultantAgentOf.en,"Relates an agent to a work that involves a responsibility of an agent for providing consultation services, and often making recommendations, to a creator of a work.",,consultant of,,,,,,,,,consultant agent of,"A work that involves a responsibility of an agent for providing consultation services, and often making recommendations, to a creator of a work.",rdaa:P50211,property,rdac:C10002,rdaa:P50305,,Published,18.5,2,
is consultant collective agent of,rdaa:consultantCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for providing consultation services, and often making recommendations, to a creator of a work.",,,,,,,,,,,consultant collective agent of,"A work that involves a responsibility of a collective agent for providing consultation services, and often making recommendations, to a creator of a work.",rdaa:P50707,property,rdac:C10011,rdaa:P50357,rdaa:P50211,Published,,2,
is consultant corporate body of,rdaa:consultantCorporateBodyOf.en,"Relates a corporate body to a work that involves a responsibility of a corporate body for providing consultation services, and often making recommendations, to a creator of a work.",,,,,,,,,,,consultant corporate body of,"A work that involves a responsibility of a corporate body for providing consultation services, and often making recommendations, to a creator of a work.",rdaa:P50858,property,rdac:C10005,rdaa:P50844,rdaa:P50707,Published,,2,
is consultant family of,rdaa:consultantFamilyOf.en,"Relates a family to a work that involves a responsibility of a family for providing consultation services, and often making recommendations, to a creator of a work.",,,,,,,,,,,consultant family of,"A work that involves a responsibility of a family for providing consultation services, and often making recommendations, to a creator of a work.",rdaa:P51009,property,rdac:C10008,rdaa:P50320,rdaa:P50707,Published,,2,
is consultant person of,rdaa:consultantPersonOf.en,"Relates a person to a work that involves a responsibility of a person for providing consultation services, and often making recommendations, to a creator of a work.",,,,,,,,,,,consultant person of,"A work that involves a responsibility of a person for providing consultation services, and often making recommendations, to a creator of a work.",rdaa:P50556,property,rdac:C10004,rdaa:P50311,rdaa:P50211,Published,,2,
is contributor agent of cartography of,rdaa:contributorAgentOfCartographyOf.en,Relates an agent to a manifestation that is an aggregate that embodies an expression of a cartographic work that is created by an agent.,,cartographer (expression) of,,,,,,,,,contributor agent of cartography of,A manifestation that is an aggregate that embodies an expression of a cartographic work that is created by an agent.,rdaa:P50463,property,rdac:C10002,rdaa:P50476,,Published,18.5,2,
is contributor agent of choreography of,rdaa:contributorAgentOfChoreographyOf.en,Relates an agent to a manifestation that is an aggregate that embodies an expression of a choreographic work that is created by an agent.,,,,,,,,,,,contributor agent of choreography of,A manifestation that is an aggregate that embodies an expression of a choreographic work that is created by an agent.,rdaa:P50464,property,rdac:C10002,rdaa:P50476,,Published,18.5,2,
is contributor agent of computer content of,rdaa:contributorAgentOfComputerContentOf.en,Relates an agent to a manifestation that is an aggregate that embodies an expression of computer content created by an agent.,,,,,,,,,,,contributor agent of computer content of,A manifestation that is an aggregate that embodies an expression of computer content created by an agent.,rdaa:P50485,property,rdac:C10002,rdaa:P50476,,Published,,2,
is contributor agent of moving image of,rdaa:contributorAgentOfMovingImageOf.en,Relates an agent to a manifestation that is an aggregate that embodies an expression of a moving image work that is created by an agent.,,,,,,,,,,,contributor agent of moving image of,A manifestation that is an aggregate that embodies an expression of a moving image work that is created by an agent.,rdaa:P50474,property,rdac:C10002,rdaa:P50476,,Published,18.5,2,
is contributor agent of music of,rdaa:contributorAgentOfMusicOf.en,Relates an agent to a manifestation that is an aggregate that embodies an expression of a musical work that is created by an agent.,,composer (expression) of,,,,,,,,,contributor agent of music of,A manifestation that is an aggregate that embodies an expression of a musical work that is created by an agent.,rdaa:P50459,property,rdac:C10002,rdaa:P50476,,Published,18.5,2,
is contributor agent of object of,rdaa:contributorAgentOfObjectOf.en,Relates an agent to a manifestation that is an aggregate that embodies an expression of an object work that is created by an agent.,,,,,,,,,,,contributor agent of object of,A manifestation that is an aggregate that embodies an expression of an object work that is created by an agent.,rdaa:P50484,property,rdac:C10002,rdaa:P50476,,Published,,2,
is contributor agent of speech of,rdaa:contributorAgentOfSpeechOf.en,Relates an agent to a manifestation that is an aggregate that embodies an expression of a vocal work that is created by an agent.,,,,,,,,,,,contributor agent of speech of,A manifestation that is an aggregate that embodies an expression of a vocal work that is created by an agent.,rdaa:P50483,property,rdac:C10002,rdaa:P50476,,Published,,2,
is contributor agent of still image of,rdaa:contributorAgentOfStillImageOf.en,Relates an agent to a manifestation that is an aggregate that embodies an expression of a still image work that is created by an agent.,,illustrator of,photographer (expression) of,,,,,,,,contributor agent of still image of,A manifestation that is an aggregate that embodies an expression of a still image work that is created by an agent.,rdaa:P50469,property,rdac:C10002,rdaa:P50476,,Published,18.5,2,
is contributor agent of text of,rdaa:contributorAgentOfTextOf.en,Relates an agent to a manifestation that is an aggregate that embodies an expression of a textual work that is created by an agent.,,writer of supplementary textual content of,writer of postface of,writer of added text of,writer of preface of,writer of added commentary of,writer of introduction of,writer of added lyrics of,writer of afterword of,writer of foreword of,contributor agent of text of,A manifestation that is an aggregate that embodies an expression of a textual work that is created by an agent.,rdaa:P50475,property,rdac:C10002,rdaa:P50476,,Published,,2,
is contributor agent to aggregate of,rdaa:contributorAgentToAggregateOf.en,Relates an agent to a manifestation that is an aggregate that embodies an expression of a work that is created by an agent.,,,,,,,,,,,contributor agent to aggregate of,A manifestation that is an aggregate that embodies an expression of a work that is created by an agent.,rdaa:P50476,property,rdac:C10002,rdaa:P50307,,Published,,2,
is contributor agent to amalgamation of,rdaa:contributorAgentToAmalgamationOf.en,Relates an agent to an expression that includes a contribution by an agent to a seamless mix of kinds of content.,,,,,,,,,,,contributor agent to amalgamation of,An expression that includes a contribution by an agent to a seamless mix of kinds of content.,rdaa:P50448,property,rdac:C10002,rdaa:P50161,,Published,,2,
is contributor agent to performance of,rdaa:contributorAgentToPerformanceOf.en,Relates an agent to an expression that includes a contribution by an agent to a performance.,,,,,,,,,,,contributor agent to performance of,An expression that includes a contribution by an agent to a performance.,rdaa:P50449,property,rdac:C10002,rdaa:P50448,,Published,,2,
is contributor collective agent of cartography of,rdaa:contributorCollectiveAgentOfCartographyOf.en,Relates a collective agent to a manifestation that is an aggregate that embodies an expression of a cartographic work that is created by a collective agent.,,,,,,,,,,,contributor collective agent of cartography of,A manifestation that is an aggregate that embodies an expression of a cartographic work that is created by a collective agent.,rdaa:P50662,property,rdac:C10011,rdaa:P50672,rdaa:P50463,Published,,2,
is contributor collective agent of choreography of,rdaa:contributorCollectiveAgentOfChoreographyOf.en,Relates a collective agent to a manifestation that is an aggregate that embodies an expression of a choreographic work that is created by a collective agent.,,,,,,,,,,,contributor collective agent of choreography of,A manifestation that is an aggregate that embodies an expression of a choreographic work that is created by a collective agent.,rdaa:P50663,property,rdac:C10011,rdaa:P50672,rdaa:P50464,Published,,2,
is contributor collective agent of computer content of,rdaa:contributorCollectiveAgentOfComputerContentOf.en,Relates a collective agent to a manifestation that is an aggregate that embodies an expression of computer content created by a collective agent.,,,,,,,,,,,contributor collective agent of computer content of,A manifestation that is an aggregate that embodies an expression of computer content created by a collective agent.,rdaa:P50670,property,rdac:C10011,rdaa:P50672,rdaa:P50485,Published,,2,
is contributor collective agent of moving image of,rdaa:contributorCollectiveAgentOfMovingImageOf.en,Relates a collective agent to a manifestation that is an aggregate that embodies an expression of a moving image work that is created by a collective agent.,,,,,,,,,,,contributor collective agent of moving image of,A manifestation that is an aggregate that embodies an expression of a moving image work that is created by a collective agent.,rdaa:P50664,property,rdac:C10011,rdaa:P50672,rdaa:P50474,Published,,2,
is contributor collective agent of music of,rdaa:contributorCollectiveAgentOfMusicOf.en,Relates a collective agent to a manifestation that is an aggregate that embodies an expression of a musical work that is created by a collective agent.,,,,,,,,,,,contributor collective agent of music of,A manifestation that is an aggregate that embodies an expression of a musical work that is created by a collective agent.,rdaa:P50665,property,rdac:C10011,rdaa:P50672,rdaa:P50459,Published,,2,
is contributor collective agent of object of,rdaa:contributorCollectiveAgentOfObjectOf.en,Relates a collective agent to a manifestation that is an aggregate that embodies an expression of an object work that is created by a collective agent.,,,,,,,,,,,contributor collective agent of object of,A manifestation that is an aggregate that embodies an expression of an object work that is created by a collective agent.,rdaa:P50669,property,rdac:C10011,rdaa:P50672,rdaa:P50484,Published,,2,
is contributor collective agent of speech of,rdaa:contributorCollectiveAgentOfSpeechOf.en,Relates a collective agent to a manifestation that is an aggregate that embodies an expression of a vocal work that is created by a collective agent.,,,,,,,,,,,contributor collective agent of speech of,A manifestation that is an aggregate that embodies an expression of a vocal work that is created by a collective agent.,rdaa:P50666,property,rdac:C10011,rdaa:P50672,rdaa:P50483,Published,,2,
is contributor collective agent of still image of,rdaa:contributorCollectiveAgentOfStillImageOf.en,Relates a collective agent to a manifestation that is an aggregate that embodies an expression of a still image work that is created by a collective agent.,,,,,,,,,,,contributor collective agent of still image of,A manifestation that is an aggregate that embodies an expression of a still image work that is created by a collective agent.,rdaa:P50667,property,rdac:C10011,rdaa:P50672,rdaa:P50469,Published,,2,
is contributor collective agent of text of,rdaa:contributorCollectiveAgentOfTextOf.en,Relates a collective agent to a manifestation that is an aggregate that embodies an expression of a textual work that is created by a collective agent.,,,,,,,,,,,contributor collective agent of text of,A manifestation that is an aggregate that embodies an expression of a textual work that is created by a collective agent.,rdaa:P50668,property,rdac:C10011,rdaa:P50672,rdaa:P50475,Published,,2,
is contributor collective agent to aggregate of,rdaa:contributorCollectiveAgentToAggregateOf.en,Relates a collective agent to a manifestation that is an aggregate that embodies an expression of a work that is created by a collective agent.,,,,,,,,,,,contributor collective agent to aggregate of,A manifestation that is an aggregate that embodies an expression of a work that is created by a collective agent.,rdaa:P50672,property,rdac:C10011,rdaa:P50364,rdaa:P50476,Published,,2,
is contributor collective agent to amalgamation of,rdaa:contributorCollectiveAgentToAmalgamationOf.en,Relates a collective agent to an expression that includes a contribution by a collective agent to a seamless mix of kinds of content.,,,,,,,,,,,contributor collective agent to amalgamation of,An expression that includes a contribution by a collective agent to a seamless mix of kinds of content.,rdaa:P50775,property,rdac:C10011,rdaa:P50776,rdaa:P50448,Published,,2,
is contributor collective agent to performance of,rdaa:contributorCollectiveAgentToPerformanceOf.en,Relates a collective agent to an expression that includes a contribution by a collective agent to a performance.,,,,,,,,,,,contributor collective agent to performance of,An expression that includes a contribution by a collective agent to a performance.,rdaa:P50774,property,rdac:C10011,rdaa:P50775,rdaa:P50449,Published,,2,
is contributor corporate body of cartography of,rdaa:contributorCorporateBodyOfCartographyOf.en,Relates a corporate body to a manifestation that is an aggregate that embodies an expression of a cartographic work that is created by a corporate body.,,,,,,,,,,,contributor corporate body of cartography of,A manifestation that is an aggregate that embodies an expression of a cartographic work that is created by a corporate body.,rdaa:P50813,property,rdac:C10005,rdaa:P50823,rdaa:P50662,Published,,2,
